datadate	Fiscal Year	tic	Company Name	Nation	Total Assets	Return on Assets	Net Income	Cost of Goods Sold	Total Revenue	Expense: R&D	Expense: Admin, Selling	# Employees	Description	Log Total Assets	Log R&D
20101231	2010	TISA	TOP IMAGE SYSTEMS LTD	ISR	$15.02 	-0.030617678	($0.46)	$8.09 	$21.76 	$1.65 	$11.65 	127	Top Image Systems Ltd. provides enterprise solutions for managing and validating content entering organizations from various sources. The company develops and markets automated data capture solutions for managing and validating content gathered from customers, trading partners, and employees.	2.709648923	0.498955451
20101231	2010	BPHX	BLUEPHOENIX SOLUTIONS LTD	ISR	$79.00 	-0.483601058	($38.20)	$26.77 	$57.12 	$6.69 	$28.59 	549	BluePhoenix Solutions Ltd., through its subsidiaries, develops and markets enterprise information technology (IT) modernization solutions worldwide. The company's IT modernization solutions enable to automate the process of modernizing and upgrading mainframe and distributed IT infrastructure.	4.369435194	1.900912783
20101231	2010	ERT	ERESEARCHTECHNOLOGY INC	USA	$214.84 	0.04594689	$9.87 	$55.92 	$140.99 	$5.09 	$45.82 	647	eResearchTechnology, Inc., together with its subsidiaries, provides technological services and medical devices in North America and the United Kingdom.	5.369870292	1.627081348
20101231	2010	PROJ	DELTEK INC	USA	$392.12 	-0.01255244	($4.92)	$96.74 	$279.65 	$52.59 	$146.60 	1640	Deltek, Inc. provides enterprise applications software and related services for the project-focused organizations primarily in the United States.	5.971555164	3.962545002
20110331	2010	TTWO	TAKE-TWO INTERACTIVE SFTWR	USA	$971.66 	0.049871406	$48.46 	$685.45 	$1,136.88 	$69.58 	$356.14 	2118	Take-Two Interactive Software, Inc. publishes, develops, and distributes interactive entertainment software, hardware, and accessories worldwide.	6.87900492	4.24241968
20100831	2010	SLP	SIMULATIONS PLUS INC	USA	$14.66 	0.147066849	$2.16 	$1.86 	$10.71 	$0.97 	$5.30 	40	Simulations Plus, Inc. develops and produces software for use in pharmaceutical research and education, as well as provides contract research services to the pharmaceutical industry.	2.685122697	-0.030459207
20110331	2010	EGHT	8X8 INC	USA	$26.58 	0.244282275	$6.49 	$21.29 	$70.16 	$4.82 	$40.67 	254	8x8, Inc. develops and markets telecommunications services for Internet protocol (IP), telephony, and video applications, as well as provides Web-based conferencing and unified communications services.	3.280309531	1.572566438
20110131	2010	QADB	QAD INC	USA	$213.09 	0.012722085	$2.71 	$87.04 	$220.01 	$34.58 	$119.42 	1350	QAD Inc. provides enterprise software applications, and related services and support for manufacturing companies. The company offers QAD Enterprise Applications, an integrated suite of software applications, which support the business processes.	5.361733383	3.543130878
20100630	2010	GCOM	GLOBECOMM SYSTEMS INC	USA	$240.71 	0.032827884	$7.90 	$169.40 	$227.82 	$3.34 	$41.34 	416	Globecomm Systems Inc., together with its subsidiaries, provides satellite-based communications infrastructure solutions and services. The company provides pre-engineered systems; systems design and integration services; and access, hosted, and lifecycle support services.	5.483592889	1.20656943
20101231	2010	RLRN	RENAISSANCE LEARNING INC	USA	$53.79 	0.444105672	$23.89 	$24.92 	$130.09 	$16.37 	$68.51 	893	Renaissance Learning, Inc. provides computer-based assessment and periodic progress monitoring technology for pre-kindergarten through senior high schools and districts in the United States and internationally.	3.985068985	2.795389302
20100630	2010	PVSW	PERVASIVE SOFTWARE INC	USA	$94.57 	0.043060329	$4.07 	$4.67 	$47.21 	$11.78 	$35.61 	229	Pervasive Software, Inc. provides embeddable software and SaaS services for data management, data integration, B2B exchange, and analytics.	4.549287429	2.46597864
20101231	2010	RNWK	REALNETWORKS INC	USA	$565.44 	0.008909844	$5.04 	$121.32 	$401.73 	$100.96 	$271.78 	1528	RealNetworks, Inc. provides network-delivered digital media products and services worldwide. It develops and markets software products and services that enable the creation, distribution, and consumption of digital media, including audio and video.	6.337607726	4.614674873
20101231	2010	SAAS	INCONTACT INC	USA	$40.59 	-0.026019465	($1.06)	$41.15 	$82.16 	$5.27 	$36.51 	330	inContact, Inc. provides cloud computing contact center services and network connectivity in the United States.	3.70339854	1.662220098
20110131	2010	DSGX	DESCARTES SYSTEMS GROUP INC	CAN	$241.27 	0.047826285	$11.54 	$31.46 	$99.18 	$16.97 	$42.10 		The Descartes Systems Group Inc. provides federated network and logistics technology solutions.	5.485912494	2.831506005
20101231	2010	VRSN	VERISIGN INC	USA	$2,444.01 	0.34000203	$830.97 	$89.02 	$680.58 	$53.66 	$274.76 	1048	VeriSign, Inc. provides Internet infrastructure services to various networks worldwide. The company provides domain name registry services and network intelligence and availability (NIA) services.	7.801393775	3.982742386
20101231	2010	SAP	SAP AG	DEU	$27,653.92 	0.086896026	$2,403.02 	$4,463.69 	$16,546.44 	$2,294.21 	$6,651.75 	53513	SAP AG provides business software primarily in Europe, the Middle East, Africa, the Americas, and the Asia Pacific Japan region.	10.22752288	7.738143837
20100630	2010	NZT	TELECOM CORP OF NEW ZEALAND	NZL	$4,737.54 	0.055353235	$262.24 	$2,420.18 	$3,618.88 	$5.52 		8629	Telecom Corporation of New Zealand Limited, together with its subsidiaries, provides telecommunications services, as well as information, communication, and technology services in New Zealand and Australia.	8.463272659	1.708559003
20101231	2010	3ABTG	AMBIENT CORP	USA	$10.57 	-0.301333586	($3.19)	$11.64 	$20.36 	$6.07 	$11.55 	59	Ambient Corporation, a smart grid communications platforms integrator, develops high-speed Internet protocols-based data communications networks for the medium and low-voltage distribution grids in North America.	2.358303582	1.80368804
20100930	2010	SOFO	SONIC FOUNDRY INC	USA	$18.27 	-0.00667871	($0.12)	$4.52 	$20.48 	$3.09 	$15.14 	90	Sonic Foundry, Inc. provides enterprise solutions and services for the Web communications market worldwide. It offers Web casting, lecture capture, and knowledge management solutions for higher education institutions, businesses, and government agencies.	2.905096153	1.128171091
20101231	2010	ULTI	ULTIMATE SOFTWARE GROUP INC	USA	$249.56 	0.008643316	$2.16 	$87.36 	$227.81 	$42.22 	$120.32 	1134	The Ultimate Software Group, Inc. designs, markets, implements, and supports unified human capital management (HCM) software-as-service (SaaS) solutions to businesses, providing a single source for comprehensive human resources, payroll, and talent management technology.	5.519687346	3.742941412
20101231	2010	IPLY	INTERPLAY ENTERTAINMENT CORP	USA	$0.29 	-3.553264605	($1.03)	$0.18 	$1.38 	$0.51 	$2.13 	11	Interplay Entertainment Corp. and its subsidiaries engage in developing, publishing, licensing, and distributing interactive entertainment software for use in various platforms, including personal computers, video game consoles, and mobile platforms.	-1.234432012	-0.665532014
20101231	2010	MSTR	MICROSTRATEGY INC	USA	$381.57 	0.114769136	$43.79 	$93.29 	$454.58 	$50.57 	$297.90 	2597	MicroStrategy Incorporated provides business intelligence (BI) software worldwide. It offers MicroStrategy 9, an integrated BI platform that enables businesses to make business decisions.	5.944283837	3.923279414
20100930	2010	DOX	AMDOCS LTD	GBR	$4,820.60 	0.071340853	$343.91 	$1,796.43 	$2,984.22 	$207.84 	$581.42 	19455	Amdocs Limited, through its subsidiaries, provides software and services to the communications, media, and entertainment industry service providers worldwide. The company's software systems support revenue management, customer management, service and resource management, and service delivery.	8.48065451	5.336749307
20101231	2010	CSGP	COSTAR GROUP INC	USA	$439.65 	0.030226454	$13.29 	$72.26 	$226.26 	$17.35 	$113.37 	1389	CoStar Group, Inc. provides information/marketing services to the commercial real estate industry in the United States, the United Kingdom, and France.	6.085974407	2.853592506
20101231	2010	RTLX	RETALIX LTD	ISR	$304.69 	0.035402964	$10.79 	$117.51 	$207.37 	$29.66 	$71.63 	1329	Retalix Ltd. provides integrated software solutions to food and fuel retailers, grocery, convenience stores, and foodservice distributors primarily in Israel, the United States, and Europe.	5.71930143	3.389698185
20101231	2010	BIRT	ACTUATE CORP	USA	$195.63 	0.05442389	$10.65 	$18.77 	$123.67 	$24.85 	$88.00 	569	Actuate Corporation provides software and services for business intelligence and reporting, and performance management applications primarily in North America, Europe, the Middle East, and the Asia/Pacific region.	5.276230232	3.212857753
20101231	2010	SCIL	SCIENTIFIC LEARNING CORP	USA	$31.80 	-0.304688237	($9.69)	$10.24 	$43.38 	$7.93 	$37.56 	212	Scientific Learning Corporation develops and sells educational software that accelerates learning by improving the processing efficiency of the brain.	3.459560625	2.071031274
20101231	2010	EBAY	EBAY INC	USA	$22,003.76 	0.081847868	$1,800.96 	$1,991.93 	$9,156.27 	$908.43 	$4,326.87 	17700	eBay Inc. provides online marketplaces for the sale of goods and services, as well as other online commerce, platforms, and online payment solutions to individuals and businesses in the United States and internationally.	9.998968718	6.811722238
20101231	2010	GEOY	GEOEYE INC	USA	$1,269.09 	0.019413199	$24.64 	$104.01 	$330.35 	$1.65 	$56.28 	723	GeoEye, Inc., together with its subsidiaries, provides earth imagery and imagery information products, as well as image processing services to the United States and foreign government defense and intelligence organizations, domestic federal and foreign civil agencies, and commercial customers.	7.146051447	0.498955451
20101231	2010	SCMWY	SWISSCOM AG	CHE	$22,485.86 	0.085963809	$1,932.97 	$8,096.92 	$12,806.06 	$29.89 		19547	Swisscom Ltd provides telecommunication services in Switzerland. Its Residential Customers segment offers broadband, fixed-network, and mobile phone services, as well as national and international telephone and data traffic.	10.02064186	3.397390143
20101231	2010	INSP	INFOSPACE INC	USA	$361.74 	0.037880484	$13.70 	$154.92 	$246.84 	$6.80 	$78.69 	174	InfoSpace, Inc. develops search tools and technologies that assist consumers with finding content and information on the Internet. It offers search services that enable Internet users to locate and view content, information, merchants, individuals, and products online.	5.890934015	1.916922612
20100930	2010	CNQR	CONCUR TECHNOLOGIES INC	USA	$1,043.75 	0.019718248	$20.58 	$65.12 	$292.94 	$28.00 	$162.80 	1200	Concur Technologies, Inc. provides on-demand employee spend management solutions worldwide.	6.950579109	3.332097362
20101231	2010	VMII	VOICE MOBILITY INTL INC	CAN	$0.03 	-28.76470588	($0.98)	$0.86 	$0.10 	$0.01 		0	Voice Mobility International, Inc. engages in the development, marketing, and sale of messaging software systems.	-3.381394754	-4.268697949
20110331	2010	3UDWK	US DATAWORKS INC	USA	$5.78 	-0.105135743	($0.61)	$2.50 	$7.28 	$0.97 	$4.74 	34	US Dataworks, Inc. engages in the development, marketing, and support of payment processing software for the financial services industry in the United States.	1.754922579	-0.031490667
20100630	2010	EPAY	BOTTOMLINE TECHNOLOGIES INC	USA	$269.38 	0.014678041	$3.95 	$64.32 	$157.99 	$18.86 	$68.76 	747	Bottomline Technologies (de), Inc. markets and provides electronic payment, invoice, and document automation solutions to corporations, financial institutions, and banks worldwide.	5.596130447	2.936937227
20101231	2010	INFA	INFORMATICA CORP	USA	$1,189.64 	0.072563067	$86.32 	$98.99 	$650.08 	$106.04 	$397.81 	2126	Informatica Corporation provides enterprise data integration and data quality software and services worldwide. Its software solutions include a set of technologies that enable various enterprise-wide data integration initiatives.	7.08140686	4.663844672
20101231	2010	RATE	BANKRATE INC	USA	$1,123.82 	-0.01915522	($21.53)	$85.33 	$220.60 	$8.72 	$64.00 	378	Bankrate, Inc. offers online financial data feed management services. The company's suite provides information on financial products, including mortgages, credit cards, new and used auto loans, money market accounts and CDs, checking and ATM fees, home equity loans, and online banking fees.	7.024487986	2.165848569
20101231	2010	EDGR	EDGAR ONLINE INC	USA	$30.25 	-0.238983107	($7.23)	$7.83 	$19.47 	$1.85 	$14.62 	143	EDGAR Online, Inc. creates and distributes financial data and public filings for equities, mutual funds, and other publicly traded assets primarily in the United States.	3.409463126	0.616266136
20101231	2010	ORCC	ONLINE RESOURCES CORP	USA	$310.59 	0.017309271	$5.38 	$59.90 	$149.51 	$9.90 	$61.58 	603	Online Resources Corporation provides outsource and Web-and phone-based financial technology services to financial institution, biller, card issuer, and creditor clients in the United States.	5.738457616	2.292635762
20100630	2010	OPWV	OPENWAVE SYSTEMS INC	USA	$188.61 	-0.031053661	($5.86)	$65.19 	$183.30 	$41.05 	$113.25 	584	Openwave Systems Inc. provides software solutions for the communications and media industries in North America, Latin America, Europe, Africa, the Middle East, and the Asia-Pacific.	5.239676089	3.714669026
20100930	2010	ARBA	ARIBA INC	USA	$721.71 	0.022704442	$16.39 	$125.77 	$361.15 	$46.04 	$202.84 	1804	Ariba, Inc., together with its subsidiaries, provides collaborative business commerce solutions for buying and selling goods and services.	6.581622011	3.829532304
20101231	2010	QPSA	QUEPASA CORP	USA	$16.45 	-0.404242387	($6.65)	$11.79 	$6.05 	$4.78 		76	Quepasa Corp., through its Web site, Quepasa.com, operates as an online social community for young Hispanics.	2.800507831	1.563393974
20101231	2010	CTCH	COMMTOUCH SOFTWARE LTD	ISR	$31.98 	0.13767119	$4.40 	$2.21 	$18.16 	$3.40 	$11.61 	93	Commtouch Software Ltd., together with its subsidiaries, develops and provides messaging, antivirus, and Web security solutions primarily to original equipment manufacturer partners and enterprises.	3.465173245	1.222892689
20101130	2010	TIBX	TIBCO SOFTWARE INC	USA	$1,205.00 	0.064803373	$78.09 	$168.30 	$754.01 	$124.65 	$414.27 	2540	TIBCO Software Inc. provides middleware and infrastructure software worldwide. It offers its products in the areas of service-oriented architecture (SOA), business optimization, and business process management (BPM).	7.094234016	4.825541899
20101231	2010	CHINA	CDC CORP	HKG	$514.46 	-0.07891816	($40.60)	$150.27 	$317.84 	$27.88 	$146.58 		CDC Corporation operates as an enterprise software and media company. Its Software segment offers enterprise software applications and related services.	6.243111976	3.327766104
20101231	2010	JCOM	J2 GLOBAL COMMUNICATIONS INC	USA	$532.62 	0.155920792	$83.05 	$29.58 	$255.39 	$12.83 	$106.09 	600	j2 Global Communications, Inc. provides outsourced, value-added communication, messaging, and data backup services to businesses of all sizes, from individuals to enterprises worldwide.	6.277813857	2.551552324
20101231	2010	VHC	VIRNETX HOLDING CORP	USA	$81.69 	0.506977257	$41.42 	$0.00 	$0.07 	$2.41 	$36.12 	11	VirnetX Holding Corporation engages in developing and commercializing software and technology solutions for securing real-time communications over the Internet.	4.40298056	0.880456279
20100831	2010	3DSNY	DESTINY MEDIA TECHNOLOGIES	CAN	$2.58 	0.65374176	$1.69 	$3.03 	$3.77 	$1.19 		23	Destiny Media Technologies Inc., through its subsidiaries, engages in the development and marketing of digital media software and solutions principally in the United States, Europe, and Australia.	0.947401727	0.177309015
20101231	2010	ICGE	ICG GROUP INC	USA	$280.99 	0.165803644	$46.59 	$68.48 	$115.71 	$10.64 	$52.85 	773	Internet Capital Group Inc. is a private equity and venture capital firm specializing in patient capital, growth capital, acquisitions, and mid and late venture investments in public and private companies.	5.638315523	2.364996353
20110331	2010	IIJI	INTERNET INITIATIVE JAPAN INC	JPN	$863.62 	0.044819585	$38.71 	$722.08 	$995.87 	$4.27 	$150.42 		Internet Initiative Japan Inc. together with its subsidiaries, provides Internet connectivity, outsourcing, and systems integration services to customers primarily in Japan.	6.761130541	1.452550157
20101231	2010	MOVE	MOVE INC	USA	$239.02 	-0.064731526	($15.47)	$33.04 	$197.50 	$34.32 	$150.71 	966	Move, Inc., together with its subsidiaries, operates an online network of Web sites for real estate search, finance, and moving and home enthusiasts in North America.	5.476538863	3.535728275
20110228	2010	RHT	RED HAT INC	USA	$2,199.32 	0.04877776	$107.28 	$102.29 	$909.28 	$171.25 	$613.31 	3700	Red Hat, Inc. provides open source software solutions to enterprises worldwide. It also offers enterprise-ready open source operating system platforms.	7.69590441	5.143141995
20101031	2010	COOL	MAJESCO ENTERTAINMENT CO	USA	$30.03 	-0.03236871	($0.97)	$57.26 	$75.65 	$3.35 	$19.91 	71	Majesco Entertainment Company provides interactive entertainment products primarily in the United States and Europe. It offers video game software and other digital entertainment products.	3.402163581	1.208064422
20101231	2010	LOOK	LOOKSMART LTD	USA	$35.73 	0.027291813	$0.98 	$26.03 	$47.48 	$9.04 	$18.01 	52	LookSmart, Ltd. operates as an online search advertising network solutions company that provides solutions for search advertisers and publishers.	3.575850724	2.201548549
20101231	2010	QSFT	QUEST SOFTWARE INC	USA	$1,635.58 	0.060264101	$98.57 	$61.85 	$767.10 	$151.90 	$537.65 	3460	Quest Software, Inc. designs, develops, markets, distributes, and supports enterprise systems management software products worldwide. Its products are designed to support or to interact, or interoperate with other vendors' software or hardware platforms.	7.399755206	5.023196076
20101231	2010	LIOX	LIONBRIDGE TECHNOLOGIES INC	USA	$156.98 	-0.008217817	($1.29)	$275.47 	$405.24 	$3.88 	$109.19 	4500	Lionbridge Technologies, Inc. provides language, development, and testing services.	5.056092927	1.355835154
20100630	2010	3EGAN	EGAIN COMMUNICATIONS	USA	$15.32 	-0.008291982	($0.13)	$9.08 	$29.88 	$5.51 	$18.95 	272	eGain Communications Corporation provides customer service and contact center software that enables companies to build customer interaction hubs worldwide.	2.728898034	1.706564623
20101231	2010	ININ	INTERACTIVE INTELLIGENCE GRP	USA	$176.23 	0.084553316	$14.90 	$46.11 	$166.32 	$28.35 	$92.13 	849	Interactive Intelligence, Inc. provides software application suites for voice over Internet protocol (VoIP) business communications to enterprises in the United States and internationally.	5.171801309	3.344591756
20100930	2010	KEYN	KEYNOTE SYSTEMS INC	USA	$186.52 	0.009039148	$1.69 	$36.50 	$79.85 	$11.98 	$37.48 	323	Keynote Systems, Inc. provides Internet and mobile cloud monitoring solutions worldwide.	5.228549195	2.483071634
20101231	2010	UNTD	UNITED ONLINE INC	USA	$992.16 	0.054111341	$53.69 	$403.12 	$920.55 	$55.38 	$339.93 	1606	United Online, Inc. provides consumer products and services over the Internet, primarily in the United States and internationally. The company operates in three segments: FTD, Classmates Media, and Communications.	6.899882369	4.014236575
20101231	2010	INAP	INTERNAP NETWORK SVCS CORP	USA	$293.14 	-0.012355787	($3.62)	$147.28 	$244.16 	$1.90 	$62.28 	416	Internap Network Services Corporation provides information technology (IT) infrastructure services. The company operates through two segments, Data Center Services and IP Services.	5.680657133	0.641853886
20110131	2010	TIVO	TIVO INC	USA	$285.82 	-0.295684666	($84.51)	$119.31 	$219.61 	$81.60 	$176.85 	611	TiVo Inc., together with its subsidiaries, provides television technology and services that include digital video recorders (DVRs) in the United States and internationally.	5.655355245	4.40187828
20101231	2010	JCDA	JACADA LTD	ISR	$24.69 	-0.429705537	($10.61)	$10.75 	$17.16 	$3.48 	$13.26 	96	Jacada Ltd., together with its subsidiaries, develops, markets, and supports unified service desktop and process solutions that automate customer service processes worldwide.	3.2063578	1.246457416
20101231	2010	BSQR	BSQUARE CORP	USA	$42.10 	0.146403459	$6.16 	$75.39 	$96.77 	$3.38 	$16.23 	215	Bsquare Corporation provides software and engineering services to the smart device marketplace primarily in North America and Taiwan.	3.739952724	1.217579808
20101231	2010	AKAM	AKAMAI TECHNOLOGIES INC	USA	$2,352.68 	0.072776702	$171.22 	$176.82 	$1,023.59 	$54.77 	$449.66 	2200	Akamai Technologies, Inc. provides services for accelerating and improving the delivery of content and applications over the Internet in the United States and internationally.	7.763308683	4.003069563
20101231	2010	KTOS	KRATOS DEFENSE & SECURITY	USA	$536.10 	0.027047193	$14.50 	$305.60 	$408.50 	$2.20 	$65.20 	2900	Kratos Defense & Security Solutions, Inc. provides engineering, war fighter, security, and information technology services, solutions, and products in the United States.	6.284320711	0.78845736
20101231	2010	SQI	SCIQUEST INC	USA	$76.69 	0.022728755	$1.74 	$8.81 	$42.48 	$8.40 	$25.29 	192	SciQuest, Inc. provides an on-demand strategic procurement and supplier enablement solution worldwide. The company's solution integrates its customers with their suppliers for automating the source-to-settle process.	4.339732203	2.127636291
20101231	2010	DDDC	DELTATHREE INC	USA	$2.20 	-1.136156648	($2.50)	$11.22 	$14.20 	$1.48 	$4.76 	48	deltathree, Inc., together with its subsidiaries, provides integrated voice over Internet protocol (VoIP), telephony services, products, hosted solutions, and infrastructure worldwide.	0.786637524	0.394067063
20101231	2010	XOXO	XO GROUP INC	USA	$235.24 	0.015533139	$3.65 	$23.18 	$111.88 	$22.81 	$77.82 	605	XO Group Inc. provides multiplatform media services to the wedding, newlywed, and pregnancy markets in the United States.	5.460602019	3.127286713
20101231	2010	WZE	WIZZARD SOFTWARE CORP	USA	$21.36 	-0.192460782	($4.11)	$3.25 	$5.54 	$0.32 	$4.82 	110	Wizzard Software Corporation provides software products and services for the speech recognition and text-to-speech technology. It operates in three segments Software, Healthcare, and Media Services.	3.061285904	-1.136314156
20100731	2010	EONC	EON COMMUNICATIONS CORP	USA	$15.61 	0.029926306	$0.47 	$10.68 	$17.09 	$0.50 	$5.29 	104	eOn Communications Corporation, together with its subsidiaries, provides communications solutions in the United States and internationally.	2.747591376	-0.689155159
20101231	2010	GIGM	GIGAMEDIA LTD	TWN	$267.59 	0.009903247	$2.65 	$16.32 	$64.68 	$7.30 	$62.31 	489	Gigamedia Limited, through its subsidiaries, primarily engages in the operation of online games for online game players in Asia.	5.589452221	1.988011325
20101231	2010	ONVI	ONVIA INC	USA	$21.65 	-0.03722176	($0.81)	$1.22 	$26.99 	$3.77 	$22.97 	139	Onvia, Inc. provides information products and research tools that help companies plan, market, and sell to targeted markets in the United States.	3.075190195	1.326809714
20101231	2010	ASIA	ASIAINFO-LINKAGE INC	CHN	$1,253.21 	0.044853759	$56.21 	$148.68 	$343.38 	$36.17 	$105.32 	8221	AsiaInfo-Linkage, Inc. provides telecommunications software solutions and information technology (IT) products and services to telecommunications carriers and other enterprises in the People's Republic of China.	7.133460347	3.588285339
20110331	2010	SLTC	SELECTICA INC	USA	$20.59 	-0.072174462	($1.49)	$4.58 	$14.52 	$3.00 	$10.92 	51	Selectica, Inc. provides contract management and sales configuration software solutions that allow enterprises to manage sell-side business processes.	3.024756953	1.0979454
20101231	2010	RVSN	RADVISION LTD	ISR	$165.61 	-0.020674955	($3.42)	$21.53 	$95.24 	$30.94 	$68.73 	429	RADVISION Ltd. engages in the design, development, and supply of products and technology that enable real-time voice, video and data communications over packet and mobile third generation (3G) networks, including the Internet and other networks based on the Internet Protocol (IP).	5.109641665	3.431952879
20101231	2010	KT	KT CORP	KOR	$24,512.17 	0.04214576	$1,033.08 	$8,963.43 	$18,867.25 	$237.75 	$5,082.24 	31155	KT Corporation provides integrated telecommunications services in Korea. It offers personal communications services, mobile telecommunications services, and third-generation HSDPA-based IMT-2000 wireless Internet and video multimedia communications services.	10.10692497	5.471228114
20101231	2010	WBSN	WEBSENSE INC	USA	$661.94 	0.028177653	$18.65 	$16.29 	$332.76 	$54.33 	$248.86 	1442	Websense, Inc. provides unified Web, data, and email content security solutions to protect data and users from cyber-threats, information leaks, legal liability, and productivity loss.	6.49517945	3.994984526
20101231	2010	VCLK	VALUECLICK INC	USA	$613.57 	0.147514452	$90.51 	$110.18 	$430.80 	$35.05 	$200.76 	1062	ValueClick, Inc. provides performance-based online advertising campaigns and programs primarily in the United States and the United Kingdom. It operates in four segments: Affiliate Marketing, Media, Owned & Operated Websites, and Technology.	6.419289468	3.556690018
20101231	2010	HSTM	HEALTHSTREAM INC	USA	$82.01 	0.050651742	$4.15 	$26.39 	$65.75 	$6.99 	$29.62 	432	HealthStream, Inc. provides Internet-based learning and research solutions for the training, information, and education needs of the healthcare industry in the United States. The company operates in two segments, HealthStream Learning and HealthStream Research.	4.406853385	1.944337485
20101231	2010	SPRT	SUPPORT.COM INC	USA	$93.74 	-0.192737281	($18.07)	$27.69 	$44.18 	$5.21 	$34.27 	761	Support.com, Inc. provides Instant Technology Relief to consumers and small businesses via channel partners and its support.com site. It operates as a pure-play technology enabled services firm that addresses technology issues.	4.540514325	1.651347316
20101231	2010	LPSN	LIVEPERSON INC	USA	$131.14 	0.07060232	$9.26 	$22.62 	$109.86 	$15.71 	$65.62 	481	LivePerson, Inc. provides online engagement solutions that facilitate real-time assistance and advice. It connects businesses and independent service providers with consumers seeking help on its hosted software platform.	4.876288331	2.754361104
20101231	2010	SINA	SINA CORP	CHN	$1,636.09 	-0.011670507	($19.09)	$154.80 	$402.62 	$34.05 	$134.63 	3600	SINA Corporation provides online media and mobile value-added services (MVAS) in the People's Republic of China. It provides advertising, non-advertising, and free services through SINA.com, Weibo.com, and SINA Mobile.	7.400064528	3.527771294
20101231	2010	CKSW	CLICKSOFTWARE TECHNOLOGIES	ISR	$79.83 	0.113307528	$9.05 	$24.86 	$71.02 	$7.92 	$33.88 	318	ClickSoftware Technologies Ltd. provides workforce and service management software products and solutions.	4.379861793	2.069391206
20101231	2010	NTES	NETEASE.COM INC	CHN	$1,755.56 	0.192960631	$338.75 	$199.75 	$834.50 	$48.17 	$176.44 	5627	NetEase.com, Inc., an Internet technology company, engages in the development of applications, services, and other technologies for the Internet in China.	7.470540325	3.87475718
20101231	2010	SOHU	SOHU.COM INC	CHN	$1,187.59 	0.125151778	$148.63 	$139.61 	$612.78 	$75.60 	$218.43 	5167	Sohu.com Inc., through its subsidiaries, engages in the brand advertising, online gaming, sponsored search, and wireless businesses in China.	7.079681323	4.325456283
20110331	2010	OPNT	OPNET TECHNOLOGIES INC	USA	$191.82 	0.064648139	$12.40 	$26.99 	$147.99 	$34.72 	$96.40 	578	OPNET Technologies, Inc. provides software products and related services for managing applications and networks in the United States and internationally.	5.256573072	3.547258284
20101231	2010	MNDO	MIND CTI LTD	ISR	$30.46 	0.159416959	$4.86 	$5.59 	$19.89 	$4.06 	$7.73 	311	Mind C.T.I. Ltd. develops, manufactures, and markets real-time and off-line billing and customer care software for various types of communication providers.	3.416447177	1.400443784
20101231	2010	3RDVWF	RADVIEW SOFTWARE LTD	ISR	$1.00 	0.129482072	$0.13 	$0.17 	$2.42 	$0.90 	$2.28 	15	RadView Software Ltd. engages in the development and marketing of software for testing the performance, scalability, and integrity of Internet applications.	0.003992021	-0.109814866
20101231	2010	VRYAF	VIRYANET LTD	ISR	$9.76 	0.068545082	$0.67 	$4.48 	$11.12 	$1.07 	$5.73 		ViryaNet Ltd., together with its subsidiaries, develops, markets, and supports integrated mobile and Web-based software applications for the workforce management and automation of field service delivery primarily in the United States, Europe, and the Asia Pacific.	2.2782924	0.065787741
20101031	2010	3SPCK	SUPERCLICK INC	CAN	$5.00 	0.158073541	$0.79 	$5.02 	$9.09 	$0.28 	$2.87 		Superclick, Inc. provides IP-based data management solutions to the hospitality, conference center and event, multi-tenant unit, and university markets.	1.610237593	-1.258781041
20101231	2010	TKAGY	TELEKOM AUSTRIA AG	AUT	$10,025.82 	0.02585425	$259.21 	$4,114.36 	$6,289.51 	$50.95 		16501	Telekom Austria AG, together with its subsidiaries, provides multimedia solutions for residential and business customers in Austria and internationally.	9.212918845	3.930903639
20110430	2010	LAVA	MAGMA DESIGN AUTOMATION INC	USA	$106.47 	-0.030637163	($3.26)	$16.33 	$139.29 	$49.90 	$113.16 		Magma Design Automation, Inc. provides electronic design automation software products and related services.	4.66788204	3.909920797
20100630	2010	VMCS	VISUALMED CLINICAL SOLUTIONS	USA	$0.16 	-0.13125	($0.02)	$0.09 	$0.39 	$0.03 	$0.24 	3	VisualMED Clinical Solutions Corp. markets and distributes clinical management solutions. It provides VisualMED smart EHRs and Clinical Information Systems; and the VisualMED system, a suite of software modules that constitute a functional Clinical Information System.	-1.832581464	-3.506557897
20101231	2010	GSB	GLOBALSCAPE INC	USA	$20.55 	0.042877306	$0.88 	$0.60 	$18.57 	$3.02 	$15.83 	84	GlobalSCAPE, Inc. develops, distributes, and maintains secure managed file transfer software that enables individuals and business users to exchange information over the Internet, as well as wide-area file system (WAFS) collaboration and continuous data protection (CDP) software.	3.022714945	1.10393145
20100930	2010	SBAY	SUBAYE INC	CHN	$48.10 	-0.378222185	($18.19)	$2.34 	$39.14 	$0.24 	$32.52 	1539	Subaye, Inc. provides online business services in the People's Republic of China. The company offers bundled cloud product that uses Internet-based computing, storage, and connectivity technology to deliver various services to small-to-medium sized enterprises.	3.873365334	-1.439695138
20101231	2010	NLTX	NILE THERAPEUTICS INC	USA	$3.67 	-1.645117294	($6.03)	$6.17 	$0.00 	$4.08 		3	Nile Therapeutics, Inc., a development stage biopharmaceutical company, develops pharmaceutical products for the treatment of cardiovascular diseases.	1.299101149	1.406342056
