Name	Artist	Genre	Megabytes (MB)	Time (seconds)	Format	Format Dummy	Dummy * Time
Mona Ray	Leo Kottke	Folk	37.5282021	223	AIFF	1	223
Medley	Leo Kottke	Folk	22.0175648	130	AIFF	1	130
Hay Unos Ojos	Linda Ronstadt	Latin	28.2420559	167	AIFF	1	167
La Cigarra	Linda Ronstadt	Latin	38.6049099	229	AIFF	1	229
Cold  Cold  Cold	Little Feat	Rock	40.6169052	241	AIFF	1	241
Big Love	Little Village	Rock	64.7766914	385	AIFF	1	385
Fool Who Knows	Little Village	Rock	37.9992619	225	AIFF	1	225
The Sad Café	Lorrie Morgan	Rock	47.9853134	285	AIFF	1	285
Río De Tenampa	Los Super Seven	Latin	44.1900997	262	AIFF	1	262
Foot Of Pride	Lou Reed	Folk	88.7974949	527	AIFF	1	527
When I Stop Dreaming	The Louvin Brothers	Country	25.4719048	151	AIFF	1	151
Pra Que Discutir Com Madame	Luciana Souza	World	27.4816875	163	AIFF	1	163
Creeps Like Me	Lyle Lovett	Country	22.661356	134	AIFF	1	134
Moon On My Shoulder	Lyle Lovett	Country	23.583252	140	AIFF	1	140
If I Had A Boat	Lyle Lovett	Country	32.0058441	190	AIFF	1	190
Shes No Lady	Lyle Lovett	Country	32.8357677	195	AIFF	1	195
Simple Song	Lyle Lovett	Country	33.697094	200	AIFF	1	200
Pontiac	Lyle Lovett	Country	24.5813675	146	AIFF	1	146
Pontiac	Lyle Lovett	Country	24.5813675	146	AIFF	1	146
Lonely In Love	Lyle Lovett	Country	27.8046665	165	AIFF	1	165
The Road to Ensenada	Lyle Lovett	Country	43.0080013	255	AIFF	1	255
La Ronde	M.J.Q.	Jazz	2.96351624	190	AAC	0	0
Vendome	M.J.Q.	Jazz	3.02862549	195	AAC	0	0
Autumn In New York	M.J.Q.	Jazz	3.44118309	222	AAC	0	0
Jackson	Mandy Barnett And Chuck Mead	Country	28.8970757	171	AIFF	1	171
The Speak Up Mambo (Cuentame)	The Manhattan Transfer	Jazz	31.3621635	186	AIFF	1	186
So You Say (Esquinas)	The Manhattan Transfer	Jazz	50.721859	301	AIFF	1	301
Trickle Trickle	The Manhattan Transfer	Jazz	23.6505718	140	AIFF	1	140
I Got It Bad	Marcus Roberts	Jazz	35.8056126	212	AIFF	1	212
Shout em Aunt Tillie	Marcus Roberts	Jazz	56.717495	337	AIFF	1	337
Our Love Is Here To Stay	Marcus Roberts	Jazz	5.35351181	348	AAC	0	0
They Cant Take That Away From Me	Marcus Roberts	Jazz	7.84582233	510	AAC	0	0
How Long Has This Been Going On?	Marcus Roberts	Jazz	4.02484703	262	AAC	0	0
But Not For Me	Marcus Roberts	Jazz	5.75731087	372	AAC	0	0
Shout em Aunt Tillie	Marcus Roberts	Jazz	56.6210365	336	AIFF	1	336
Creole Blues	Marcus Roberts	Jazz	17.8388195	106	AIFF	1	106
The Jitterbug Waltz	Marcus Roberts	Jazz	4.06158447	262	AAC	0	0
Texas Rangers	Michael Martin Murphey	Country	3.12098217	201	AAC	0	0
Secret To A Long Life	Michelle Shocked	Alternative   Punk	3.57023239	230	AAC	0	0
Jump Jim Crow	Michelle Shocked	Alternative   Punk	3.28826046	212	AAC	0	0
Strawberry Jam	Michelle Shocked	Alternative   Punk	4.22451973	273	AAC	0	0
Mother Of A Man	Mick Jagger	Rock	43.3265896	257	AIFF	1	257
Think	Mick Jagger	Rock	30.1374226	179	AIFF	1	179
Hang On To Me Tonight	Mick Jagger	Rock	46.5790081	276	AIFF	1	276
Battle In The Horseshoe	Mike Seeger	Folk	1.80190945	114	AAC	0	0
Big Time	Miles Davis	Jazz	5.2816906	341	AAC	0	0
Hannibal	Miles Davis	Jazz	5.42542839	351	AAC	0	0
Deception	Miles Davis	Jazz	28.6525173	170	AIFF	1	170
Bye Bye Blackbird	Miles Davis   John Coltrane	Jazz	80.3031368	477	AIFF	1	477
So What	Miles Davis   John Coltrane	Jazz	94.8716564	563	AIFF	1	563
Flamenco Sketches	Miles Davis   John Coltrane	Jazz	95.4997177	567	AIFF	1	567
All Blues	Miles Davis   John Coltrane	Jazz	116.505798	692	AIFF	1	692
Milestones	Miles Davis   John Coltrane	Jazz	58.0184917	344	AIFF	1	344
Two Bass Hit (Alternate Take)	Miles Davis   John Coltrane	Jazz	3.12438011	201	AAC	0	0
Sweet Sue   Just You (False start With Discussion Between Leonard Bernstein   Miles Davis)	Miles Davis   John Coltrane	Jazz	19.9878235	118	AIFF	1	118
Miles Davis Comments	Miles Davis   John Coltrane	Jazz	5.15674782	30	AIFF	1	30
Two Bass Hit (Alternate Take)	Miles Davis   John Coltrane	Jazz	45.8567696	272	AIFF	1	272
My Funny Valentine	Miles Davis   John Coltrane	Jazz	9.56199646	618	AAC	0	0
The Late Late Blues	Milt Jackson   John Coltrane	Jazz	8.84972382	575	AAC	0	0
Delilah	Milt Jackson   Wes Montgomery	Jazz	5.7229929	371	AAC	0	0
Odds Against Tomorrow	Modern Jazz Quartet	Jazz	7.89755726	510	AAC	0	0
Odds Against Tomorrow	Modern Jazz Quartet	Jazz	8.25816727	534	AAC	0	0
The Martyr	Modern Jazz Quartet	Jazz	8.24493408	533	AAC	0	0
Valeria	Modern Jazz Quartet	Jazz	6.31719017	408	AAC	0	0
Romaine	Modern Jazz Quartet	Jazz	6.83496475	445	AAC	0	0
Jazz Ostinato	Modern Jazz Quartet	Jazz	5.87360287	382	AAC	0	0
D and E	Modern Jazz Quartet	Jazz	7.79031944	506	AAC	0	0
Honaloochie Boogie	Mott The Hoople	Rock	26.925396	160	AIFF	1	160
All The Young Dudes	Mott The Hoople	Rock	35.3861504	210	AIFF	1	210
Listen To The Radio	Nanci Griffith	Folk	38.9166908	231	AIFF	1	231
Deck The Hall	Nat King Cole	Holiday	11.5246735	68	AIFF	1	68
Adeste Fideles	Nat King Cole	Holiday	24.7990246	147	AIFF	1	147
Like A Hurricane	Neil Young	Rock	47.8305359	284	AIFF	1	284
Transformer Man	Neil Young	Rock	36.3730774	216	AIFF	1	216
Long May You Run	Neil Young	Rock	54.1895599	322	AIFF	1	322
Buffalo Spingfield Again	Neil Young	Rock	34.1704102	203	AIFF	1	203
This Town	Neil Young   Crazy Horse	Rock	30.5479031	181	AIFF	1	181
Baby  What You Want Me To Do	Neil Young   Crazy Horse	Rock	82.1760197	488	AIFF	1	488
Country Home	Neil Young   Crazy Horse	Rock	71.5619221	425	AIFF	1	425
Love To Burn	Neil Young   Crazy Horse	Rock	101.022036	600	AIFF	1	600
Love And Only Love	Neil Young   Crazy Horse	Rock	104.023232	618	AIFF	1	618
Fearless	Neville Brothers	R B	42.507822	252	AIFF	1	252
Sons And Daughters	Neville Brothers	R B	50.885622	302	AIFF	1	302
Sons And Daughters (Reprise)	Neville Brothers	R B	41.9134636	249	AIFF	1	249
Mystery Train	Neville Brothers	R B	45.6929321	271	AIFF	1	271
Sleepy Time Gal	Oscar Peterson	Jazz	30.5501289	181	AIFF	1	181
Dizzy Atmosphere	Oscar Peterson   Dizzy Gillespie	Jazz	49.6967602	295	AIFF	1	295
Alone Together	Oscar Peterson   Dizzy Gillespie	Jazz	53.4987144	318	AIFF	1	318
Quiet Nights Of Quiet Stars (Corcovado)	Oscar Peterson Trio	Jazz	2.62502384	170	AAC	0	0
After The Rain	Ottmar Liebert	World	33.5647926	199	AIFF	1	199
Shepherds Nite Watch	Ottmar Liebert	Holiday	30.5411758	181	AIFF	1	181
Deep In Your Heart	Ottmar Liebert	World	45.0244923	267	AIFF	1	267
Lilac Sun	Ottmar Liebert	World	53.3371983	317	AIFF	1	317
Dawn In A New World	Ottmar Liebert	World	43.9209175	261	AIFF	1	261
And L	Panoptica	Electronica/Dance	59.8913708	356	AIFF	1	356
Excerpt (from Aires Tropicales)	Paquito DRivera	Latin	0.78967476	48	AAC	0	0
Movie Magg	Paul McCartney	Rock	2.07078743	132	AAC	0	0
Still Crazy After All These Years	Paul Simon	Rock	34.0897007	202	AIFF	1	202
Legs	PJ Harvey	Alternative   Punk	37.0459785	220	AIFF	1	220
Yuri G	PJ Harvey	Alternative   Punk	35.042944	208	AIFF	1	208
Spirits In The Material World	The Police	Rock	30.0589352	178	AIFF	1	178
Pray On My Child	Pops Staples	Blues	44.627449	265	AIFF	1	265
The Ballad Of Dorothy Parker	Prince	Rock	40.7021675	241	AIFF	1	241
Moonless	Ralph Towner	Jazz	4.28525829	279	AAC	0	0
Taxis Waiting	Ralph Towner	Jazz	4.23650551	274	AAC	0	0
Tequila Mockingbird	Ramsey Lewis	Jazz	47.8059063	284	AIFF	1	284
I Guess Things Happen That Way	Raul Malo	Country	31.5954399	187	AIFF	1	187
Just A Gigolo	Ray Brown Trio With Benny Green	Jazz	55.4389896	329	AIFF	1	329
Little Darlin	Ray Brown Trio with Russell Malone	Jazz	7.22377014	467	AAC	0	0
The Sinking Of The Reuben James	Rich Brotherton	Folk	34.6863651	206	AIFF	1	206
Easy There  Steady Now	Richard Thompson	Rock	48.1894398	286	AIFF	1	286
Mascara Tears	Richard Thompson	Rock	36.749918	218	AIFF	1	218
Darling Corey: Bruce Hornsby	Ricky Skaggs   Friends	Country	52.9087906	314	AIFF	1	314
Girl With the Indigo Eyes	The Rippingtons	Jazz	48.7770996	289	AIFF	1	289
Beautiful Love Of God	The Roches	Pop	44.8966293	266	AIFF	1	266
(Music Fadeout)	The Roches	Pop	4.5599823	27	AIFF	1	27
Here We Come A Carolling	The Roches	Holiday	15.2256699	90	AIFF	1	90
Good King Wenceslas	The Roches	Holiday	35.2784653	209	AIFF	1	209
The First Nowell	The Roches	Holiday	18.9042511	112	AIFF	1	112
Ballad Of A Teenage Queen	Rodney Crowell	Country	32.1831169	191	AIFF	1	191
Heartbreak Hotel Intro	Roger McGuinn	Rock	5.16786194	30	AIFF	1	30
Chestnut Mare Intro	Roger McGuinn	Rock	27.9010906	165	AIFF	1	165
Torn   Frayed	The Rolling Stones	Rock	3.99205875	258	AAC	0	0
I Just Want To See His Face	The Rolling Stones	Rock	2.70369434	173	AAC	0	0
Its Only Rock N Roll (But I Like It)	The Rolling Stones	Rock	51.6773987	307	AIFF	1	307
Time Waits For No One	The Rolling Stones	Rock	66.9906292	398	AIFF	1	398
Let There Be PEace On Earth	Ronnie Wells	Holiday	45.9508591	273	AIFF	1	273
Jailbait	Roosevelt Sykes	Blues	24.6643639	146	AIFF	1	146
Klactoveesedstene	The Roy Hargrove/Christian McBride/Stephen Scott Trio	Jazz	4.32382965	279	AAC	0	0
Bongo Beep	The Roy Hargrove/Christian McBride/Stephen Scott Trio	Jazz	2.91688251	187	AAC	0	0
Get Rhythm	Ry Cooder	Blues	33.1991558	197	AIFF	1	197
Going Back to Okinawa	Ry Cooder	Blues	47.4581814	282	AIFF	1	282
Billy The Kid	Ry Cooder	Rock	38.3850842	228	AIFF	1	228
Great Dream From Heaven	Ry Cooder	Rock	19.4941959	115	AIFF	1	115
Persuasion	Santana	Rock	2.43318844	156	AAC	0	0
Roddy McCorley	Schooner Fare	Folk	43.9096527	261	AIFF	1	261
What Christmas Means To Me	Schooner Fare	Holiday	39.4236202	234	AIFF	1	234
The Entertainer	Scott Joplin	Jazz	31.6088467	187	AIFF	1	187
Aminahs Dream	Scott  Stephen	Jazz	6.06084061	392	AAC	0	0
Behind The Scenes	Scott  Stephen	Jazz	4.26462841	275	AAC	0	0
The Pit   The Pendulum	Scott  Stephen	Jazz	5.01386738	325	AAC	0	0
Sally Anne	Sidna Myers (banjo) and Fulton Myers (fiddle)	Folk	22.7847462	135	AIFF	1	135
Shady Grove	Sidna Myers (banjo) and Fulton Myers (fiddle)	Folk	17.8702431	106	AIFF	1	106
You Can Tell the World	Simon   Garfunkel	Rock	27.8383369	165	AIFF	1	165
I Am a Rock	Simon   Garfunkel	Rock	28.6502991	170	AIFF	1	170
For Emily  Whenever I May Find Her	Simon   Garfunkel	Rock	1.93382645	124	AAC	0	0
Old Friends	Simon   Garfunkel	Rock	2.4204464	155	AAC	0	0
Punkys Dilemma	Simon   Garfunkel	Rock	2.07559967	137	AAC	0	0
Homeward Bound	Simon   Garfunkel	Country	25.2206764	149	AIFF	1	149
Youve Got To Believe In Something	Spin Doctors	Rock	40.7762146	242	AIFF	1	242
Dogs On A Doe	Spin Doctors	Rock	52.5005703	312	AIFF	1	312
She Used To Be Mine	Spin Doctors	Rock	36.3282471	215	AIFF	1	215
A Fine Romance	Stacey Kent	Jazz	2.83190823	182	AAC	0	0
I Was Doing All Right	Stan Getz	Jazz	42.2274418	251	AIFF	1	251
Bronx Blues	Stan Getz	Jazz	56.1903572	334	AIFF	1	334
Desafinado (Off Key)	Stan Getz   João Gilberto	Latin	3.89628601	255	AAC	0	0
Georgia Buck/Cluckin Hen	Stephen Wade	Folk	1.66166306	109	AAC	0	0
Shooting Creek	Stephen Wade	Folk	2.20166206	145	AAC	0	0
Drunken Waggoner	Stephen Wade	Folk	2.48919201	163	AAC	0	0
Interlude	Steve Buckingham	Folk	2.78127861	16	AIFF	1	16
Corrido Del Aceite	Steve Jordan	Unclassifiable	33.3113346	198	AIFF	1	198
Life By The Drop	Stevie Ray Vaughan   Double Trouble	Blues	24.8506031	147	AIFF	1	147
Loves In Need Of Love Today	Stevie Wonder	R B	71.7167187	426	AIFF	1	426
Saturn	Stevie Wonder	R B	49.4612503	294	AIFF	1	294
Damask	Strunz   Farah	World	39.9574203	237	AIFF	1	237
Terremoto	Strunz   Farah	World	50.6275749	300	AIFF	1	300
Bola	Strunz   Farah	World	52.6283894	312	AIFF	1	312
Amazonas	Strunz   Farah	World	67.3046188	400	AIFF	1	400
Baby How Long	Sunnyland Slim	Blues	27.7552795	164	AIFF	1	164
Decoration Day	Sunnyland Slim	Blues	47.7004089	283	AIFF	1	283
Cool Water	Talking Heads	Alternative   Punk	53.1847172	316	AIFF	1	316
El Lado Oscuro De Mi Compadre	Terrestre	Electronica/Dance	46.1751919	274	AIFF	1	274
Tepache Jam	Terrestre	Electronica/Dance	51.8769875	308	AIFF	1	308
I Surrender  Dear	Thelonious Monk	Jazz	5.01933193	327	AAC	0	0
Reflections	Thelonious Monk	Jazz	46.661911	277	AIFF	1	277
Dinah	Thelonious Monk	Jazz	25.3417912	150	AIFF	1	150
Bemsha Swing	Thelonious Monk	Jazz	44.8136463	266	AIFF	1	266
Well  You Neednt	Thelonious Monk	Jazz	94.0259819	558	AIFF	1	558
Straight No Chaser	Thelonious Monk	Jazz	2.73929977	178	AAC	0	0
Hornin In (Alternative Take)	Thelonious Monk	Jazz	2.91860008	189	AAC	0	0
Crepuscule With Nellie (Take 6)	Thelonious Monk	Jazz	4.26933575	279	AAC	0	0
Monks Dream	Thelonious Monk Quartet	Jazz	5.96465397	387	AAC	0	0
Just A Gigolo	Thelonious Monk Quartet	Jazz	2.31347942	150	AAC	0	0
Amanecer	Tish Hinojosa	Folk	3.49961567	227	AAC	0	0
Please Be With Me	Tish Hinojosa	Folk	2.63568687	170	AAC	0	0
Ti Mon Bo	Tito Puente	Latin	66.5980587	395	AIFF	1	395
Machito Forever	Tito Puente	Latin	60.8738232	361	AIFF	1	361
On Broadway	Tito Puente	Latin	81.8440208	486	AIFF	1	486
Tokyo Blues	Tito Puente	Latin	53.1622429	316	AIFF	1	316
Lady Bird	Tommy Flanagan and Hank Jones	Jazz	39.5200996	234	AIFF	1	234
Sugar Hill	Tommy Jarrell   Fred Cockerham	Folk	30.4289818	180	AIFF	1	180
Little Maggie	Tommy Jarrell   Fred Cockerham	Folk	25.3103638	150	AIFF	1	150
Wreck Of The Old 97	Tommy Jarrell   Fred Cockerham	Folk	29.2356949	173	AIFF	1	173
Silent All These Years	Tori Amos	Alternative   Punk	42.32164	251	AIFF	1	251
Leather	Tori Amos	Alternative   Punk	32.3199005	192	AIFF	1	192
Little Earthquakes	Tori Amos	Alternative   Punk	69.2448692	411	AIFF	1	411
New York	U2	Rock	55.5623245	330	AIFF	1	330
Dance With The Devil	UB40	Reggae	57.8501816	343	AIFF	1	343
Silent Night	Various Artists	Holiday	28.2017288	167	AIFF	1	167
One Tree Hill	Various Artists	Country	44.2685738	263	AIFF	1	263
Telephone Song	The Vaughan Brothers	Blues	35.072134	208	AIFF	1	208
Hymn For Carl	Wes Montgomery	Jazz	46.6686134	277	AIFF	1	277
Lois Ann	Wes Montgomery	Jazz	48.0189457	285	AIFF	1	285
Pretty Memory	Wes Montgomery	Jazz	38.9907074	231	AIFF	1	231
Compulsion	Wes Montgomery	Jazz	68.9420433	409	AIFF	1	409
Never Will I Marry	Wes Montgomery	Jazz	86.3143997	513	AIFF	1	513
Au Privave (tk 1   alt)	Wes Montgomery	Jazz	44.784483	266	AIFF	1	266
Doujie	Wes Montgomery	Jazz	4.28585148	277	AAC	0	0
While We Were Young	Wes Montgomery	Jazz	2.10992146	136	AAC	0	0
Mambo In Chimes (tk 11)	Wes Montgomery	Jazz	2.33591652	149	AAC	0	0
Stairway To The Stars (tk 6)	Wes Montgomery	Jazz	3.38595867	218	AAC	0	0
S.K.J. (tk 7)	Wes Montgomery	Jazz	4.88458252	315	AAC	0	0
Full House	Wes Montgomery	Jazz	93.2454433	554	AIFF	1	554
God Bless The Child (Take 4   originally issued)	Wes Montgomery	Jazz	33.4078102	198	AIFF	1	198
Tune Up (Take 5   originally issued/re edited)	Wes Montgomery	Jazz	48.402544	287	AIFF	1	287
Besame Mucho (tk 3)	Wes Montgomery	Jazz	6.03856182	390	AAC	0	0
Fried Pies (tk 2)	Wes Montgomery	Jazz	7.10661316	461	AAC	0	0
The Way You Look Tonight (tk 2   alt)	Wes Montgomery	Jazz	5.41635895	352	AAC	0	0
The Real Me	The Who	Rock	33.7532005	200	AIFF	1	200
Happy Jack [Acoustic Version]	The Who	Rock	29.1684418	173	AIFF	1	173
I Cant Explain	The Who	Rock	21.1787224	125	AIFF	1	125
Im A Boy	The Who	Rock	26.5799618	157	AIFF	1	157
Long Live Rock	The Who	Rock	39.4976444	234	AIFF	1	234
Who Are You	The Who	Rock	64.1150284	381	AIFF	1	381
The Song Is Over	The Who	Rock	63.2110786	375	AIFF	1	375
Heartland	Willie Nelson	Country	46.1863937	274	AIFF	1	274
Things To Remember	Willie Nelson	Country	18.1506138	107	AIFF	1	107
A Moment Isnt Very Long	Willie Nelson	Country	30.8170795	183	AIFF	1	183
Milk Cow Blues	Willie Nelson	Country	45.6256218	271	AIFF	1	271
Fools Paradise	Willie Nelson	Country	43.2412968	257	AIFF	1	257
Help Me Make It Through The Night	Willie Nelson	Country	40.8255482	242	AIFF	1	242
Faded Love	Willie Nelson	Country	39.0983849	232	AIFF	1	232
Come Home Baby	Wilson Pickett	R B	2.41387272	156	AAC	0	0
Mini Skirt Minnie	Wilson Pickett	R B	2.76555538	180	AAC	0	0
Hey Joe	Wilson Pickett	R B	2.84916019	185	AAC	0	0
Dont Knock My Love  Pt. I	Wilson Pickett	R B	2.13016701	137	AAC	0	0
Funk Factory	Wilson Pickett	R B	2.69747734	175	AAC	0	0
Brother Veal	Wynton Marsalis	Jazz	34.2758312	203	AIFF	1	203
Let It Snow! Let It Snow! Let It Snow!	Wynton Marsalis	Holiday	43.7975941	260	AIFF	1	260
Melancholia	Wynton Marsalis	Jazz	52.529707	312	AIFF	1	312
After	Wynton Marsalis	Jazz	62.4035625	370	AIFF	1	370
Skylark	Wynton Marsalis	Jazz	2.72662544	176	AAC	0	0
Taking A Chance On Love	Wynton Marsalis	Jazz	3.55474091	230	AAC	0	0
Representative Offerings   (a) The Lords Prayer	Wynton Marsalis Septet	Jazz	38.3021355	227	AIFF	1	227
Benediction	Wynton Marsalis Septet	Jazz	34.6190529	205	AIFF	1	205
I Wish You Would	The Yardbirds	Rock	23.3297729	138	AIFF	1	138
My Heads In Mississippi	ZZ Top	Rock	4.01473141	259	AAC	0	0
Sleeping Bag	ZZ Top	Rock	3.76706219	243	AAC	0	0
La Grange	ZZ Top	Rock	3.59047127	232	AAC	0	0
