Site	Region	Type of Location	Specialty	Sex of Physician	MD Age	Years of Experience	Journal Subscriber	Attend Conference	Direct to Consumer	Hospital Affliations	Practice Size	Patient Visits	Details Nosorr	Details Paenex	Details Other	Minutes Nosorr	Samples Nosorr	Samples Paenex	Samples Other	nrx.nosorr	nrx.paenex	nrx.other	therapy.days.nosorr	therapy.days.paenex	therapy.days.other	NRx/Visit
San Bernardino	w	rural	GP	female	43	22	No	No	0.62	0	1	54	4	1	1	29	70	35	1	14	28	18	121	255	174	0.25925926
San Bernardino	w	rural	RH	male	38	15	Yes	Yes	0.62	3	1	112	4	4	3	31	71	92	27	31	85	76	416	1695	1412	0.27678571
San Bernardino	w	urban	RH	male	39	15	No	No	0.62	1	4	126	5	1	3	38	70	21	36	43	63	90	831	1301	1797	0.34126984
San Bernardino	w	rural	PD	female	40	16	No	No	0.62	6	2	34	1	1	1	9	4	17	6	3	9	14	13	46	65	0.08823529
San Bernardino	w	rural	GP	male	57	28	No	No	0.62	0	1	38	1	1	1	10	15	7	2	12	22	16	129	191	163	0.31578947
San Bernardino	w	urban	PD	female	27	4	No	Yes	0.62	3	3	20	3	1	1	35	51	10	9	3	6	4	13	18	27	0.15
San Bernardino	w	urban	RH	male	29	5	No	No	0.62	6	2	114	4	1	2	25	48	9	20	41	71	89	725	1287	1815	0.35964912
San Bernardino	w	rural	GP	male	47	20	Yes	No	0.62	1	3	52	2	3	2	20	61	78	11	12	31	15	97	270	149	0.23076923
Worcester	e	rural	PD	male	54	31	No	No	0.07	0	5	75	2	1	1	22	52	14	2	4	22	27	27	111	155	0.05333333
Worcester	e	urban	GP	male	47	18	Yes	Yes	0.07	1	3	129	1	3	4	8	12	75	18	2	77	69	28	724	677	0.01550388
Worcester	e	urban	RH	male	47	22	No	No	0.07	6	4	285	13	5	6	82	212	64	51	33	219	200	600	4195	3713	0.11578947
Worcester	e	rural	RH	male	65	43	No	No	0.07	3	2	246	10	1	4	51	141	13	31	45	142	197	816	2528	3843	0.18292683
Worcester	e	urban	RH	male	50	23	No	Yes	0.07	2	4	246	6	5	3	41	60	71	12	29	220	142	517	4197	2720	0.11788618
Worcester	e	urban	RH	male	35	9	No	Yes	0.07	5	4	248	10	2	5	80	139	29	25	26	135	207	505	2735	3891	0.10483871
Worcester	e	rural	PD	male	56	31	Yes	Yes	0.07	4	3	27	2	3	1	30	34	65	3	0	9	4	0	57	16	0
Worcester	e	urban	GP	male	48	23	No	Yes	0.07	4	6	185	6	1	3	46	148	12	16	25	92	110	236	828	919	0.13513514
Worcester	e	urban	PD	female	49	26	Yes	Yes	0.07	4	5	76	3	1	2	28	27	20	18	5	24	39	27	172	229	0.06578947
Worcester	e	urban	GP	male	52	28	Yes	Yes	0.07	6	6	127	6	2	1	46	91	36	4	32	78	61	284	675	560	0.2519685
Worcester	e	rural	PD	male	66	36	No	No	0.07	2	5	43	4	1	1	22	72	19	10	5	15	18	38	116	103	0.11627907
Worcester	e	urban	GP	male	52	27	No	Yes	0.07	1	7	132	3	2	2	23	29	33	17	16	78	70	167	688	543	0.12121212
Worcester	e	urban	RH	male	46	22	Yes	Yes	0.07	6	7	306	9	5	8	66	129	64	65	16	196	209	338	3839	4126	0.05228758
Worcester	e	rural	GP	male	60	34	No	No	0.07	3	4	152	2	4	2	14	26	69	9	5	90	59	59	792	510	0.03289474
Worcester	e	urban	RH	female	44	22	No	No	0.07	5	2	218	9	6	2	52	129	78	12	19	194	102	334	3479	1765	0.08715596
Worcester	e	urban	GP	male	48	21	Yes	Yes	0.07	2	4	104	2	1	2	15	36	18	21	9	61	72	80	546	650	0.08653846
Worcester	e	urban	PD	female	52	24	Yes	No	0.07	7	6	87	3	1	3	37	30	14	23	4	18	42	49	113	276	0.04597701
Worcester	e	rural	RH	male	61	32	No	No	0.07	2	5	211	5	4	4	38	70	58	28	11	168	163	149	3437	3213	0.0521327
Worcester	e	urban	RH	female	44	21	No	No	0.07	4	5	221	7	5	6	48	111	59	47	14	172	176	356	3288	3307	0.06334842
Worcester	e	urban	PD	male	49	23	Yes	Yes	0.07	6	8	75	4	2	2	15	57	44	14	1	22	27	3	112	193	0.01333333
Las Vegas	w	rural	PD	male	40	12	No	No	0.65	1	1	11	2	1	2	18	33	7	18	2	2	7	17	10	47	0.18181818
Las Vegas	w	urban	GP	male	43	21	No	No	0.65	0	2	81	2	2	3	15	33	29	27	19	35	48	140	353	470	0.2345679
Las Vegas	w	rural	RH	female	41	19	Yes	Yes	0.65	2	1	103	4	1	1	23	39	14	2	59	81	57	1137	1683	1100	0.57281553
Las Vegas	w	urban	RH	male	25	0	No	Yes	0.65	5	2	96	3	1	3	13	55	47	11	28	62	75	547	1184	1517	0.29166667
Las Vegas	w	urban	PD	female	34	8	No	No	0.65	3	1	19	1	1	2	3	21	33	22	3	4	5	13	16	19	0.15789474
Las Vegas	w	urban	RH	female	32	6	Yes	No	0.65	5	2	122	3	1	3	12	42	0	17	47	58	89	968	1215	1845	0.3852459
Las Vegas	w	urban	RH	female	39	18	Yes	No	0.65	2	2	89	4	2	1	25	53	32	12	37	48	55	725	979	964	0.41573034
Las Vegas	w	urban	PD	male	43	18	No	Yes	0.65	2	2	34	4	1	1	13	41	14	1	9	6	12	42	45	92	0.26470588
Las Vegas	w	urban	PD	female	37	11	Yes	Yes	0.65	7	5	36	1	1	1	12	7	11	6	7	10	12	40	60	66	0.19444444
Las Vegas	w	urban	RH	female	42	15	Yes	Yes	0.65	7	2	107	5	3	3	33	86	31	49	41	76	57	944	1343	1130	0.38317757
Las Vegas	w	rural	PD	male	44	18	No	No	0.65	0	1	17	1	1	1	5	25	16	7	4	5	4	12	45	27	0.23529412
Las Vegas	w	urban	RH	male	41	11	Yes	Yes	0.65	7	2	115	2	2	2	20	12	18	26	33	77	74	658	1485	1478	0.28695652
Las Vegas	w	rural	PD	female	40	19	No	No	0.65	3	5	20	2	2	1	17	58	26	21	3	10	8	9	34	57	0.15
Las Vegas	w	urban	RH	male	31	7	Yes	No	0.65	0	3	95	3	3	3	16	83	36	22	26	62	64	553	1184	1304	0.27368421
Las Vegas	w	urban	PD	female	45	17	No	No	0.65	5	1	10	1	1	1	7	21	17	8	2	3	4	17	20	12	0.2
Las Vegas	w	rural	PD	male	50	23	No	No	0.65	0	1	11	1	1	1	9	12	19	7	2	1	4	21	3	31	0.18181818
Las Vegas	w	urban	RH	male	33	8	Yes	Yes	0.65	7	3	96	6	4	2	46	88	55	9	27	70	41	512	1401	799	0.28125
Las Vegas	w	rural	PD	male	50	29	No	No	0.65	3	1	11	1	1	1	4	3	14	6	2	2	3	6	10	17	0.18181818
Las Vegas	w	rural	RH	male	52	26	No	No	0.65	4	2	133	6	2	4	55	113	54	17	40	78	92	728	1549	1800	0.30075188
Suffolk	e	urban	PD	male	40	5	No	Yes	1.93	2	3	55	2	1	2	12	39	19	4	8	9	13	46	76	54	0.14545455
Suffolk	e	urban	RH	male	34	14	No	No	1.93	2	11	352	12	3	11	69	168	52	62	81	163	282	1463	3167	5461	0.23011364
Suffolk	e	urban	GP	male	57	29	Yes	Yes	1.93	7	4	95	5	2	3	38	103	33	12	30	45	33	225	365	294	0.31578947
Suffolk	e	urban	PD	male	42	20	Yes	Yes	1.93	7	3	39	2	1	1	25	31	12	3	7	8	8	40	54	39	0.17948718
Suffolk	e	urban	GP	male	44	22	Yes	Yes	1.93	5	4	216	6	3	2	49	113	37	13	65	117	99	601	1046	807	0.30092593
Suffolk	e	urban	RH	male	61	34	No	Yes	1.93	5	4	262	4	4	5	21	43	65	56	59	163	181	1096	3212	3550	0.22519084
Suffolk	e	urban	PD	female	37	10	No	No	1.93	1	9	122	7	2	1	45	104	32	1	23	51	39	130	278	259	0.18852459
Suffolk	e	urban	GP	male	54	27	No	No	1.93	0	4	159	6	3	2	42	112	34	6	44	85	59	336	844	508	0.27672956
Suffolk	e	rural	GP	male	50	28	Yes	No	1.93	5	6	148	3	2	2	21	66	48	25	31	85	97	260	778	826	0.20945946
Suffolk	e	urban	RH	male	60	38	Yes	No	1.93	3	4	273	10	7	7	49	150	150	39	63	217	168	1090	4103	3264	0.23076923
Suffolk	e	urban	RH	male	46	26	No	Yes	1.93	4	5	176	6	1	5	35	103	13	35	52	64	134	1161	1203	2584	0.29545455
Suffolk	e	rural	RH	male	64	33	No	No	1.93	1	6	244	7	2	5	36	97	29	30	82	120	165	1594	2170	3195	0.33606557
Suffolk	e	urban	RH	female	47	21	No	No	1.93	0	7	252	6	6	4	25	91	90	55	51	187	131	973	3398	2539	0.20238095
Suffolk	e	urban	RH	male	35	11	No	No	1.93	7	5	209	11	2	2	33	190	27	11	90	136	122	1541	2496	2239	0.43062201
Suffolk	e	urban	PD	male	46	12	No	No	1.93	1	3	51	1	1	4	17	12	5	20	8	8	19	28	51	125	0.15686275
Suffolk	e	urban	GP	female	54	27	Yes	No	1.93	5	6	142	2	2	2	11	22	21	25	53	72	68	518	678	631	0.37323944
Suffolk	e	rural	RH	male	57	33	No	No	1.93	0	4	184	2	3	4	9	16	43	40	40	91	116	792	1635	2128	0.2173913
Suffolk	e	rural	PD	male	55	25	No	No	1.93	0	2	42	1	1	2	11	2	4	4	5	7	15	19	65	75	0.11904762
Suffolk	e	rural	RH	male	55	31	Yes	Yes	1.93	6	4	168	7	3	5	48	94	58	33	39	103	99	794	1923	1694	0.23214286
Suffolk	e	urban	PD	male	37	12	Yes	Yes	1.93	7	7	93	2	2	2	16	17	16	21	16	23	26	101	126	201	0.17204301
St Paul	c	rural	PD	female	49	23	Yes	No	6.56	1	1	18	2	1	2	18	20	17	26	7	5	7	36	26	29	0.38888889
St Paul	c	rural	RH	male	54	26	No	No	6.56	3	4	114	4	4	3	37	52	53	31	65	54	56	1120	1015	1091	0.57017544
St Paul	c	urban	PD	male	39	18	No	Yes	6.56	3	5	44	1	2	1	10	15	71	5	14	13	7	87	78	54	0.31818182
St Paul	c	urban	GP	female	30	6	No	No	6.56	3	1	26	1	1	1	6	6	36	2	16	9	8	174	83	73	0.61538462
St Paul	c	urban	GP	male	50	29	Yes	No	6.56	4	3	65	1	1	2	21	9	7	24	38	17	34	301	156	258	0.58461538
St Paul	c	urban	PD	male	43	18	Yes	Yes	6.56	7	3	41	3	2	1	19	37	39	3	12	11	9	77	55	53	0.29268293
St Paul	c	urban	PD	female	33	8	No	No	6.56	3	3	31	2	1	1	0	27	16	7	9	6	6	64	34	48	0.29032258
St Paul	c	rural	RH	male	50	15	No	No	6.56	0	2	142	4	1	4	38	57	12	57	108	49	105	1931	970	1943	0.76056338
St Paul	c	urban	PD	male	37	11	No	No	6.56	1	3	33	1	1	1	12	8	10	6	15	3	5	112	17	19	0.45454545
St Paul	c	urban	RH	male	39	16	No	No	6.56	1	2	86	3	2	7	28	41	18	39	54	23	65	1067	463	1304	0.62790698
St Paul	c	urban	PD	female	41	15	No	Yes	6.56	3	1	18	1	1	1	5	16	15	1	4	5	7	49	45	25	0.22222222
St Paul	c	urban	RH	male	37	11	No	Yes	6.56	1	2	104	3	2	2	20	50	11	24	70	48	47	1339	959	812	0.67307692
St Paul	c	urban	GP	male	33	10	No	No	6.56	4	1	51	4	1	1	26	88	21	11	27	14	20	208	128	165	0.52941176
St Paul	c	urban	RH	male	40	7	No	Yes	6.56	4	3	98	5	1	3	41	75	16	26	70	33	55	1281	745	1070	0.71428571
St Paul	c	urban	PD	female	36	9	No	No	6.56	2	1	10	1	1	1	9	18	8	17	3	2	2	17	10	17	0.3
St Paul	c	rural	GP	male	50	25	Yes	No	6.56	5	1	56	2	1	1	17	17	20	10	27	18	10	241	152	90	0.48214286
St Paul	c	rural	PD	male	60	39	No	No	6.56	0	1	14	1	1	1	11	20	5	8	6	2	2	40	17	6	0.42857143
St Paul	c	urban	GP	female	35	11	No	No	6.56	1	3	52	5	1	2	43	75	11	20	28	24	20	242	210	206	0.53846154
St Paul	c	urban	PD	female	37	11	Yes	Yes	6.56	7	2	27	3	1	2	9	20	27	19	15	2	7	97	6	29	0.55555556
Somerset	e	urban	RH	male	45	22	No	Yes	2.2	3	3	245	7	7	7	58	95	114	66	50	167	155	964	3123	2966	0.20408163
Somerset	e	urban	GP	male	51	19	Yes	No	2.2	5	3	139	5	2	1	46	57	18	12	47	79	53	368	677	492	0.3381295
Somerset	e	rural	GP	female	57	33	No	No	2.2	1	5	156	7	3	3	35	112	51	37	39	89	81	320	844	646	0.25
Somerset	e	urban	RH	male	41	16	No	No	2.2	7	3	279	11	3	5	63	123	52	23	97	173	190	1899	3235	3600	0.34767025
Somerset	e	urban	GP	male	38	10	Yes	No	2.2	6	4	131	3	3	2	13	58	39	17	36	66	65	326	635	568	0.27480916
Somerset	e	rural	PD	male	53	24	Yes	Yes	2.2	0	4	76	3	1	2	31	56	11	32	13	16	30	62	115	162	0.17105263
Somerset	e	urban	PD	male	48	18	Yes	Yes	2.2	4	6	73	3	1	2	31	64	22	8	11	19	24	74	121	132	0.15068493
Somerset	e	rural	PD	male	65	34	No	No	2.2	0	4	60	2	1	2	15	14	29	28	10	17	25	53	92	144	0.16666667
Somerset	e	urban	GP	male	48	18	Yes	No	2.2	2	4	138	5	2	4	27	71	21	24	35	55	81	372	523	695	0.25362319
Somerset	e	urban	RH	male	57	22	No	No	2.2	2	5	246	8	3	7	64	92	46	72	64	125	187	1143	2398	3582	0.2601626
Somerset	e	rural	RH	male	49	25	Yes	No	2.2	2	4	242	6	3	4	53	137	45	9	65	162	156	1219	2886	2957	0.26859504
Somerset	e	urban	GP	female	55	26	No	Yes	2.2	6	6	170	5	2	4	37	82	43	20	46	83	95	464	757	802	0.27058824
Somerset	e	rural	RH	male	66	40	No	Yes	2.2	2	6	301	8	2	6	30	108	18	44	98	137	235	1798	2684	4406	0.3255814
Somerset	e	urban	RH	male	47	15	Yes	Yes	2.2	7	3	262	6	3	5	36	68	38	38	99	174	201	1670	3358	3872	0.3778626
Somerset	e	urban	RH	male	51	28	No	No	2.2	6	3	236	4	2	3	39	84	19	20	89	143	159	1783	2672	2950	0.37711864
Somerset	e	urban	RH	male	54	32	Yes	Yes	2.2	5	4	257	10	4	5	82	194	64	52	85	152	166	1627	2761	3192	0.3307393
Somerset	e	rural	RH	male	61	39	No	No	2.2	1	4	148	7	2	4	50	108	24	34	62	72	116	1294	1275	2050	0.41891892
Somerset	e	urban	RH	male	58	32	Yes	Yes	2.2	7	5	274	17	6	3	108	253	122	40	88	195	140	1677	3424	2481	0.32116788
Lancaster	e	urban	GP	male	44	16	No	Yes	4.95	3	4	224	5	4	3	40	103	60	26	94	105	85	877	1032	782	0.41964286
Lancaster	e	rural	PD	male	65	43	Yes	Yes	4.95	6	2	24	2	1	1	13	41	19	6	6	5	4	22	30	34	0.25
Lancaster	e	urban	GP	female	43	18	No	No	4.95	1	8	172	5	2	4	12	78	39	29	88	77	65	837	712	554	0.51162791
Lancaster	e	urban	PD	female	34	13	No	Yes	4.95	5	7	95	4	1	2	15	80	16	12	26	26	30	167	168	187	0.27368421
Lancaster	e	urban	RH	male	42	10	No	No	4.95	2	3	255	9	4	2	45	132	65	17	152	188	114	2945	3370	2263	0.59607843
Lancaster	e	rural	PD	male	57	34	No	No	4.95	0	6	63	4	1	2	26	52	9	9	19	15	11	121	142	85	0.3015873
Lancaster	e	urban	PD	male	50	26	Yes	No	4.95	4	6	51	2	1	3	7	40	15	9	20	8	16	110	57	111	0.39215686
Lancaster	e	rural	PD	male	53	25	Yes	No	4.95	0	2	44	2	1	1	23	24	14	7	12	9	10	99	57	53	0.27272727
Lancaster	e	rural	GP	male	58	37	No	No	4.95	0	5	149	9	1	1	57	117	21	16	82	52	59	727	558	489	0.55033557
Lancaster	e	urban	PD	male	52	26	No	No	4.95	3	6	126	6	2	3	45	67	51	36	27	33	47	163	198	306	0.21428571
Lancaster	e	urban	PD	female	39	16	Yes	No	4.95	4	5	68	1	2	3	2	16	21	26	18	14	21	102	98	108	0.26470588
Lancaster	e	urban	GP	male	53	27	Yes	Yes	4.95	6	5	188	5	1	2	35	88	9	27	103	50	81	959	432	768	0.54787234
Lancaster	e	urban	GP	female	47	20	No	Yes	4.95	0	12	170	7	5	3	38	108	108	28	66	95	57	625	857	482	0.38823529
Lancaster	e	rural	PD	female	60	36	No	No	4.95	0	4	61	3	2	3	23	52	35	31	12	13	18	47	95	118	0.19672131
Lancaster	e	urban	GP	male	46	25	Yes	Yes	4.95	7	3	105	2	2	4	14	57	57	18	45	48	48	412	439	396	0.42857143
Lancaster	e	rural	GP	male	65	42	No	No	4.95	0	5	122	6	3	3	37	111	36	11	47	52	47	445	453	429	0.3852459
Lancaster	e	urban	RH	female	63	37	No	Yes	4.95	3	4	208	7	2	4	38	106	50	26	113	104	108	2203	1717	1922	0.54326923
Lancaster	e	rural	GP	male	64	38	No	No	4.95	0	5	154	5	1	4	51	94	26	17	78	55	76	745	559	644	0.50649351
