datadate	Fiscal Year	tic	Company Name	Nation	Total Assets	Return on Assets	Net Income	Cost of Goods Sold	Total Revenue	Expense: R&D	Expense: Admin, Selling	# Employees	Book Value per Share	log(R&D)	log(assets)	log(cgs)	log(revenue)
20101231	2010	ORCC	ONLINE RESOURCES CORP	USA	$310.59 	0.017309271	$5.38 	$59.90 	$149.51 	$9.90 	$61.58 	603	4.4469	2.292635762	5.738457616	4.0926932	5.007383346
20100630	2010	OPWV	OPENWAVE SYSTEMS INC	USA	$188.61 	-0.031053661	($5.86)	$65.19 	$183.30 	$41.05 	$113.25 	584	0.864	3.714669026	5.239676089	4.17736744	5.211145977
20100930	2010	ARBA	ARIBA INC	USA	$721.71 	0.022704442	$16.39 	$125.77 	$361.15 	$46.04 	$202.84 	1804	5.3153	3.829532304	6.581622011	4.834478695	5.889282309
20101231	2010	QPSA	QUEPASA CORP	USA	$16.45 	-0.404242387	($6.65)	$11.79 	$6.05 	$4.78 		76	0.601	1.563393974	2.800507831	2.467166893	1.800719211
20101231	2010	CTCH	COMMTOUCH SOFTWARE LTD	ISR	$31.98 	0.13767119	$4.40 	$2.21 	$18.16 	$3.40 	$11.61 	93	0.9254	1.222892689	3.465173245	0.792992516	2.899276438
20101130	2010	TIBX	TIBCO SOFTWARE INC	USA	$1,205.00 	0.064803373	$78.09 	$168.30 	$754.01 	$124.65 	$414.27 	2540	4.9146	4.825541899	7.094234016	5.125742159	6.625401652
20101231	2010	CHINA	CDC CORP	HKG	$514.46 	-0.07891816	($40.60)	$150.27 	$317.84 	$27.88 	$146.58 			3.327766104	6.243111976	5.012433676	5.761544965
20101231	2010	JCOM	J2 GLOBAL COMMUNICATIONS INC	USA	$532.62 	0.155920792	$83.05 	$29.58 	$255.39 	$12.83 	$106.09 	600	9.5901	2.551552324	6.277813857	3.386963222	5.542807451
20101231	2010	VHC	VIRNETX HOLDING CORP	USA	$81.69 	0.506977257	$41.42 	$0.00 	$0.07 	$2.41 	$36.12 	11	1.2049	0.880456279	4.40298056		-2.688247574
20100831	2010	3DSNY	DESTINY MEDIA TECHNOLOGIES	CAN	$2.58 	0.65374176	$1.69 	$3.03 	$3.77 	$1.19 		23	0.0403	0.177309015	0.947401727	1.108232532	1.327340218
20101231	2010	ICGE	ICG GROUP INC	USA	$280.99 	0.165803644	$46.59 	$68.48 	$115.71 	$10.64 	$52.85 	773	6.049	2.364996353	5.638315523	4.226541732	4.751087061
20110331	2010	IIJI	INTERNET INITIATIVE JAPAN INC	JPN	$863.62 	0.044819585	$38.71 	$722.08 	$995.87 	$4.27 	$150.42 			1.452550157	6.761130541	6.582134551	6.903616727
20101231	2010	MOVE	MOVE INC	USA	$239.02 	-0.064731526	($15.47)	$33.04 	$197.50 	$34.32 	$150.71 	966	0.6267	3.535728275	5.476538863	3.49777948	5.285753774
20110228	2010	RHT	RED HAT INC	USA	$2,199.32 	0.04877776	$107.28 	$102.29 	$909.28 	$171.25 	$613.31 	3700	6.6859	5.143141995	7.69590441	4.627811917	6.812649778
20101031	2010	COOL	MAJESCO ENTERTAINMENT CO	USA	$30.03 	-0.03236871	($0.97)	$57.26 	$75.65 	$3.35 	$19.91 	71	0.3053	1.208064422	3.402163581	4.047654691	4.326091002
20101231	2010	LOOK	LOOKSMART LTD	USA	$35.73 	0.027291813	$0.98 	$26.03 	$47.48 	$9.04 	$18.01 	52	1.6057	2.201548549	3.575850724	3.259326551	3.860287508
20101231	2010	QSFT	QUEST SOFTWARE INC	USA	$1,635.58 	0.060264101	$98.57 	$61.85 	$767.10 	$151.90 	$537.65 	3460	11.1124	5.023196076	7.399755206	4.124744435	6.64261326
20101231	2010	LIOX	LIONBRIDGE TECHNOLOGIES INC	USA	$156.98 	-0.008217817	($1.29)	$275.47 	$405.24 	$3.88 	$109.19 	4500	0.7518	1.355835154	5.056092927	5.61849325	6.004474549
20100630	2010	3EGAN	EGAIN COMMUNICATIONS	USA	$15.32 	-0.008291982	($0.13)	$9.08 	$29.88 	$5.51 	$18.95 	272	-0.1881	1.706564623	2.728898034	2.205743742	3.397088954
20101231	2010	ININ	INTERACTIVE INTELLIGENCE GRP	USA	$176.23 	0.084553316	$14.90 	$46.11 	$166.32 	$28.35 	$92.13 	849	5.4667	3.344591756	5.171801309	3.831008159	5.113883581
20100930	2010	KEYN	KEYNOTE SYSTEMS INC	USA	$186.52 	0.009039148	$1.69 	$36.50 	$79.85 	$11.98 	$37.48 	323	10.1294	2.483071634	5.228549195	3.597421844	4.380162398
20101231	2010	UNTD	UNITED ONLINE INC	USA	$992.16 	0.054111341	$53.69 	$403.12 	$920.55 	$55.38 	$339.93 	1606	5.2393	4.014236575	6.899882369	5.999224362	6.824974576
20101231	2010	INAP	INTERNAP NETWORK SVCS CORP	USA	$293.14 	-0.012355787	($3.62)	$147.28 	$244.16 	$1.90 	$62.28 	416	3.6259	0.641853886	5.680657133	4.992362696	5.497840131
20110131	2010	TIVO	TIVO INC	USA	$285.82 	-0.295684666	($84.51)	$119.31 	$219.61 	$81.60 	$176.85 	611	1.4489	4.40187828	5.655355245	4.781733529	5.391844139
20101231	2010	JCDA	JACADA LTD	ISR	$24.69 	-0.429705537	($10.61)	$10.75 	$17.16 	$3.48 	$13.26 	96	4.8471	1.246457416	3.2063578	2.37444053	2.842289676
20101231	2010	BSQR	BSQUARE CORP	USA	$42.10 	0.146403459	$6.16 	$75.39 	$96.77 	$3.38 	$16.23 	215	2.408	1.217579808	3.739952724	4.322714433	4.572378363
20101231	2010	AKAM	AKAMAI TECHNOLOGIES INC	USA	$2,352.68 	0.072776702	$171.22 	$176.82 	$1,023.59 	$54.77 	$449.66 	2200	11.6697	4.003069563	7.763308683	5.175120955	6.931067427
20101231	2010	KTOS	KRATOS DEFENSE & SECURITY	USA	$536.10 	0.027047193	$14.50 	$305.60 	$408.50 	$2.20 	$65.20 	2900	8.858	0.78845736	6.284320711	5.722277057	6.012491914
20101231	2010	SQI	SCIQUEST INC	USA	$76.69 	0.022728755	$1.74 	$8.81 	$42.48 	$8.40 	$25.29 	192	1.6674	2.127636291	4.339732203	2.17588744	3.748962753
20101231	2010	DDDC	DELTATHREE INC	USA	$2.20 	-1.136156648	($2.50)	$11.22 	$14.20 	$1.48 	$4.76 	48	-0.0493	0.394067063	0.786637524	2.4176979	2.653241965
20101231	2010	XOXO	XO GROUP INC	USA	$235.24 	0.015533139	$3.65 	$23.18 	$111.88 	$22.81 	$77.82 	605	6.1391	3.127286713	5.460602019	3.143462386	4.717435806
20101231	2010	WZE	WIZZARD SOFTWARE CORP	USA	$21.36 	-0.192460782	($4.11)	$3.25 	$5.54 	$0.32 	$4.82 	110	0.2749	-1.136314156	3.061285904	1.178347257	1.711994501
20100731	2010	EONC	EON COMMUNICATIONS CORP	USA	$15.61 	0.029926306	$0.47 	$10.68 	$17.09 	$0.50 	$5.29 	104	2.2822	-0.689155159	2.747591376	2.367904559	2.838727525
20101231	2010	GIGM	GIGAMEDIA LTD	TWN	$267.59 	0.009903247	$2.65 	$16.32 	$64.68 	$7.30 	$62.31 	489	3.8661	1.988011325	5.589452221	2.792452622	4.169482956
20101231	2010	ONVI	ONVIA INC	USA	$21.65 	-0.03722176	($0.81)	$1.22 	$26.99 	$3.77 	$22.97 	139	1.026	1.326809714	3.075190195	0.200488861	3.295540526
20101231	2010	ASIA	ASIAINFO-LINKAGE INC	CHN	$1,253.21 	0.044853759	$56.21 	$148.68 	$343.38 	$36.17 	$105.32 	8221	12.5161	3.588285339	7.133460347	5.001762716	5.838846442
20110331	2010	SLTC	SELECTICA INC	USA	$20.59 	-0.072174462	($1.49)	$4.58 	$14.52 	$3.00 	$10.92 	51	3.7591	1.0979454	3.024756953	1.522353806	2.6757336
20101231	2010	RVSN	RADVISION LTD	ISR	$165.61 	-0.020674955	($3.42)	$21.53 	$95.24 	$30.94 	$68.73 	429	6.805	3.431952879	5.109641665	3.069586642	4.556389522
20101231	2010	KT	KT CORP	KOR	$24,512.17 	0.04214576	$1,033.08 	$8,963.43 	$18,867.25 	$237.75 	$5,082.24 	31155	20.063	5.471228114	10.10692497	9.100907911	9.845182894
20101231	2010	WBSN	WEBSENSE INC	USA	$661.94 	0.028177653	$18.65 	$16.29 	$332.76 	$54.33 	$248.86 	1442	3.2112	3.994984526	6.49517945	2.790551423	5.80742752
20101231	2010	VCLK	VALUECLICK INC	USA	$613.57 	0.147514452	$90.51 	$110.18 	$430.80 	$35.05 	$200.76 	1062	5.8369	3.556690018	6.419289468	4.702133544	6.065639303
20101231	2010	HSTM	HEALTHSTREAM INC	USA	$82.01 	0.050651742	$4.15 	$26.39 	$65.75 	$6.99 	$29.62 	432	2.6044	1.944337485	4.406853385	3.273098824	4.185920506
20101231	2010	SPRT	SUPPORT.COM INC	USA	$93.74 	-0.192737281	($18.07)	$27.69 	$44.18 	$5.21 	$34.27 	761	1.7876	1.651347316	4.540514325	3.321035222	3.788204292
20101231	2010	LPSN	LIVEPERSON INC	USA	$131.14 	0.07060232	$9.26 	$22.62 	$109.86 	$15.71 	$65.62 	481	2.0219	2.754361104	4.876288331	3.118922884	4.699225033
20101231	2010	SINA	SINA CORP	CHN	$1,636.09 	-0.011670507	($19.09)	$154.80 	$402.62 	$34.05 	$134.63 	3600	20.0616	3.527771294	7.400064528	5.042140421	5.997985738
20101231	2010	CKSW	CLICKSOFTWARE TECHNOLOGIES	ISR	$79.83 	0.113307528	$9.05 	$24.86 	$71.02 	$7.92 	$33.88 	318	1.7656	2.069391206	4.379861793	3.213380755	4.262947447
20101231	2010	NTES	NETEASE.COM INC	CHN	$1,755.56 	0.192960631	$338.75 	$199.75 	$834.50 	$48.17 	$176.44 	5627	11.3446	3.87475718	7.470540325	5.297061578	6.726826752
20101231	2010	SOHU	SOHU.COM INC	CHN	$1,187.59 	0.125151778	$148.63 	$139.61 	$612.78 	$75.60 	$218.43 	5167	20.9367	4.325456283	7.079681323	4.938838495	6.418001085
20110331	2010	OPNT	OPNET TECHNOLOGIES INC	USA	$191.82 	0.064648139	$12.40 	$26.99 	$147.99 	$34.72 	$96.40 	578	5.6156	3.547258284	5.256573072	3.295577573	4.997117675
20101231	2010	MNDO	MIND CTI LTD	ISR	$30.46 	0.159416959	$4.86 	$5.59 	$19.89 	$4.06 	$7.73 	311	1.2967	1.400443784	3.416447177	1.720084433	2.990015967
20101231	2010	3RDVWF	RADVIEW SOFTWARE LTD	ISR	$1.00 	0.129482072	$0.13 	$0.17 	$2.42 	$0.90 	$2.28 	15	-0.0762	-0.109814866	0.003992021	-1.760260802	0.882527102
20101231	2010	VRYAF	VIRYANET LTD	ISR	$9.76 	0.068545082	$0.67 	$4.48 	$11.12 	$1.07 	$5.73 			0.065787741	2.2782924	1.500069375	2.408745289
20101031	2010	3SPCK	SUPERCLICK INC	CAN	$5.00 	0.158073541	$0.79 	$5.02 	$9.09 	$0.28 	$2.87 		0.0565	-1.258781041	1.610237593	1.613031448	2.207504887
20101231	2010	TKAGY	TELEKOM AUSTRIA AG	AUT	$10,025.82 	0.02585425	$259.21 	$4,114.36 	$6,289.51 	$50.95 		16501	8.841	3.930903639	9.212918845	8.322239059	8.746638127
20110430	2010	LAVA	MAGMA DESIGN AUTOMATION INC	USA	$106.47 	-0.030637163	($3.26)	$16.33 	$139.29 	$49.90 	$113.16 			3.909920797	4.66788204	2.793126374	4.936529373
20100630	2010	VMCS	VISUALMED CLINICAL SOLUTIONS	USA	$0.16 	-0.13125	($0.02)	$0.09 	$0.39 	$0.03 	$0.24 	3	-0.0364	-3.506557897	-1.832581464	-2.465104022	-0.944175935
20101231	2010	GSB	GLOBALSCAPE INC	USA	$20.55 	0.042877306	$0.88 	$0.60 	$18.57 	$3.02 	$15.83 	84	0.6776	1.10393145	3.022714945	-0.509160344	2.921278088
20100930	2010	SBAY	SUBAYE INC	CHN	$48.10 	-0.378222185	($18.19)	$2.34 	$39.14 	$0.24 	$32.52 	1539	6.2336	-1.439695138	3.873365334	0.851005265	3.667170511
20101231	2010	NLTX	NILE THERAPEUTICS INC	USA	$3.67 	-1.645117294	($6.03)	$6.17 	$0.00 	$4.08 		3	0.075	1.406342056	1.299101149	1.820184943	
20100930	2010	3SITO	SINGLE TOUCH SYSTEMS INC	USA	$6.54 	-1.867350061	($12.21)	$3.66 	$0.79 	$0.08 	$1.01 	13	0.0443	-2.47693848	1.877325358	1.298282484	-0.231932057
20101231	2010	CALD	CALLIDUS SOFTWARE INC	USA	$79.81 	-0.159588998	($12.74)	$36.72 	$70.88 	$10.45 	$40.43 	260	0.8608	2.346123395	4.379586159	3.603403262	4.260988306
20101231	2010	MCHX	MARCHEX INC	USA	$159.69 	-0.01905567	($3.04)	$52.96 	$97.57 	$16.80 	$47.84 	364	3.9355	2.821616953	5.073234436	3.969499147	4.580529072
20110131	2010	CRM	SALESFORCE.COM INC	USA	$3,091.17 	0.020857508	$64.47 	$252.41 	$1,657.14 	$187.89 	$1,235.83 	5306	9.6034	5.235840718	8.036303322	5.531066635	7.412847901
20101231	2010	ACTV	ACTIVE NETWORK INC	USA	$390.55 	-0.069830085	($27.27)	$97.24 	$279.60 	$61.11 	$162.62 	2636		4.112626426	5.967550881	4.577192433	5.63336001
20101231	2010	GOOG	GOOGLE INC	USA	$57,851.00 	0.147015609	$8,505.00 	$9,070.00 	$29,321.00 	$3,762.00 	$8,523.00 	24400	143.918	8.23270601	10.96562602	9.112727543	10.28605926
20101231	2010	MORN	MORNINGSTAR INC	USA	$1,086.30 	0.079508277	$86.37 	$157.07 	$555.35 	$49.24 	$237.56 	3225	15.6457	3.896787533	6.990534547	5.056678833	6.319600346
20101231	2010	RNOW	RIGHTNOW TECHNOLOGIES INC	USA	$378.88 	0.074931575	$28.39 	$47.29 	$185.52 	$20.15 	$118.26 	920	2.4582	3.00340278	5.937216893	3.856298857	5.223173473
20101231	2010	KONG	KONGZHONG CORP -ADR	CHN	$281.45 	0.042363517	$11.92 	$75.76 	$149.58 	$23.97 	$53.20 	1050	5.6638	3.176594433	5.639937047	4.327517649	5.007851423
20101231	2010	LOCM	LOCAL.COM CORP	USA	$60.94 	0.069276713	$4.22 	$45.10 	$84.14 	$5.13 	$28.17 	116	2.3754	1.635690284	4.10995541	3.808860073	4.432446423
20101231	2010	DWA	DREAMWORKS ANIMATION INC	USA	$1,755.87 	0.09718219	$170.64 	$471.57 	$784.79 	$3.18 	$111.53 	2100	14.9081	1.157824148	7.470718031	6.156063312	6.66541744
20101231	2010	3EWVE	ST BERNARD SOFTWARE INC	USA	$17.66 	-0.202378256	($3.57)	$4.37 	$18.07 	$4.33 	$16.49 	127	-0.7014	1.46441214	2.871302195	1.47453415	2.894308443
20101231	2010	LEDR	MARKET LEADER INC	USA	$53.73 	-0.265829146	($14.28)	$35.19 	$24.43 	$5.36 		186	1.8968	1.678590771	3.983971505	3.560648276	3.195811885
20101231	2010	JRJC	CHINA FINANCE ONLINE CO -ADR	CHN	$180.09 	0.010883387	$1.96 	$4.89 	$59.72 	$13.03 	$53.23 	1600	4.775	2.567100887	5.193462279	1.586578618	4.089599991
20101231	2010	NINE	NINETOWNS INTERNET TECH -ADR	CHN	$149.94 	0.012451897	$1.87 	$18.21 	$11.96 	$2.38 		299	3.9126	0.866259798	5.010215206	2.901806136	2.481149601
20101231	2010	NCTY	THE9 LTD -ADR	CHN	$281.42 	-0.26899419	($75.70)	$10.22 	$15.58 	$21.13 	$47.79 	738	9.234	3.050504509	5.639830448	2.324640084	2.746116402
20101231	2010	GRVY	GRAVITY CO LTD -ADR	KOR	$110.99 	0.029722327	$3.30 	$14.96 	$46.31 	$4.12 	$22.16 	361	2.7816	1.414638834	4.709476146	2.705580487	3.835422699
20101130	2010	IHS	IHS INC	USA	$2,155.70 	0.065554052	$141.32 	$462.66 	$1,075.46 	$0.60 	$358.01 	4400	18.305	-0.510825624	7.675871704	6.136996766	6.980503756
20101231	2010	NSR	NEUSTAR INC	USA	$733.87 	0.144723754	$106.21 	$121.71 	$526.81 	$13.99 	$171.40 	1022	8.0957	2.638557205	6.598337352	4.801657598	6.266843749
20101231	2010	KNXA	KENEXA CORP	USA	$309.18 	-0.011511131	($3.56)	$68.43 	$196.35 	$11.90 	$103.97 	1963	5.8021	2.47662243	5.733920397	4.225855164	5.27991406
20101231	2010	WWWW	WEB.COM GROUP INC	USA	$299.49 	-0.021810484	($6.53)	$53.23 	$120.29 	$10.91 	$60.81 	1148	3.7896	2.3896798	5.702077689	3.974659719	4.789897181
20101231	2010	TRXI	TRX INC	USA	$18.81 	0.131777589	$2.48 	$34.13 	$56.73 	$3.65 	$15.43 	767	-0.0341	1.294727168	2.934494964	3.530293955	4.038320799
20101231	2010	VOCS	VOCUS INC	USA	$174.50 	-0.021060534	($3.68)	$16.82 	$96.76 	$5.89 	$78.05 	687	5.8077	1.773425763	5.16190755	2.8225092	4.572233686
20101231	2010	TRAK	DEALERTRACK HOLDINGS INC	USA	$458.96 	-0.060643233	($27.83)	$87.32 	$243.83 	$13.39 	$117.20 	1200	10.0538	2.594209385	6.128969597	4.469545175	5.496454856
20101231	2010	BIDU	BAIDU INC -ADR	CHN	$1,674.01 	0.319064567	$534.12 	$266.39 	$1,199.25 	$108.79 	$273.79 	10887	3.6545	4.689456186	7.422974835	5.584950139	7.089454976
20101231	2010	EFUT	E-FUTURE INFORMATION TECH	CHN	$36.64 	-0.071641058	($2.63)	$10.91 	$23.02 	$1.24 	$12.45 	740	5.8725	0.21107097	3.601167832	2.3892214	3.136189626
20101231	2010	TLEO	TALEO CORP	USA	$523.84 	0.000801778	$0.42 	$49.72 	$237.28 	$46.23 	$158.16 	1164	9.0607	3.833650569	6.261178658	3.906326813	5.469219806
20101231	2010	MAIL	INCREDIMAIL LTD	ISR	$41.35 	0.202887685	$8.39 	$0.87 	$29.50 	$6.61 	$16.59 	107	2.9017	1.888129693	3.722024053	-0.142716302	3.384288563
20101231	2010	HUGH	HUGHES COMMUNICATIONS INC	USA	$1,363.18 	0.016716122	$22.79 	$606.13 	$1,043.33 	$20.28 	$224.89 	2254	15.0698	3.009585868	7.217571817	6.407091185	6.950169925
20101231	2010	SNCR	SYNCHRONOSS TECHNOLOGIES	USA	$340.40 	0.011380762	$3.87 	$83.22 	$165.97 	$26.01 	$56.21 	758	7.8133	3.258404183	5.830118459	4.421451654	5.111801024
20110331	2010	CVLT	COMMVAULT SYSTEMS INC	USA	$342.50 	0.061325727	$21.00 	$40.88 	$314.78 	$36.95 	$234.22 	1268	4.2791	3.609673896	5.836268738	3.710738789	5.751861275
20101231	2010	ORBC	ORBCOMM INC	USA	$171.47 	-0.030145391	($5.17)	$9.88 	$36.68 	$0.66 	$17.39 	99	3.7241	-0.410980289	5.144402492	2.290208822	3.60212259
20101231	2010	GSAT	GLOBALSTAR INC	USA	$1,386.81 	-0.070281539	($97.47)	$58.20 	$67.94 	$3.68 	$41.83 	322	1.7274	1.303184454	7.234759983	4.063868173	4.218639682
20101231	2010	EM	EMDEON INC	USA	$2,488.56 	0.007854332	$19.55 	$612.59 	$1,002.15 	$35.52 	$146.13 	3000	6.838	3.569955142	7.819460714	6.4177024	6.909904967
20101231	2010	GUID	GUIDANCE SOFTWARE INC	USA	$67.44 	-0.068238434	($4.60)	$24.81 	$91.90 	$17.01 	$66.72 	371	0.9805	2.833918977	4.211238314	3.211287103	4.520701029
20100930	2010	BLIN	BRIDGELINE DIGITAL INC	USA	$31.72 	-0.011883747	($0.38)	$11.12 	$23.56 	$0.93 	$10.81 	166	1.8463	-0.076881044	3.457073492	2.408295547	3.159465466
20101231	2010	GLUU	GLU MOBILE INC	USA	$44.82 	-0.299513567	($13.42)	$15.33 	$64.35 	$25.18 	$50.43 	384	0.3114	3.226050029	3.802565219	2.729876922	4.164259231
20101231	2010	ABCD	CAMBIUM LEARNING GROUP INC	USA	$383.06 	-0.041638168	($15.95)	$60.43 	$181.26 	$10.56 	$79.06 	564	2.8269	2.356883866	5.948196856	4.10148567	5.199932465
20101231	2010	TYPE	MONOTYPE IMAGING HOLDINGS	USA	$278.81 	0.065852478	$18.36 	$6.44 	$106.66 	$15.40 	$57.61 	251	4.6612	2.734627216	5.630512613	1.862062593	4.66963683
20101231	2010	TTGT	TECHTARGET INC	USA	$193.76 	-0.006100393	($1.18)	$23.10 	$95.01 	$8.10 	$62.00 	577	4.6933	2.092234364	5.266609958	3.139789327	4.553971624
20101231	2010	LLNW	LIMELIGHT NETWORKS INC	USA	$298.64 	-0.068145593	($20.35)	$80.35 	$183.33 	$15.76 	$96.74 	689	2.5593	2.757157775	5.699238835	4.386416983	5.211271444
20101231	2010	0042B	BROADVIEW NETWORKS HLDG INC	USA	$294.83 	-0.063603833	($18.75)	$193.91 	$407.70 	$1.33 	$145.25 	950	-10.1648	0.288181948	5.68638196	5.26738382	6.010541421
20101231	2010	PRO	PROS HOLDINGS INC	USA	$98.13 	-0.019678379	($1.93)	$19.21 	$74.18 	$20.66 	$51.73 	354	2.2574	3.028393056	4.586272749	2.95522273	4.306481091
20101231	2010	SDBT	SOUNDBITE COMMUNICATIONS INC	USA	$45.98 	-0.071451876	($3.29)	$14.06 	$39.49 	$5.89 	$26.86 	128	2.5145	1.77257665	3.828097771	2.643120492	3.676148762
20101231	2010	ATHN	ATHENAHEALTH INC	USA	$261.17 	0.048642647	$12.70 	$94.74 	$245.54 	$18.45 	$112.14 	1242	4.9451	2.914955964	5.565171536	4.551167963	5.503451721
20101231	2010	PWRD	PERFECT WORLD CO LTD -ADR	CHN	$667.47 	0.190837396	$127.38 	$52.83 	$374.31 	$63.50 	$173.70 	4041	9.8072	4.150992661	6.503500438	3.967135996	5.925078988
20101231	2010	CYDE	CYBERDEFENDER CORP	USA	$11.98 	-3.305708563	($39.61)	$19.98 	$45.57 	$3.95 	$62.99 	379	-0.8631	1.372702408	2.483405524	2.994781822	3.819227661
20101231	2010	MELI	MERCADOLIBRE INC	ARG	$269.68 	0.207743907	$56.03 	$46.17 	$216.72 	$15.86 	$91.03 	1567	3.8911	2.763547978	5.597247195	3.832221935	5.378587741
20100630	2010	PTSX	POINT.360	USA	$31.14 	-0.223381711	($6.96)	$24.86 	$39.74 	$1.12 	$15.98 	287	1.1253	0.108854405	3.43862161	3.213380755	3.682232411
20110228	2010	DMAN	DEMANDTEC INC	USA	$115.10 	-0.11871063	($13.66)	$23.98 	$82.42 	$32.30 	$65.38 	340	1.8502	3.47503627	4.745757874	3.17705333	4.41180386
20101231	2010	TDC	TERADATA CORP	USA	$1,883.00 	0.159851301	$301.00 	$786.00 	$1,936.00 	$147.00 	$673.00 	7400	7.0732	4.990432587	7.540621529	6.666956792	7.568379268
20101231	2010	GA	GIANT INTERACTIVE GROUP -ADR	CHN	$1,076.99 	0.114120731	$122.91 	$21.66 	$201.94 	$28.19 	$59.26 	1844	4.248	3.338860879	6.981926321	3.075236375	5.307980528
20101231	2010	SFSF	SUCCESSFACTORS INC	USA	$577.41 	-0.02156169	($12.45)	$49.59 	$205.93 	$39.89 	$174.67 	1047	3.5175	3.686175803	6.358557782	3.903809366	5.327516881
20101231	2010	MDAS	MEDASSETS INC	USA	$1,845.35 	-0.017408051	($32.12)	$97.20 	$404.74 	$20.01 	$191.13 	3100	7.4573	2.996282122	7.520425866	4.57671927	6.003237474
20101231	2010	MDMD	MEDIAMIND TECHNOLOGIES INC	USA	$139.63 	0.071274592	$9.95 	$2.05 	$80.85 	$9.15 	$63.84 	379	6.8194	2.213535276	4.938988905	0.717839793	4.392546111
20101231	2010	LOGM	LOGMEIN INC	USA	$186.68 	0.113024101	$21.10 	$5.74 	$98.56 	$15.21 	$73.40 	415	5.4645	2.722216057	5.229379851	1.747807582	4.590635061
20101231	2010	SWI	SOLARWINDS INC	USA	$247.48 	0.180808722	$44.75 	$2.43 	$152.39 	$15.73 	$80.39 	458	2.4506	2.755633288	5.511317648	0.888713964	5.02646271
20101231	2010	RAX	RACKSPACE HOSTING INC	USA	$761.58 	0.060871061	$46.36 	$249.84 	$780.56 	$18.80 	$295.22 	3262	3.457	2.93385687	6.635391283	5.520820713	6.660005205
20101231	2010	DGI	DIGITALGLOBE INC	USA	$1,266.30 	0.003237779	$4.10 	$41.70 	$322.20 	$1.70 	$112.50 	629	10.869	0.530628251	7.143854542	3.730501129	5.775172471
20101231	2010	EPOC	EPOCRATES INC	USA	$127.22 	0.029894039	$3.80 	$27.33 	$103.99 	$19.72 	$65.87 	312	-3.9564	2.981481208	4.845886429	3.307911818	4.644275508
20100630	2010	PSOF	PANSOFT CO LTD	CHN	$23.38 	0.138776034	$3.25 	$6.09 	$12.06 	$0.04 	$2.12 	373	3.5969	-3.296837366	3.152009263	1.805826726	2.489645404
20101231	2010	ATVI	ACTIVISION BLIZZARD INC	USA	$13,406.00 	0.031180069	$418.00 	$1,606.00 	$4,447.00 	$642.00 	$1,523.00 	7600	8.6224	6.464588304	9.503457647	7.381501895	8.399984991
20101231	2010	RST	ROSETTA STONE INC	USA	$276.47 	0.048047918	$13.28 	$32.44 	$258.87 	$23.44 	$202.51 	1910	8.5014	3.15431597	5.622116784	3.47945388	5.556318279
20101231	2010	CLWR	CLEARWIRE CORP	USA	$11,040.49 	-0.044149959	($487.44)	$990.86 	$556.83 	$7.00 	$907.79 	3600	1.3406	1.945910149	9.309324341	6.898568207	6.322252803
20101231	2010	FFN	FRIENDFINDER NETWORKS INC	USA	$532.82 	-0.080990284	($43.15)	$110.49 	$346.00 	$12.83 	$129.95 	407	-21.0313	2.552097899	6.278178026	4.70494312	5.846430105
20101231	2010	CYOU	CHANGYOU.COM LTD  -ADR	CHN	$502.51 	0.34805935	$174.90 	$21.07 	$327.15 	$37.92 	$93.55 	2109	7.9623	3.635425933	6.21961952	3.048040053	5.790427951
20101031	2010	3CGNH	CARDIOGENEICS HOLDINGS INC	CAN	$2.49 	-0.814159292	($2.02)	$0.00 	$0.00 	$0.69 	$1.85 	10	0.0415	-0.368169323	0.910674993		
20101231	2010	ACOM	ANCESTRY.COM INC	USA	$522.19 	0.070559149	$36.85 	$40.33 	$300.93 	$42.30 	$169.86 	795	8.0539	3.744692519	6.258023846	3.697194786	5.706881003
20101231	2010	CDCS	CDC SOFTWARE CORP  -ADR	HKG	$409.85 	0.015603193	$6.40 	$79.09 	$212.88 	$27.88 	$99.82 			3.327766104	6.015796119	4.370523223	5.360709837
20101231	2010	GAME	SHANDA GAMES LTD  -ADR	CHN	$1,027.22 	0.190102179	$195.28 	$232.36 	$682.53 	$70.58 	$202.22 	2834	2.147	4.256675974	6.934607509	5.4482965	6.525809412
20101231	2010	IRDM	IRIDIUM COMMUNICATIONS INC	USA	$1,047.45 	0.021663107	$22.69 	$134.24 	$348.17 	$19.18 	$85.91 	174	9.3307	2.953763789	6.954112963	4.899629243	5.852699483
20101231	2010	AOL	AOL INC	USA	$2,962.30 	-0.264152854	($782.50)	$1,184.30 	$2,416.70 	$41.90 	$491.20 	5860	21.4242	3.735285827	7.993721273	7.076907162	7.790158252
20101231	2010	SPSC	SPS COMMERCE INC	USA	$57.88 	0.049827229	$2.88 	$11.09 	$44.60 	$4.35 	$28.94 	353	3.6716	1.469945934	4.058371902	2.406314279	3.797666592
20100630	2010	TNAV	TELENAV INC	USA	$173.72 	0.238372093	$41.41 	$25.38 	$171.16 	$41.56 	$73.27 		3.5367	3.727041915	5.157444808	3.234000863	5.142610477
20101231	2010	CNVO	CONVIO INC	USA	$80.41 	0.042966758	$3.46 	$23.18 	$69.74 	$10.55 	$39.47 	367	3.3165	2.356315415	4.387150983	3.143419252	4.244831396
20101231	2010	VRNG	VRINGO INC	USA	$5.89 	-1.688232298	($9.94)	$0.09 	$0.21 	$2.36 	$6.53 	32	-0.0442	0.857389624	1.773086204	-2.375155786	-1.555897146
