FUND_NAME	Return	Net Asset Value
Guardian One L.P.	0.0064	1131.62574
Guardian One Ltd	0.0064	1131.62574
Giano Capital Ltd. (EUR)	0.0309	5906.08377
EJF Long/Short Equity Fund, Ltd	0.0026	962.956013
EJF Opportunity Fund, LP	-0.0195	947.960563
EJF Opportunity Fund, Ltd	-0.0165	933.608149
Cross Shore QP Partners, LP	0.0208	1264.4347
Cross Shore Fund, Ltd	0.0146	1316.76497
Cornerstone Real Commodity Analysis, LLC	0.0017	1188.79327
Millburn Hedge Fund LP	-0.0057	3411.75466
Altedge Diversified Fund SPC ?Directional USD Share class	0.0145	1128.87148
Altedge Diversified Fund SPC ?Directional EUR Share class	0.0107	1043.91735
Altedge Diversified Fund SPC ?Directional GBP Share class	0.0123	1031.02755
Altedge Diversified Fund SPC ?Directional CHF Share class	0.0096	1009.6
Mondiale Offshore Fund, Ltd.	-0.0034	817.856699
Lafitte Fund I	0.0541	1337.03611
Lafitte Fund I (QP)	0.0535	1283.34466
The October Fund, LP	0.02972	2467.18841
SM Investors, L.P.	0.0127	3325.94574
SM Investors II, L.P.	0.0118	1286.04219
SM Investors Offshore, Ltd.	0.0155	1204.68971
SM  L/S, L.P.	0.0145	1274.87954
Gabelli Associates Limited	0.0109	4271.12962
Finch Opportunities Class B	0.0125	1048.31168
Finch Opportunities Class C	0.0157	1020.25501
OptAS Ltd Class B	0.0112	1052.42694
Four Corners Absolute Return Fund, LP	0.0104	2715.8353
Four Corners Absolute Return Fund, Ltd.	0.0114	2649.55421
FBR Pegasus Fund, Ltd.	0.0106	1073.60521
Absolute Return Bond Fund Class B2 EUR	-0.0035	1021.356
G12 Macro Class C2 EUR	0.0046	1095.58856
Rittenhouse Hedged Equity Portfolio LP	0.0062	1021.90252
