Areaname	State	Projects (per 1000 pop)	Pct Added Housing Sq Ft	Pct Change in Permits	Pct Added Housing Value	Empl Change (pct)	Median Age 2000	Percent Under 5	Percent Under 18	Percent Above 65	Employment Change	Unemployment 1990	Unemployment 2000	Unemployment 2008	School (pct)	School Percent HS	Change Housing Value (pct)	Rent (med) 1980	Rent (med)  2000	Income (household median) 1979	Income (median) 1989	Income (median) 1999	Income (median) 2000	Income (median) 2007	Poverty (pct) 2007	Pop Urban (pct) 2000	Pop Density 2008	Pop Female (pct) 2000	Pop White (pct) 2000	Pop Black (pct) 2000	Pop Asian (pct) 2000	Travel time work 2000	Income (per cap) 1980	Income (per cap) 1990	Income (per cap) 2000	---	Alabama	Arkansas	Florida	Georgia	Louisiana	Mississippi	North Carolina	South Carolina	Tennessee	Virginia	West Virginia	Area (sq mile)	Pop (urban) 2000	Pop (rural) 2000	School enroll (pub) 2004	School enroll (pub) 2006	Housing Med Value 1980	Housing Med Value 1990	Housing Med Value 2000	Housing permits 2005	Housing permits 2008	Housing value new 2005	Housing value new 2008	Pop 1980	Pop 1990	Pop 2000	Pop 2008
Santa Rosa, FL	FL	3.77204294	-59.75976	-147.080292	-51.60536256	0.09712568	36.8	6.1	22.8	12	14574	5.3	3.8	5.6	16.9220209	85.4	184.182306	220	540	15085	27584	41881	42626	50935	10.7	70.6436901	147.554896	49.8	90.7	4.2	1.3	29.2	8030	15646	24079		0	0	1	0	0	0	0	0	0	0	0	1016.93	83178	34565	25038	25392	37300	65900	106000	1354	548	193788	93783	55988	81608	117743	150053
Sarasota, FL	FL	2.27558369	-91.707813	-936.159601	-82.53583827	0.10809365	50.5	4.3	16.1	30.4	40217	3.6	3.2	7	11.3396603	87.1	129.755179	285	711	15069	29919	41957	42265	50031	8.1	95.0919907	650.961421	52.6	92.6	4.2	0.8	21.8	12510	27561	39568		0	0	1	0	0	0	0	0	0	0	0	571.55	309959	15998	41405	42190	53100	87200	122000	8310	802	1377438	240558	202251	277776	325957	372057
Taylor, FL	FL	2.02805161	-64.044944	-228.125	-62.24231465	0.05337418	37.8	5.5	19.7	14.8	1150	11.7	4.9	6.3	15.8730159	70	195.964126	148	389	12285	21380	30032	30702	38056	18.5	33.8959285	20.6793293	48.9	77.8	19	0.4	20.9	7151	13313	19231		0	0	1	0	0	0	0	0	0	0	0	1041.91	6527	12729	3501	3420	22300	43600	66000	105	32	11060	4176	16532	17111	19256	21546
Atkinson, GA	GA	0.80446889	-33.333333	-50	-5.454545455	-0.0168684	30.7	9.6	31.1	9.9	-138	7.6	5.3	8.2	21.8066251	56.3	163.841808	118	288	9397	17685	26470	27171	30431	21	0	24.201278	50.5	66.8	19.6	0.1	23.9	5271	12675	17849		0	0	0	1	0	0	0	0	0	0	0	338.04	0	7609	1696	1784	17700	30300	46700	3	2	165	156	6141	6213	7609	8181
Berrien, GA	GA	3.31551379	-43.333333	-80.39215686	15.50406705	0.03875015	35.2	8.1	26.5	13.9	661	7.4	3.9	6.9	18.2905382	66	189.754098	166	369	12212	20979	30044	30379	34460	18.9	25.2725593	37.7047369	50.9	85.5	11.4	0.3	21.9	5924	13558	20965		0	0	0	1	0	0	0	0	0	0	0	452.41	4103	12132	3072	3120	24400	40400	70700	92	51	8114	9372	13525	14153	16235	17058
Brantley, GA	GA	0.75898947	900	90	721.5	0.05015795	34.6	5.2	23.5	12.4	778	8.6	4.2	6.3	22.9063245	72.5	181.944444	158	382	12597	22087	30361	31359	38316	16.9	1.09371796	34.9032403	49.8	94.4	4	0.1	34	5886	11106	17712		0	0	0	1	0	0	0	0	0	0	0	444.4	160	14469	3361	3553	21600	36400	60900	1	10	200	1643	8701	11077	14629	15511
Bryan, GA	GA	8.48677592	-58.058925	-177.3809524	-58.94489462	0.13325634	33.3	8	28.5	7.4	4154	4.5	3.1	4.9	20.7904276	79	285.333333	176	541	13628	28623	48345	48921	60879	9.7	39.5481915	70.5734532	50.5	82.8	14.1	0.8	31.3	7113	14996	24104		0	0	0	1	0	0	0	0	0	0	0	441.71	9261	14156	6060	6481	30000	70200	115600	699	252	134887	55378	10175	15438	23417	31173
Bulloch, GA	GA	6.46031822	-37.52381	-42.14659686	-42.77480384	0.07705022	26.1	6.4	21.6	9.3	5221	5.3	3.8	5.9	13.3469105	77.9	145.572917	188	436	12479	20640	29499	30512	34861	23.4	48.5183002	99.3461082	51.3	68.7	28.8	0.8	22.7	6116	12655	19572		0	0	0	1	0	0	0	0	0	0	0	682.07	27162	28821	8792	9044	38400	59900	94300	543	382	68185	39019	35785	43125	55983	67761
Carroll, GA	GA	2.91979915	-80.665281	-493.1899642	-81.4732434	0.10333544	32.5	7.7	26.3	10.6	11748	6.2	3.7	6.7	16.7643023	71.1	191.5625	185	488	13981	25607	38799	39354	43196	17.3	47.162763	227.863628	51.3	80.5	16.3	0.6	28	7411	14178	21614		0	0	0	1	0	0	0	0	0	0	0	498.93	41158	46110	17877	19059	32000	60300	93300	1655	279	145665	26987	56346	71422	87268	113688
Chatham, GA	GA	7.68788513	-40.961945	-51.82926829	-36.05976923	0.12044839	34.4	7.8	25.5	12.5	30247	4.7	3.5	5.6	13.670755	80.2	163.157895	204	589	14242	26721	37752	37669	45124	16.3	94.47485	573.189382	51.8	55.3	40.5	1.7	22.3	9147	18275	27799		0	0	0	1	0	0	0	0	0	0	0	438.11	219227	12821	34595	34330	36100	63300	95000	2490	1640	320834	205142	202226	216935	232048	251120
Clayton, GA	GA	2.94660394	-80.864198	-424.5657568	-80.29072833	0.04411109	30.2	8.5	29.5	6.8	12074	5.4	3.3	7.6	19.1923805	80.1	131.75	265	699	19960	33472	42697	42108	43674	13	98.7649936	1919.21189	51.4	37.9	51.6	4.5	29.8	9266	16709	21623		0	0	0	1	0	0	0	0	0	0	0	142.62	233596	2921	51405	52533	40000	70100	92700	2114	403	257904	50831	150357	182052	236517	273718
Clinch, GA	GA	2.11764468	-25	-66.66666667	0.607287449	-0.0092068	34.9	7.9	27.5	11.6	-65	5.1	5.3	7.1	20.4249292	58.9	173	116	256	10992	18098	26755	27259	30119	24	41.814481	8.72369608	50.3	68.9	29.5	0.1	19.6	5808	11142	16975		0	0	0	1	0	0	0	0	0	0	0	809.29	2876	4002	1431	1442	20000	33600	54600	15	9	988	994	6660	6160	6878	7060
Crawford, GA	GA	5.47616307	-51.612903	-106.6666667	-20.50550747	0.10407674	35.2	5.8	23.6	10.5	1302	6.8	3.9	6	15.7234213	67.3	177.857143	133	420	14720	25799	37848	37180	42626	19.9	0	38.4911234	49.9	72.9	23.8	0.2	32.3	7448	12518	19674		0	0	0	1	0	0	0	0	0	0	0	325.01	0	12495	2067	1967	28000	49500	77800	124	60	10168	8083	7684	8991	12495	12510
Crisp, GA	GA	2.99976897	-45.070423	-225.6410256	-61.26339907	0.03181121	34.4	7.8	27.7	13.6	705	7	4.6	7.7	19.9936829	65.9	157.439446	167	368	11672	17797	26547	26928	30385	25.8	58.6924895	80.9363816	53	54.1	43.4	0.7	19	6139	13156	19669		0	0	0	1	0	0	0	0	0	0	0	273.82	12910	9086	4341	4431	28900	47100	74400	127	39	12221	4734	19489	20011	21996	22162
Dodge, GA	GA	1.93365679	-52.173913	-145.4545455	-58.77192982	0.05582621	35.8	6.5	24.2	15	1123	6.1	4.7	6.6	17.6426725	66.3	160.576923	119	321	10483	18244	27607	28168	32393	21.8	29.1116791	40.208679	48.8	69	29.4	0.2	26.1	6270	11851	18035		0	0	0	1	0	0	0	0	0	0	0	500.29	5581	13590	3555	3549	20800	33700	54200	54	22	3534	1457	16955	17607	19171	20116
Effingham, GA	GA	4.42444432	-78.908709	-353.5545024	-74.32629249	0.09610065	33.6	7.3	27.2	8.6	5003	3.9	3.1	4.8	20.7702651	78.9	219.161677	216	500	15567	29443	46505	47497	54132	9.9	22.8346876	108.591811	50.3	84.7	13	0.5	31.3	7127	14460	22580		0	0	0	1	0	0	0	0	0	0	0	479.41	8571	28964	9778	10813	33400	61300	106600	957	211	121529	31201	18327	25687	37535	52060
Franklin, GA	GA	1.07620863	-69.444444	-100	-52.76292335	0.0492577	37.6	6.8	23.8	16.5	1075	8.1	3.9	7	17.6686217	67	212.177122	121	377	11716	21663	32134	32906	36616	15.9	10.810944	82.8895894	51.5	89.5	8.8	0.3	25.7	6508	15053	22321		0	0	0	1	0	0	0	0	0	0	0	263.29	2193	18092	3764	3856	27100	49500	84600	36	18	3927	1855	15185	16650	20285	21824
Fulton, GA	GA	5.87262334	-76.923077	-245.2753375	-65.09642083	0.0582305	32.7	7.1	25	8.1	59100	5.7	3.4	6.4	13.2920235	84	316.359447	217	709	13988	29978	47321	46547	58052	14.2	97.9313878	1919.81992	50.8	48.1	44.6	3	29.1	10985	25956	45888		0	0	0	1	0	0	0	0	0	0	0	528.66	799126	16880	76269	134905	43400	97700	180700	16114	4667	1672201	583658	589904	648951	816006	1014932
Gilmer, GA	GA	8.41870564	-67.431851	-192.9166667	-65.85683692	0.12390931	37.3	7.3	25	14	3536	7.5	3.3	5.8	15.0366191	66	259.774436	155	482	11205	21410	35140	34813	39902	14.7	14.5719645	66.8799363	49.3	93.6	0.3	0.2	31.1	6508	14545	19663		0	0	0	1	0	0	0	0	0	0	0	426.69	3418	20038	4088	4291	26600	56800	95700	703	240	98992	33799	11110	13368	23456	28537
Grady, GA	GA	5.79728847	-50.925926	12.90322581	-21.29234911	0.0645431	35.5	8.2	26.2	13.2	1621	5	4.4	6	17.5671909	69.4	208.230453	155	368	10654	19507	28656	29007	33060	22.2	38.070079	54.8218807	52.5	64.6	30.1	0.3	24.4	5623	12147	18850		0	0	0	1	0	0	0	0	0	0	0	458.12	9007	14652	4461	4412	24300	41400	74900	108	124	17828	14032	19845	20279	23659	25115
Gwinnett, GA	GA	2.86132043	-86.223974	-407.2996427	-79.85789866	0.07235348	32.5	8.8	29.1	6.4	57123	4.2	2.7	5.6	19.5987582	87.3	141.666667	294	824	22572	43518	60537	61996	64005	8.4	97.4509217	1824.46098	49.6	72.7	13.3	7.2	32.2	10696	20963	31874		0	0	0	1	0	0	0	0	0	0	0	432.73	573448	15000	137781	154732	58800	95900	142100	9938	1959	1086267	218797	166903	352910	588448	789499
Hart, GA	GA	8.21554282	-64.655172	-27.95698925	-36.30678988	-0.0208007	39.2	5.8	22.5	17.2	-505	6.3	3.9	8.8	14.9929978	71.1	212.152778	135	381	12201	24333	32833	33835	36667	17.8	24.3249119	104.551914	50.8	79.1	19.4	0.5	20.7	6788	14310	21110		0	0	0	1	0	0	0	0	0	0	0	232.21	5594	17403	3560	3640	28800	51700	89900	238	186	36142	23020	18585	19712	22997	24278
Irwin, GA	GA	2.49935881	50	33.33333333	96.19377163	-0.01212	34.6	5.6	24.4	13	-124	5.9	4.6	10	17.0071352	67.7	129.644269	143	343	10675	20169	30257	30499	33902	36.2	31.6181653	28.6735237	50.9	72	25.9	0.3	22.5	4847	13132	19230		0	0	0	1	0	0	0	0	0	0	0	356.81	3140	6791	1762	1740	25300	40900	58100	12	18	867	1701	8988	8649	9931	10231
Jackson, GA	GA	5.56203274	-77.231834	-342.8571429	-78.05955611	0.08510224	34.6	8.5	27.3	11.1	5244	6.4	3.1	6.1	17.0918533	68.1	270.143885	172	501	13479	25418	40349	40287	49820	12.2	11.9959605	179.98598	49.9	89	7.8	1	29.9	6782	14427	23435		0	0	0	1	0	0	0	0	0	0	0	342.36	4989	36600	9346	10532	27800	55300	102900	1457	329	258714	56763	25343	30005	41589	61620
Jones, GA	GA	4.44176541	-62.601626	-136.5384615	-58.57363334	0.05540629	36.1	5.9	23.9	12.6	1526	4.2	3.8	5.8	20.1292571	77.9	168.235294	200	447	16553	31934	43301	43717	50652	12.2	18.3679513	69.9479365	51.2	75	23.3	0.5	27.8	7445	15651	23306		0	0	0	1	0	0	0	0	0	0	0	393.75	4342	19297	5234	5544	34000	63500	91200	246	104	36933	15300	16579	20739	23639	27542
Laurens, GA	GA	1.52910168	-60	-73.07692308	-40.93064612	0.03772362	35.8	7.4	25.7	14.1	1805	5.5	4.5	7.1	19.4010199	70.3	157.491289	168	392	12378	21788	32010	32327	36092	23	42.8778357	58.9065212	51.9	63.4	34.5	0.8	23.6	7043	14310	21577		0	0	0	1	0	0	0	0	0	0	0	812.27	19241	25633	9318	9283	28700	46500	73900	45	26	3374	1993	36990	39988	44874	47848
Lee, GA	GA	4.64889369	-65.783133	-192.2535211	-65.78392511	0.0787299	32.6	5.8	25.3	7.4	2658	5.6	3.4	4.5	17.6890495	81.3	140.420561	196	587	17759	30974	48600	49138	55446	9.6	50.377671	94.8955786	49.5	82.2	15.5	0.8	21.4	7286	13532	22731		0	0	0	1	0	0	0	0	0	0	0	355.77	12472	12285	5549	5972	42800	65300	102900	415	142	47428	16228	11684	16250	24757	33761
Lincoln, GA	GA	4.57463321	-40.816327	-68.96551724	7.357307819	0.02093138	39.3	5.1	20.4	16.8	169	5.8	5.7	7.1	17.1662125	71	228	115	377	13301	21472	31952	32021	36260	18.2	0	38.2490881	51.3	64.3	34.4	0.2	33.1	6449	13257	19406		0	0	0	1	0	0	0	0	0	0	0	211.09	0	8348	1399	1386	25000	46000	82000	49	29	6062	6508	6716	7442	8348	8074
Lowndes, GA	GA	8.09495725	-35.167206	-40.13422819	-42.18289086	0.10519874	30.2	8.2	26.2	9.7	11002	4.8	4.4	5.4	16.0810074	77.7	146.760563	197	495	12760	23295	32132	32575	38666	20.5	67.9281333	207.415414	50.3	62	34	1.2	18.7	7296	14564	21252		0	0	0	1	0	0	0	0	0	0	0	504.22	62572	29543	16581	16818	35500	60800	87600	1044	745	127125	73500	67972	75981	92115	104583
Lumpkin, GA	GA	7.21317057	-62.109375	-167.5257732	-47.37581618	0.08282821	32.5	6.3	23.7	11.7	2241	5.1	2.9	7	14.0153755	72	271.428571	177	534	12140	26116	39167	39683	46582	13.3	14.1701561	95.1102049	50.9	94	1.5	0.4	29.6	6653	13814	21941		0	0	0	1	0	0	0	0	0	0	0	284.47	2978	18038	3671	3792	30100	66400	111800	519	194	60495	31835	10762	14573	21016	27056
Miller, GA	GA	1.14907726	-71.428571	-250	24.44444444	0.05772029	38.2	7.2	24.1	17	357	3.4	4.1	4.9	17.3969281	69	113.333333	122	317	10729	20488	27335	28149	31895	21.4	0	21.851263	52.9	70.3	28.9	0	21.9	5002	13522	21421		0	0	0	1	0	0	0	0	0	0	0	283.05	0	6383	1127	1076	27000	41200	57600	7	2	720	896	7038	6280	6383	6185
Monroe, GA	GA	9.27171913	-16.078431	-22.89719626	62.60464131	0.06957865	36.4	5.8	23	12	1757	6.4	3.6	5.7	15.2819579	77.7	262.237762	158	461	14067	27770	44195	42734	50423	11.4	25.14593	63.8273134	50.2	70.4	27.9	0.3	27.6	7730	14360	23820		0	0	0	1	0	0	0	0	0	0	0	395.63	5471	16286	3806	3859	28600	62400	103600	263	214	37748	61380	14610	17113	21757	25252
Morgan, GA	GA	4.49175043	-75.62724	-316.1764706	-75.76944929	0.10745768	36.8	6.5	25	13.4	1987	7.2	3.4	5.9	18.0736575	74	237.966102	127	470	12976	26018	40249	40263	47245	13	22.8375493	52.8858254	51.6	69.7	28.5	0.3	25	7415	15312	26102		0	0	0	1	0	0	0	0	0	0	0	349.64	3530	11927	3223	3342	29500	55000	99700	283	68	51043	12368	11572	12883	15457	18491
Muscogee, GA	GA	4.10443075	-66.193853	-137.0786517	-59.11866812	0.01634364	32.6	7.9	27	12.3	3056	6.3	4.7	6.2	17.7100714	78.9	173.615635	182	500	13343	24056	34798	34529	41095	18.6	97.4641824	864.625913	51.4	50.4	43.7	1.5	19.9	8030	16607	25064		0	0	0	1	0	0	0	0	0	0	0	216.26	181567	4724	33069	33115	30700	58900	84000	1266	534	118389	48399	170108	179278	186291	186984
Oglethorpe, GA	GA	5.88260072	-66.063348	-194.6666667	-62.4930726	0.01722671	36.8	6.1	24.5	12.3	243	6	3	5.1	17.5173685	72.1	231.439394	145	457	12937	24667	35578	36216	43514	14.3	0.11871785	31.9784181	51.4	78.3	19.8	0.2	31.6	6005	13727	21556		0	0	0	1	0	0	0	0	0	0	0	441.11	15	12620	2317	2471	26400	52500	87500	221	75	25262	9475	8929	9763	12635	14106
Paulding, GA	GA	5.55546626	-79.444123	-384.4319776	-69.09851895	0.13731175	31.2	8.5	30.8	6.4	18281	5.1	2.6	6	19.2804296	80.8	209.329446	189	628	15427	33085	52161	53859	59828	6.9	60.0528906	424.767891	50	90.6	7	0.4	39.1	7281	14096	23608		0	0	0	1	0	0	0	0	0	0	0	313.43	49050	32628	21732	25669	34300	68600	106100	3454	713	399243	123372	26110	41611	81678	133135
Pickens, GA	GA	3.59757396	-75.05618	-300.9009009	-69.28944696	0.13231332	37.9	6.1	23	16.6	4125	8.2	3	6	13.840775	70.2	335	177	470	12515	25248	41387	42832	50617	11.3	21.7552104	134.304054	51.1	96.2	1.3	0.2	32.5	7254	15577	26512		0	0	0	1	0	0	0	0	0	0	0	232.13	5000	17983	4195	4315	26000	59500	113100	445	111	80754	24800	11652	14432	22983	31176
Pierce, GA	GA	4.9454	-27.272727	-30.95238095	-51.61968592	0.07596403	36.2	8	26	12.7	1377	6.3	4	5.4	18.9606664	69.8	131.294964	137	328	11682	20499	29895	30926	37173	17.9	22.454592	52.8099053	50.8	86.9	10.9	0.2	26.2	5997	12573	19917		0	0	0	1	0	0	0	0	0	0	0	343.25	3511	12125	3407	3437	27800	41700	64300	110	84	15219	7363	11897	13328	15636	18127
Polk, GA	GA	2.49813984	-63.967611	-186.5168539	-58.87257494	0.07282593	35.1	8.6	27	13.3	3060	11.2	4	6.3	17.1164739	63.3	205.371901	157	425	12997	22326	32328	33006	37814	17.6	48.3227109	135.045317	50.2	80.5	13.3	0.3	30	7172	13188	18735		0	0	0	1	0	0	0	0	0	0	0	311.14	18424	19703	7112	7192	24200	41600	73900	255	89	24587	10112	32386	33815	38127	42018
Richmond, GA	GA	2.67607792	-67.880795	-177.2	-66.33736144	0.0108178	32.3	7.7	26.1	12.1	2158	5.5	4.3	7.1	16.738518	78	134.146341	204	505	13635	25265	33086	32534	36944	23.9	92.2447754	615.621528	51.8	45.6	49.8	1.5	22.2	7565	16931	22094		0	0	0	1	0	0	0	0	0	0	0	324.04	184282	15493	34141	33391	32800	58500	76800	693	250	68022	22898	181629	189719	199775	199486
Sumter, GA	GA	3.86540725	-37.931034	25	-19.94391475	-0.0334679	32.6	7.6	26.7	13.1	-1086	8.9	4.1	7.7	16.998983	69.9	111.708861	161	399	11965	20957	30904	30906	34882	25	56.503012	66.8665513	53.1	48.2	49	0.6	19.2	6694	13712	21034		0	0	0	1	0	0	0	0	0	0	0	485.28	18759	14441	5631	5516	31600	45300	66900	60	80	8915	7137	29360	30228	33200	32449
Taliaferro, GA	GA	2.79639445	-33.333333	-50	-33.33333333	0.04777241	40.2	5.7	19.1	21.9	89	5.4	5.1	8.2	13.7412775	56.2	163.398693	94	285	8879	14700	23750	24386	27021	27.8	0	9.5347766	51.8	38.2	60.3	0	31.2	6782	12376	16143		0	0	0	1	0	0	0	0	0	0	0	195.39	0	2077	275	256	15300	28600	40300	3	2	390	260	2032	1915	2077	1863
Telfair, GA	GA	1.17202118	-66.666667	-200	-79.01234568	0.04462748	36.8	5.9	18.8	13.4	596	8.6	7.6	11.3	13.1411456	63.6	138	131	311	10003	16573	26097	25650	28950	30.4	42.4961845	30.2772677	47.4	59.7	38.4	0.2	24.2	5615	12429	17072		0	0	0	1	0	0	0	0	0	0	0	441.09	5012	6782	1695	1755	20000	31100	47600	3	1	405	85	11445	11000	11794	13355
Terrell, GA	GA	4.06596744	-42.857143	-45.83333333	-37.4796748	0.02370543	35.4	7.1	25.9	13.9	244	8.5	5.2	6.6	16.0886039	64.5	142.040816	145	314	10636	18036	26969	27267	30394	34.5	46.2989973	30.6914751	53.1	37.9	60.7	0.3	23	4794	11588	18685		0	0	0	1	0	0	0	0	0	0	0	335.37	5079	5891	1660	1656	24500	41200	59300	35	24	2460	1538	12017	10653	10970	10293
Thomas, GA	GA	6.07014236	-45	-65.63876652	-31.90342453	0.07584429	36.3	7.2	25	15.2	3472	5	4.1	5.7	18.888986	73.5	170.774648	177	446	12377	20901	31115	31305	39665	17.1	48.9552379	83.4907897	52.9	59	38.9	0.4	19.1	7195	15093	23186		0	0	0	1	0	0	0	0	0	0	0	548.3	20922	21815	8619	8647	28400	46400	76900	376	227	44152	30066	38098	38986	42737	45778
Toombs, GA	GA	1.86572222	-76.25	-157.5757576	-60.43821599	0.08156003	34.2	8.3	27.4	13.5	2292	6.6	6.5	7.2	19.7245748	67.3	148.689139	150	393	10812	19473	26811	27189	32480	22.8	49.0198335	76.6453021	52.3	69.2	24.2	0.5	21.9	6380	13405	20156		0	0	0	1	0	0	0	0	0	0	0	366.65	12778	13289	5389	5543	26700	49100	66400	85	33	8991	3557	22592	24072	26067	28102
Troup, GA	GA	4.14963946	-57.466063	-113.4615385	-27.97726634	4.67E-05	34.6	7.7	26.6	12.3	3	6.2	3.6	8.2	19.2751389	73	188.62069	165	482	13033	24788	35469	36409	40867	16.4	57.3265962	155.189659	52.3	65.8	31.9	0.6	21.1	7469	15491	24075		0	0	0	1	0	0	0	0	0	0	0	413.9	33696	25083	12099	12381	29000	54600	83700	444	208	49794	35863	50003	55536	58779	64233
Turner, GA	GA	2.03835532	14.2857143	12.5	23.72708758	0.04659731	33.3	8	27.3	13.7	430	7.9	5.5	8.1	19.3866493	67.7	114.925373	148	347	10850	17766	25676	26085	30582	24.6	52.7146465	32.2623501	51.9	56.4	41	0.3	22.4	5352	12177	17667		0	0	0	1	0	0	0	0	0	0	0	286.03	5010	4494	1890	1789	26800	37000	57600	7	8	982	1215	9510	8703	9504	9228
Walton, GA	GA	2.56727908	-88.92944	-799.4594595	-88.99171478	0.09363383	33.9	7.5	27.1	11.6	8035	6.9	3.1	6.5	16.187524	73.5	250.773994	166	558	13809	28198	46479	46123	53022	12.2	42.1770725	260.687162	51.3	83	14.4	0.7	33.5	7208	14591	23550		0	0	0	1	0	0	0	0	0	0	0	329.18	25596	35091	12811	13891	32300	66700	113300	1664	185	219789	24195	31211	38586	60687	85813
Wayne, GA	GA	0.95276763	-47.619048	-90.90909091	-47.60479042	0.02592429	35.5	7.2	24.7	12.2	765	6.6	4.9	7.7	18.3909994	70.1	193.004115	157	371	12120	23311	32766	33370	38773	17.5	48.2213439	45.7745168	48	76.7	20.3	0.4	26.2	6755	13457	20169		0	0	0	1	0	0	0	0	0	0	0	644.66	12810	13755	5400	5427	24300	44500	71200	21	11	1670	875	20750	22356	26565	29509
White, GA	GA	9.98419791	-66.052632	-58.56573705	-34.22854944	0.09850192	38.3	6.3	23	16.7	2492	4.7	3.5	5.4	15.546069	76	237.278107	171	525	12868	24234	36084	36759	41325	14.6	0	104.723073	50.5	95.2	2.2	0.5	29.6	6450	15516	22807		0	0	0	1	0	0	0	0	0	0	0	241.58	0	19944	3836	3933	33800	69700	114000	398	251	51980	34188	10120	13006	19944	25299
Whitfield, GA	GA	2.74085149	-71.455224	-188.6639676	-63.18862252	0.032717	33	9.9	30.3	10.8	3070	5.5	3.5	7.7	21.0902115	63	171.597633	206	484	16148	27797	39377	39438	43408	16.5	68.4142472	323.580123	49.7	80.9	3.8	0.9	20.8	8478	17158	25402		0	0	0	1	0	0	0	0	0	0	0	289.99	57143	26382	18667	19790	33800	61200	91800	713	247	62861	23140	65789	72462	83525	93835
Wilkinson, GA	GA	1.56181984	33.3333333	25	28.80562061	-0.0424895	35.8	8	25.5	14.6	-426	4	4.2	7	16.9359665	70.4	172.123894	132	366	13953	25166	32723	33351	35367	17.9	0	22.4516302	52.5	58	40.7	0.1	28.6	7292	14088	19777		0	0	0	1	0	0	0	0	0	0	0	446.56	0	10220	1688	1698	22600	40000	61500	3	4	427	550	10368	10228	10220	10026
Acadia, LA	LA	2.18472449	-46.703297	-85	-13.04847576	0.05428667	33.7	7.8	27.5	12.6	3261	6.9	5.4	4	15.7799234	64.7	101.633987	148	332	13507	16022	26684	28022	33098	23.5	50.4901378	91.6707362	51.7	80.7	18.2	0.2	29.9	7055	11647	18520		0	0	0	0	1	0	0	0	0	0	0	655.28	29719	29142	9499	9479	30600	40600	61700	185	100	20010	17399	56427	55882	58861	60070
Allen, LA	LA	0.81988464	-57.142857	-133.3333333	-36.58536585	0.03077823	34.8	6.6	23.2	12.4	789	10.6	6.3	5.9	16.7856446	63.2	152.608696	132	350	12202	15838	27777	28385	34958	21.6	31.9221698	33.5317201	44.2	71.9	24.6	0.6	27.8	6261	10002	15503		0	0	0	0	1	0	0	0	0	0	0	764.5	8121	17319	4299	4303	23000	35400	58100	7	3	615	390	21390	21226	25440	25635
Avoyelles, LA	LA	2.25928774	-52.755906	-111.6666667	-45.59485032	0.01104816	35.2	7.3	25.3	13.3	468	10.5	6	5.7	16.2677054	59.8	119.2	118	320	9971	13451	23851	24925	29239	26.7	37.8872255	50.8865504	50.9	68.5	29.5	0.2	31.8	5704	10474	16484		0	0	0	0	1	0	0	0	0	0	0	832.44	15716	25765	7047	6891	25000	34900	54800	127	60	12894	7015	41393	39159	41481	42360
Beauregard, LA	LA	1.51214739	-42.857143	-75	22.13241617	0.01346561	35.5	6.8	25.5	12.6	471	6.7	5	5.1	17.4566871	75	111.074919	188	383	14827	22442	32582	33830	40592	15.9	29.4609834	30.151109	49.8	84.2	12.9	0.6	31.4	7666	13415	18847		0	0	0	0	1	0	0	0	0	0	0	1160.09	9718	23268	6153	6106	30700	45100	64800	70	40	5815	7102	29692	30083	32986	34978
Caddo, LA	LA	2.78083982	-49.335106	-260.8923885	-52.09645732	0.05369818	35.1	7.2	25.3	13.8	13580	6.9	4.8	5.4	17.0106171	78.7	101.340483	195	463	15381	22395	31467	32265	35547	22.9	84.1236353	286.732276	52.7	52.9	44.6	0.7	21	9530	16937	25149		0	0	0	0	1	0	0	0	0	0	0	881.99	212127	40034	43524	43019	37300	55500	75100	1375	381	157790	75587	252358	248253	252161	252895
Calcasieu, LA	LA	5.44279603	33.0998249	14.26953567	36.00872796	0.03487808	34.5	7.3	25.7	12.5	6474	6.2	4.7	4.3	17.3727763	77	96.8215159	227	465	18719	24375	35372	36307	42018	17.5	77.5532883	173.293375	51.3	73.6	24	0.6	20.4	9369	15489	22529		0	0	0	0	1	0	0	0	0	0	0	1071.12	142370	41207	32449	32247	40900	54700	80500	757	883	84785	115315	167223	168134	183577	185618
Caldwell, LA	LA	0.80119965	-75	-300	-64.53900709	0.01613059	36.7	6.1	22.5	14.3	167	8.4	6.4	4.8	17.5601275	65.4	145.6621	144	334	10205	16069	26972	27411	33250	19.9	0	19.5553625	49.3	80.4	17.9	0.1	36.8	6196	11685	17130		0	0	0	0	1	0	0	0	0	0	0	529.42	0	10560	1871	1818	21900	34900	53800	12	3	1833	650	10761	9810	10560	10353
Jackson, LA	LA	3.75942315	4400	97.77777778	4898.4	-0.0085577	37.6	6.4	23.1	17	-130	5.3	5.3	4.7	14.2321111	73.6	116.734694	131	325	11032	18804	28352	29901	35137	17.7	32.1426252	26.6625713	52.3	71	27.9	0.2	24.5	6843	12266	22416		0	0	0	0	1	0	0	0	0	0	0	569.75	4949	10448	2296	2162	24500	37900	53100	1	45	125	6248	17321	15705	15397	15191
Jefferson Davis, LA	LA	2.74763998	-7.8947368	-8.571428571	33.78506895	0.05728817	34.5	7.1	26.6	14.3	1791	7.3	5.5	3.8	18.4755142	69.4	102.341137	160	353	15042	18467	27736	29083	36185	18.6	51.9039287	47.9265993	51.9	80.6	17.8	0.2	30.8	7256	11262	16816		0	0	0	0	1	0	0	0	0	0	0	652.31	16316	15119	5840	5776	29900	40700	60500	76	70	8412	11254	32168	30722	31435	31263
