R&D Expense	Assets	Net Sales	Log R&D Expense	Log Assets	Log Net Sales	Log 10 R&D Expense	Log 10 Assets	Company	Industry
98.54	804.655	622.2	4.59046256	6.69041361	6.43326158	1.99361256	2.90560971	HYPERION SOLUTIONS CORP	PREPACKAGED SOFTWARE
1.414	13.244	8.433	0.34642257	2.58354462	2.13215258	0.15044941	1.12201917	A D A M INC	PREPACKAGED SOFTWARE
2.807	2.587	0.541	1.0321163	0.9504989	-0.614336	0.44824241	0.41279643	INSIGNIA SOLUTIONS PLC  -ADR	PREPACKAGED SOFTWARE
32.26	354.577	149.99	3.47382807	5.87092553	5.01056863	1.50866436	2.54971056	ADVENT SOFTWARE INC	PREPACKAGED SOFTWARE
61.843	496.915	520.669	4.12459892	6.20841899	6.25511452	1.79129055	2.69628211	IDX SYSTEMS CORP	CMP INTEGRATED SYS DESIGN
16.106	130.914	93.378	2.77919187	4.87454062	4.53665577	1.20698769	2.11698609	SECURE COMPUTING CORP	PREPACKAGED SOFTWARE
52.8	502.331	449.198	3.96651119	6.21925926	6.10746377	1.72263392	2.70098998	SILICON STORAGE TECHNOLOGY	SEMICONDUCTOR,RELATED DEVICE
18.774	160.554	69.631	2.93247293	5.07863033	4.24320987	1.27355681	2.20562113	ACCELRYS INC	PREPACKAGED SOFTWARE
105.457	1286.084	741.157	4.65830329	7.15935722	6.60821248	2.02307541	3.10926934	CITRIX SYSTEMS INC	PREPACKAGED SOFTWARE
26.39	392.653	130.907	3.27298515	5.97292627	4.87448715	1.42143939	2.59400892	SCANSOFT INC	PREPACKAGED SOFTWARE
3.432	45.273	14.532	1.23314318	3.81271083	2.67635311	0.53554728	1.65583927	VIEWPOINT CORP	PREPACKAGED SOFTWARE
65.944	190.039	395.165	4.1888059	5.24722931	5.9793034	1.81917529	2.27884274	ATARI INC	PREPACKAGED SOFTWARE
7.082	31.571	49.084	1.95755635	3.45223898	3.89353312	0.85015592	1.49928834	ADEPT TECHNOLOGY INC	PREPACKAGED SOFTWARE
82.245	599.281	378.864	4.4097026	6.3957306	5.9371773	1.9151095	2.77763051	ZORAN CORP	SEMICONDUCTOR,RELATED DEVICE
43.616	670.755	291.058	3.77542406	6.50840394	5.67352256	1.63964583	2.82656392	OPEN TEXT CORP	PREPACKAGED SOFTWARE
3.289	9.039	17.621	1.19058357	2.20154855	2.86909137	0.51706387	0.95612039	GENSYM CORP	PREPACKAGED SOFTWARE
31.956	121.105	142.169	3.46435996	4.79665794	4.95701649	1.50455241	2.08316207	INDUS INTERNATIONAL INC	PREPACKAGED SOFTWARE
52.8	332.567	216.874	3.96651119	5.80684134	5.37931654	1.72263392	2.52187915	JDA SOFTWARE GROUP INC	PREPACKAGED SOFTWARE
6.61	21.321	33.006	1.88858365	3.0596925	3.49668936	0.82020146	1.32880757	SEGUE SOFTWARE INC	PREPACKAGED SOFTWARE
4.284	12.697	5.452	1.45488715	2.54136575	1.69598251	0.63184946	1.10370112	VOCALTEC COMMUNICATIONS LTD	PREPACKAGED SOFTWARE
16.901	73.421	67.67	2.82737279	4.29621	4.21464295	1.2279124	1.8658203	ANSOFT CORP	PREPACKAGED SOFTWARE
1284	16963	9045	7.15773548	9.73878978	9.1099674	3.10856502	4.22950266	LUCENT TECHNOLOGIES INC	CMP INTEGRATED SYS DESIGN
2.061	11.993	12.751	0.7231913	2.48432315	2.5456097	0.31407799	1.07892783	LANVISION SYSTEMS INC	CMP INTEGRATED SYS DESIGN
70.66	390.673	389.334	4.25787964	5.96787089	5.96443759	1.84917363	2.5918134	I2 TECHNOLOGIES INC	PREPACKAGED SOFTWARE
79.395	1651.945	723.076	4.37443539	7.40970866	6.58351433	1.89979315	3.21799558	MACRONIX INTL LTD  -ADR	SEMICONDUCTOR,RELATED DEVICE
13.957	185.663	95.888	2.63598117	5.2239332	4.56318084	1.14479208	2.26872536	SS&C TECHNOLOGIES INC	PREPACKAGED SOFTWARE
1.142	11.941	11.305	0.13278111	2.47997786	2.42524511	0.0576661	1.0770407	DATATRAK INTERNATIONAL INC	PREPACKAGED SOFTWARE
26.281	239.646	134.539	3.26884624	5.47916283	4.90185412	1.41964189	2.37957018	ANSYS INC	PREPACKAGED SOFTWARE
18.024	144.653	78.004	2.8917042	4.97433777	4.35676011	1.25585118	2.16032745	BROADVISION INC	CMP INTEGRATED SYS DESIGN
0	3.203	0		1.16408787			0.50555694	NUWAVE TECHNOLOGIES INC	SEMICONDUCTOR,RELATED DEVICE
305.051	3087.434	1339.793	5.72047898	8.0350956	7.2002704	2.48437245	3.48959768	SIEBEL SYSTEMS INC	PREPACKAGED SOFTWARE
67.581	1917.891	515.36	4.21332688	7.55898142	6.24486569	1.82982461	3.28282392	CHECK POINT SOFTWARE TECHN	PREPACKAGED SOFTWARE
2.456	19.453	10.96	0.89853401	2.9680013	2.39425228	0.39022836	1.28898659	ELBIT VISION SYSTEMS LTD	CMP INTEGRATED SYS DESIGN
5.137	32.545	22.875	1.63646925	3.48262375	3.13004461	0.71070957	1.51248428	VERSANT CORP	PREPACKAGED SOFTWARE
19.879	194.255	96.461	2.9896639	5.26917173	4.56913878	1.29839453	2.28837221	PEGASYSTEMS INC	PREPACKAGED SOFTWARE
0.551	1.67	0.414	-0.5960205	0.51282363	-0.8818893	-0.2588484	0.22271647	VIRTGAME CORP	PREPACKAGED SOFTWARE
2.972	21.041	0.538	1.08923513	3.04647292	-0.6198967	0.47304881	1.32306638	MEDICSIGHT INC	PREPACKAGED SOFTWARE
10.013	50.183	16.485	2.30388425	3.91567632	2.80245088	1.00056422	1.70055662	AWARE INC	CMP INTEGRATED SYS DESIGN
4.767	35.502	21.602	1.56171718	3.56958903	3.0727859	0.67824515	1.55025282	SRS LABS INC	SEMICONDUCTOR,RELATED DEVICE
2.386	10.331	13.671	0.86961832	2.33514908	2.6152768	0.37767044	1.01414236	ACE COMM CORP	CMP INTEGRATED SYS DESIGN
8.4	83.633	198.653	2.12823171	4.42643818	5.29155958	0.92427929	1.92237768	CCC INFORMATION SVCS GRP INC	PREPACKAGED SOFTWARE
3.888	23.513	23.346	1.35789489	3.15755346	3.15042566	0.58972626	1.37130804	DOCUMENT SCIENCES CORP	PREPACKAGED SOFTWARE
11.723	12.647	23.078	2.46155272	2.53742003	3.13887978	1.06903876	1.10198752	PEERLESS SYSTEMS CORP	PREPACKAGED SOFTWARE
28.056	119.41	130.456	3.33420251	4.78256295	4.87103601	1.44802575	2.0770407	QUADRAMED CORP	PREPACKAGED SOFTWARE
32	3017.977	2125.773	3.4657359	8.01234202	7.66189078	1.50514998	3.47971593	SABRE HOLDINGS CORP  -CL A	CMP INTEGRATED SYS DESIGN
3.847	7.033	11.632	1.34729362	1.95061336	2.45375992	0.58512219	0.84714062	BITSTREAM INC  -CL A	PREPACKAGED SOFTWARE
25.621	242.317	161.595	3.24341233	5.49024679	5.08509321	1.40859608	2.38438388	MIDWAY GAMES INC	PREPACKAGED SOFTWARE
2.333	5.413	11.65	0.84715499	1.68880347	2.45530618	0.36791474	0.73343803	VOXWARE INC	PREPACKAGED SOFTWARE
29.424	212.305	157.303	3.38181067	5.35802392	5.05817388	1.46870171	2.32696022	SEACHANGE INTERNATIONAL INC	CMP INTEGRATED SYS DESIGN
4.431	176.043	67.466	1.48862529	5.17072828	4.21162377	0.64650175	2.24561876	VIISAGE TECHNOLOGY INC	CMP INTEGRATED SYS DESIGN
1.549	23.336	5.174	0.43760956	3.14999723	1.64364608	0.19005142	1.36802642	PRESCIENT APPLIED INTELLIGEN	CMP INTEGRATED SYS DESIGN
1.501	2.224	3.53	0.40613155	0.79930738	1.26129787	0.17638069	0.34713478	GRAPHON CORP	PREPACKAGED SOFTWARE
0.929	19.16	11.178	-0.0736465	2.95282477	2.41394756	-0.0319843	1.2823955	TOP IMAGE SYSTEMS LTD	PREPACKAGED SOFTWARE
0.473	6.246	8.775	-0.7486599	1.83194126	2.17190677	-0.3251389	0.79560198	BRILLIANT DIGITAL ENTMT INC	PREPACKAGED SOFTWARE
0.651	10.406	1.7	-0.4292456	2.34238256	0.53062825	-0.186419	1.01728382	NEOMEDIA TECHNOLOGIES INC	CMP INTEGRATED SYS DESIGN
0.253	0.294	0.078	-1.3743658	-1.2241755	-2.5510465	-0.5968795	-0.5316527	NATIONAL SCIENTIFIC CORP	SEMICONDUCTOR,RELATED DEVICE
10.744	46.497	37.798	2.37434746	3.83938779	3.63225619	1.031166	1.66742493	TTI TEAM TELECOM INTL LTD	CMP INTEGRATED SYS DESIGN
15.134	170.354	42.308	2.71694387	5.13787862	3.74497619	1.17995373	2.23135234	INTELLISYNC CORP	PREPACKAGED SOFTWARE
8.493	67.395	42.971	2.13924229	4.21057083	3.76052547	0.92906112	1.82862768	DATAMIRROR CORP	PREPACKAGED SOFTWARE
0.13	16.902	15.737	-2.0402208	2.82743196	2.75601463	-0.8860566	1.2279381	PATIENT INFOSYSTEMS INC	CMP INTEGRATED SYS DESIGN
4.09	116.525	109.393	1.40854497	4.75810584	4.6949469	0.61172331	2.06641911	ERESEARCHTECHNOLOGY INC	PREPACKAGED SOFTWARE
12.864	129.754	134.874	2.55443271	4.86564035	4.90434101	1.10937603	2.11312075	RADIANT SYSTEMS INC	CMP INTEGRATED SYS DESIGN
22.782	87.757	102.787	3.12597075	4.47457163	4.63265889	1.35759185	1.94328177	ILOG SA  -ADR	PREPACKAGED SOFTWARE
17.204	80.826	68.019	2.84514191	4.3922987	4.21978708	1.23562943	1.90755109	IONA TECHNOLOGIES PLC  -ADR	PREPACKAGED SOFTWARE
0.838	3.916	6.884	-0.1767372	1.36507072	1.92919988	-0.076756	0.59284268	GLOBAL MED TECHNOLOGIES INC	PREPACKAGED SOFTWARE
18.208	30.714	2.466	2.90186106	3.42471858	0.9025974	1.26026224	1.48733638	NEOMAGIC CORP	SEMICONDUCTOR,RELATED DEVICE
146.559	2348.394	1080.094	4.98742808	7.76148697	6.98480335	2.16601249	3.37077096	BEA SYSTEMS INC	PREPACKAGED SOFTWARE
43.259	950.513	1127.751	3.7672053	6.85700184	7.02798066	1.63607648	2.97795806	TAKE-TWO INTERACTIVE SFTWR	PREPACKAGED SOFTWARE
7.329	69.284	36.122	1.99183908	4.238214	3.5869021	0.86504472	1.84063295	VITAL IMAGES INC	PREPACKAGED SOFTWARE
162.665	859.746	634.204	5.09169287	6.756637	6.45237067	2.21129412	2.93437016	RF MICRO DEVICES INC	SEMICONDUCTOR,RELATED DEVICE
0.515	4.964	5.207	-0.6635884	1.60221187	1.65000387	-0.2881928	0.69583177	SIMULATIONS PLUS INC	PREPACKAGED SOFTWARE
3.109	39.08	11.475	1.13430113	3.66561083	2.44017076	0.49262072	1.59195456	8X8 INC	SEMICONDUCTOR,RELATED DEVICE
11.885	50.941	44.612	2.4752771	3.9306681	3.79800288	1.07499919	1.70706747	QUICKLOGIC CORP	SEMICONDUCTOR,RELATED DEVICE
9.488	133.886	42.319	2.25002784	4.89698869	3.74523616	0.97717468	2.12673517	AMICAS INC	PREPACKAGED SOFTWARE
33.229	207.093	231.206	3.50342299	5.33316797	5.44330909	1.52151727	2.31616542	QAD INC	PREPACKAGED SOFTWARE
1.937	13.1	14.79	0.66114038	2.57261223	2.69395128	0.28712962	1.1172713	OMTOOL LTD	PREPACKAGED SOFTWARE
86.368	1039.3	939.925	4.45861724	6.94630269	6.84580008	1.93635286	3.01674093	ELBIT SYSTEMS LTD	CMP INTEGRATED SYS DESIGN
16.803	114.724	114.048	2.82155744	4.74252924	4.73661941	1.22538683	2.05965428	RENAISSANCE LEARNING INC	PREPACKAGED SOFTWARE
11.067	93.868	49.608	2.40396771	4.54188954	3.90415211	1.04402991	1.97251756	PERVASIVE SOFTWARE INC	PREPACKAGED SOFTWARE
25.318	223.491	106.188	3.23151561	5.40937114	4.66521111	1.4034294	2.34926004	CONCORD COMMUNICATIONS INC	PREPACKAGED SOFTWARE
82	2376.5	1601	4.40671925	7.7733841	7.37838371	1.91381385	3.37593782	FAIRCHILD SEMICONDUCTOR INTL	SEMICONDUCTOR,RELATED DEVICE
14.161	197.452	66.417	2.65049171	5.28549552	4.19595305	1.15109392	2.29546154	PERICOM SEMICONDUCTOR CORP	SEMICONDUCTOR,RELATED DEVICE
0.546	0.625	2.028	-0.6051363	-0.4700036	0.70705009	-0.2628074	-0.20412	INTEGRATED BUSINESS SYS &SVC	PREPACKAGED SOFTWARE
52.066	602.502	266.719	3.95251214	6.40109098	5.58619567	1.71655421	2.77995849	REALNETWORKS INC	PREPACKAGED SOFTWARE
135.472	1102.395	253.756	4.90876498	7.00524036	5.53637318	2.13184954	3.04233723	APPLIED MICRO CIRCUITS CORP	SEMICONDUCTOR,RELATED DEVICE
16.162	235.432	136.636	2.78266281	5.46142212	4.91732046	1.2084951	2.37186549	POWER INTEGRATIONS INC	SEMICONDUCTOR,RELATED DEVICE
10.419	72.572	46.395	2.34363106	4.28457917	3.83719169	1.01782604	1.86076909	DESCARTES SYSTEMS GROUP INC	PREPACKAGED SOFTWARE
67.346	2592.874	1166.455	4.20984351	7.86052219	7.06172451	1.82831181	3.41378141	VERISIGN INC	PREPACKAGED SOFTWARE
38.648	369.738	185.595	3.65449503	5.91279465	5.22356688	1.58712702	2.56789409	MERCURY COMPUTER SYSTEMS INC	CMP INTEGRATED SYS DESIGN
31.427	284.353	146.577	3.4476674	5.65021642	4.98755089	1.49730293	2.45385781	MICROMUSE INC	PREPACKAGED SOFTWARE
46.459	841.429	301.623	3.8385702	6.73510164	5.70917789	1.66706986	2.92501748	DOUBLECLICK INC	PREPACKAGED SOFTWARE
33.348	416.292	204.115	3.5069978	6.03138694	5.31868356	1.52306979	2.61939807	GENESIS MICROCHIP INC	SEMICONDUCTOR,RELATED DEVICE
13.5	59.239	75.67	2.60268969	4.08158011	4.32638178	1.13033377	1.77260772	DOCUCORP INTERNATIONAL INC	PREPACKAGED SOFTWARE
6.316	33.356	32.186	1.8430861	3.50723767	3.47153158	0.80044212	1.52317397	EXTENDED SYSTEMS INC	PREPACKAGED SOFTWARE
0.237	0.17	0.117	-1.4396951	-1.7719568	-2.1455813	-0.6252517	-0.7695511	GIVEMEPOWER CORP	PREPACKAGED SOFTWARE
1.967	78.943	37.005	0.67650954	4.36872607	3.61105304	0.29380436	1.89731363	MERGE TECHNOLOGIES INC	CMP INTEGRATED SYS DESIGN
11.171	98.881	58.537	2.41332113	4.59391711	4.06965903	1.04809205	1.99511285	FUNDTECH LTD	CMP INTEGRATED SYS DESIGN
617.452	2885.839	2400.61	6.42560133	7.96757095	7.78347815	2.7906032	3.4602721	BROADCOM CORP  -CL A	SEMICONDUCTOR,RELATED DEVICE
21.753	95.576	88.088	3.07975168	4.55992174	4.47833631	1.33751916	1.98034885	MOBIUS MGMT SYSTEMS INC	PREPACKAGED SOFTWARE
1380.906	10269.212	10193.306	7.23049508	9.23690557	9.22948651	3.14016412	4.01153712	SAP AG  -ADR	PREPACKAGED SOFTWARE
0.378	0.474	0	-0.9728611	-0.746548		-0.4225082	-0.3242217	MICROMEM TECHNOLOGIES INC	SEMICONDUCTOR,RELATED DEVICE
42.976	598.902	289.893	3.76064182	6.39509798	5.66951189	1.63322599	2.77735576	INTERNET SECURITY SYS INC	PREPACKAGED SOFTWARE
0.803	7.36	2.399	-0.2194006	1.99605993	0.87505198	-0.0952845	0.86687781	TENGTU INTL CORP	PREPACKAGED SOFTWARE
0.276	0.09	0.005	-1.2873544	-2.4079456	-5.2983174	-0.5590909	-1.0457575	USA VIDEO INTERACTIVE CORP	CMP INTEGRATED SYS DESIGN
1.75	112.152	76.402	0.55961579	4.71985509	4.33600887	0.24303805	2.04980702	I-TRAX INC	PREPACKAGED SOFTWARE
1.084	3.499	2.391	0.0806579	1.25247721	0.87171169	0.03502928	0.54394394	CIMNET INC	PREPACKAGED SOFTWARE
1.609	18.631	4.413	0.47561287	2.92482686	1.48455473	0.20655604	1.27023617	SONIC FOUNDRY INC	PREPACKAGED SOFTWARE
0.286	0.572	0.262	-1.2517635	-0.5586163	-1.3394108	-0.543634	-0.242604	TANKLESS SYSTEMS WORLDWIDE	SEMICONDUCTOR,RELATED DEVICE
29.546	290.501	214.919	3.38594837	5.67160702	5.37026121	1.47049869	2.46314763	MANHATTAN ASSOCIATES INC	CMP INTEGRATED SYS DESIGN
36.707	2965.368	1901.279	3.60296747	7.99475642	7.5502821	1.56474889	3.4720786	AMKOR TECHNOLOGY INC	SEMICONDUCTOR,RELATED DEVICE
0.584	2.899	4.244	-0.5378543	1.06436585	1.44550622	-0.2335872	0.46224822	ENGLISH LANG LEARN & INSTR	PREPACKAGED SOFTWARE
8.644	93.019	118.891	2.15686544	4.53280377	4.77820711	0.93671476	1.96857167	CARREKER CORP	PREPACKAGED SOFTWARE
1.479	87.54	35.454	0.39136618	4.47209583	3.56823608	0.16996817	1.94220654	AXT INC	SEMICONDUCTOR,RELATED DEVICE
18.317	52.546	72.028	2.90782959	3.96168898	4.27705493	1.26285435	1.72053966	ULTIMATE SOFTWARE GROUP INC	PREPACKAGED SOFTWARE
2.636	0.833	13.197	0.96926262	-0.1827216	2.57998953	0.42094541	-0.079355	INTERPLAY ENTERTAINMENT CORP	PREPACKAGED SOFTWARE
24.915	336.956	231.208	3.21547003	5.81995236	5.44331774	1.39646089	2.52757319	MICROSTRATEGY INC	PREPACKAGED SOFTWARE
12.884	96.36	55.204	2.55598623	4.56809118	4.01103541	1.11005072	1.98389679	SUMTOTAL SYSTEMS INC	PREPACKAGED SOFTWARE
0.358	40.426	81.028	-1.0272223	3.69947314	4.39479477	-0.446117	1.60666077	IMERGENT INC	CMP INTEGRATED SYS DESIGN
126.407	2863.884	1773.732	4.83950686	7.95993402	7.48084108	2.10177112	3.45695542	AMDOCS LTD	PREPACKAGED SOFTWARE
15.6	4939.8	8839.8	2.74727091	8.50508012	9.08701953	1.1931246	3.69370937	CELESTICA INC	SEMICONDUCTOR,RELATED DEVICE
34.096	210.623	124.36	3.52918008	5.35006981	4.82318059	1.53270343	2.32350579	RETALIX LTD	PREPACKAGED SOFTWARE
19.847	105.455	104.657	2.98805286	4.65828432	4.65068834	1.29769487	2.02306718	ACTUATE CORP	PREPACKAGED SOFTWARE
21.164	58.554	72.9	3.05230163	4.06994941	4.28908864	1.32559775	1.76755657	BINDVIEW DEVELOPMENT CORP	PREPACKAGED SOFTWARE
0.434	2.075	4.196	-0.8347107	0.72996115	1.43413169	-0.3625103	0.3170181	GLOBAL ENTMT HLDGS/EQUITIES	PREPACKAGED SOFTWARE
11.001	225.474	107.183	2.39798618	5.41820485	4.67453765	1.04143216	2.35309647	OPEN SOLUTIONS INC	PREPACKAGED SOFTWARE
58.095	291.42	309.075	4.0620796	5.67476553	5.73358397	1.76413876	2.46451935	ECLIPSYS CORP	CMP INTEGRATED SYS DESIGN
1.822	2.406	5.171	0.5999348	0.87796562	1.64306609	0.26054837	0.38129562	SUMMUS INC	PREPACKAGED SOFTWARE
3.555	22.958	30.976	1.26835506	3.13366646	3.43321271	0.55083961	1.36093405	SCIENTIFIC LEARNING CORP	PREPACKAGED SOFTWARE
17.266	145.883	90.957	2.84873925	4.98280493	4.51038687	1.23719174	2.16400469	ENTRUST INC	PREPACKAGED SOFTWARE
0.952	6.435	3.028	-0.0491902	1.86175184	1.10790234	-0.0213631	0.80854855	ON2 TECHNOLOGIES INC	PREPACKAGED SOFTWARE
1.304	2.413	6.03	0.26543646	0.88087079	1.79674701	0.11527759	0.38255732	PARK CITY GROUP INC	PREPACKAGED SOFTWARE
400.789	1880.522	901.854	5.9934351	7.53930468	6.80445264	2.60291579	3.27427842	CONEXANT SYSTEMS INC	SEMICONDUCTOR,RELATED DEVICE
26.648	76.242	42.142	3.2827141	4.33391249	3.74104487	1.42566462	1.88219428	HI/FN INC	SEMICONDUCTOR,RELATED DEVICE
8.773	52.899	56.55	2.17167882	3.96838444	4.0351252	0.94314813	1.72344746	CONCUR TECHNOLOGIES INC	PREPACKAGED SOFTWARE
0.11	0.459	0.262	-2.2072749	-0.7787051	-1.3394108	-0.9586073	-0.3381873	ARTIFICIAL LIFE INC	PREPACKAGED SOFTWARE
335.104	1628.536	2010.033	5.81444093	7.39543673	7.60590642	2.52517961	3.21179736	NVIDIA CORP	SEMICONDUCTOR,RELATED DEVICE
16.167	188.905	225.806	2.78297213	5.24124424	5.41967622	1.20862944	2.27624345	ACTIVANT SOLUTIONS INC	CMP INTEGRATED SYS DESIGN
2.658	1223.611	1773.452	0.97757396	7.1095616	7.48068321	0.42455498	3.08764337	PEROT SYSTEMS CORP	CMP INTEGRATED SYS DESIGN
11.054	90.067	82.132	2.40279235	4.50055384	4.40832771	1.04351946	1.9545657	BOTTOMLINE TECHNOLOGIES INC	PREPACKAGED SOFTWARE
6.085	40.345	22.925	1.80582673	3.69746747	3.13222802	0.78426058	1.60578972	VERTICALNET INC	PREPACKAGED SOFTWARE
10.613	46.267	57.634	2.36207966	3.83442896	4.05411267	1.02583816	1.66527134	ONYX SOFTWARE CORP	PREPACKAGED SOFTWARE
41.619	695.119	208.105	3.72855679	6.54408305	5.33804276	1.61929164	2.84205916	SERENA SOFTWARE INC	PREPACKAGED SOFTWARE
44.94	405.456	177.927	3.80532827	6.00501236	5.18137335	1.65263307	2.60794373	VIGNETTE CORP	PREPACKAGED SOFTWARE
18.809	110.473	54.449	2.93433548	4.70477115	3.99726448	1.27436571	2.04325615	PLX TECHNOLOGY INC	SEMICONDUCTOR,RELATED DEVICE
4.001	13.822	0.231	1.38654433	2.62626153	-1.4653376	0.60216855	1.14057089	WORLDGATE COMMUNICATIONS INC	CMP INTEGRATED SYS DESIGN
0.25	14.723	0.927	-1.3862944	2.6894109	-0.0758017	-0.60206	1.16799631	NET PERCEPTIONS INC	PREPACKAGED SOFTWARE
51.322	409.768	219.681	3.93811951	6.01559115	5.39217649	1.71030357	2.61253804	INFORMATICA CORP	PREPACKAGED SOFTWARE
56.606	307.435	115.569	4.03611499	5.72826368	4.74986775	1.75286247	2.48775331	REDBACK NETWORKS INC	CMP INTEGRATED SYS DESIGN
3.734	6.415	17.593	1.31748005	1.858639	2.8675011	0.57217431	0.80719666	TENFOLD CORP	PREPACKAGED SOFTWARE
0.369	21.336	39.649	-0.9969586	3.06039579	3.68006573	-0.4329736	1.329113	PRIVATE BUSINESS INC	PREPACKAGED SOFTWARE
49.706	340.881	241.043	3.90612565	5.83153344	5.48497534	1.69640882	2.5326028	S1 CORP	CMP INTEGRATED SYS DESIGN
24.361	362.859	171.19	3.19298349	5.89401433	5.14277405	1.38669511	2.5597379	F5 NETWORKS INC	CMP INTEGRATED SYS DESIGN
94.15	476.508	290.791	4.54488926	6.16648451	5.6726048	1.97382032	2.6780702	OPENWAVE SYSTEMS INC	PREPACKAGED SOFTWARE
3.298	12.555	5.499	1.19331622	2.53011899	1.70456626	0.51825065	1.09881672	BACKWEB TECHNOLOGIES LTD	PREPACKAGED SOFTWARE
0.207	0.551	1.018	-1.5750365	-0.5960205	0.01783992	-0.6840297	-0.2588484	NMXS.COM INC	PREPACKAGED SOFTWARE
54.362	933.889	245.798	3.99566538	6.83935759	5.50451006	1.73529543	2.97029526	ARIBA INC	PREPACKAGED SOFTWARE
63.3	1082.811	387.22	4.14788533	6.98731572	5.95899301	1.80140371	3.03455266	TIBCO SOFTWARE INC	PREPACKAGED SOFTWARE
4.015	14.094	12.885	1.39003735	2.64574917	2.55606384	0.60368555	1.14903427	AXEDA SYSTEMS INC	CMP INTEGRATED SYS DESIGN
16.209	97.803	69.219	2.78556664	4.58295525	4.23727539	1.20975622	1.99035218	ART TECHNOLOGY GROUP INC	PREPACKAGED SOFTWARE
0.258	0.277	0.752	-1.3547957	-1.2837378	-0.285019	-0.5883803	-0.5575202	DESTINY MEDIA TECHNOLOGIES	PREPACKAGED SOFTWARE
5.173	35.524	55.327	1.64345279	3.57020852	4.01326104	0.71374248	1.55052186	TROY GROUP INC	CMP INTEGRATED SYS DESIGN
14.973	137.792	92.437	2.70624858	4.9257453	4.52652733	1.17530882	2.139224	PACKETEER INC	CMP INTEGRATED SYS DESIGN
69.014	543.902	261.645	4.23430938	6.29876908	5.56698862	1.8389372	2.73552066	NETIQ CORP	PREPACKAGED SOFTWARE
18.154	168.481	82.767	2.89889092	5.12682298	4.41602943	1.25897233	2.22655093	WATCHGUARD TECHNOLOGIES INC	PREPACKAGED SOFTWARE
0.135	28.677	13.285	-2.0024805	3.35609541	2.58663558	-0.8696662	1.45753372	INCENTRA SOLUTIONS INC	PREPACKAGED SOFTWARE
11.771	87.716	43.438	2.46563888	4.47410432	3.77133463	1.07081336	1.94307882	TUMBLEWEED COMMUNICATIONS CO	PREPACKAGED SOFTWARE
32.468	1134.036	196.466	3.48025499	7.03353823	5.28048939	1.51145554	3.05462684	RED HAT INC	PREPACKAGED SOFTWARE
2.065	20.244	3.864	0.72513023	3.00785845	1.35170292	0.31492006	1.30629633	IPIX CORP	CMP INTEGRATED SYS DESIGN
16.789	148.287	85.214	2.82072391	4.99914959	4.44516574	1.22502483	2.17110308	NETSCOUT SYSTEMS INC	CMP INTEGRATED SYS DESIGN
85.285	843.351	389.463	4.44599859	6.73738324	5.96476887	1.93087265	2.92600836	QUEST SOFTWARE INC	PREPACKAGED SOFTWARE
0.392	113.388	154.101	-0.9364934	4.73081557	5.03760823	-0.4067139	2.0545671	LIONBRIDGE TECHNOLOGIES INC	PREPACKAGED SOFTWARE
0.051	0.734	1.099	-2.9759296	-0.3092463	0.09440068	-1.2924298	-0.1343039	IMMEDIATEK INC	PREPACKAGED SOFTWARE
17.507	92.897	61.885	2.8626008	4.53149135	4.12527782	1.24321173	1.96800169	VITRIA TECHNOLOGY INC	PREPACKAGED SOFTWARE
25.456	354.219	79.293	3.23695147	5.86991537	4.37314985	1.40579016	2.54927185	E.PIPHANY INC	PREPACKAGED SOFTWARE
2.942	15.161	19.603	1.07908962	2.71872634	2.97568262	0.46864267	1.18072785	EGAIN COMMUNICATIONS	PREPACKAGED SOFTWARE
12.858	32.498	55.119	2.55396619	3.48117855	4.00949448	1.10917342	1.51185663	INTERACTIVE INTELLIGENCE INC	PREPACKAGED SOFTWARE
61.459	154.908	173.159	4.11837029	5.04283139	5.15421025	1.78858549	2.19007385	SILICON IMAGE INC	SEMICONDUCTOR,RELATED DEVICE
30.398	239.884	274.565	3.41437682	5.48015547	5.61518803	1.48284501	2.38000128	TRIZETTO GROUP INC	PREPACKAGED SOFTWARE
31.982	393.776	160.388	3.46517324	5.97578222	5.07759588	1.50490562	2.59524924	INTERWOVEN INC	PREPACKAGED SOFTWARE
8.506	142.105	48.221	2.1407718	4.95656622	3.87579461	0.92972538	2.15260936	PCTEL INC	PREPACKAGED SOFTWARE
5.14	49.23	19.784	1.63705308	3.89650319	2.98487353	0.71096312	1.69222984	JACADA LTD	PREPACKAGED SOFTWARE
0.855	19.131	38.92	-0.1566538	2.95131006	3.66150826	-0.0680339	1.28173767	BSQUARE CORP	PREPACKAGED SOFTWARE
118.281	3090.012	932.131	4.77306315	8.03593025	6.83747336	2.07291499	3.48996017	CHARTERED SEMICONDUCTR  -ADR	SEMICONDUCTOR,RELATED DEVICE
23.661	62.766	81.161	3.16382812	4.13941353	4.39643484	1.3740331	1.79772445	METASOLV INC	PREPACKAGED SOFTWARE
29.753	192.411	77.169	3.39292997	5.25963371	4.34599782	1.47353076	2.2842299	OPENTV CORP	PREPACKAGED SOFTWARE
7.229	163.287	92.947	1.97810071	5.09550939	4.53202944	0.85907822	2.21295161	DIGIMARC CORP	PREPACKAGED SOFTWARE
6.732	53.679	29.261	1.90687228	3.98302186	3.37625557	0.82814411	1.72980442	VA SOFTWARE CORP	CMP INTEGRATED SYS DESIGN
