Number Messages	Time (Clock)
16	23/09/2008 3:33 PM
26	23/09/2008 3:34 PM
16	23/09/2008 3:35 PM
11	23/09/2008 3:36 PM
9	23/09/2008 3:37 PM
14	23/09/2008 3:38 PM
25	23/09/2008 3:39 PM
20	23/09/2008 3:40 PM
13	23/09/2008 3:41 PM
19	23/09/2008 3:42 PM
14	23/09/2008 3:43 PM
4	23/09/2008 3:44 PM
8	23/09/2008 3:45 PM
23	23/09/2008 3:46 PM
23	23/09/2008 3:47 PM
21	23/09/2008 3:48 PM
26	23/09/2008 3:49 PM
20	23/09/2008 3:50 PM
10	23/09/2008 3:51 PM
21	23/09/2008 3:52 PM
25	23/09/2008 3:53 PM
24	23/09/2008 3:54 PM
26	23/09/2008 3:55 PM
6	23/09/2008 3:56 PM
30	23/09/2008 3:57 PM
18	23/09/2008 3:58 PM
13	23/09/2008 3:59 PM
25	23/09/2008 4:00 PM
11	23/09/2008 4:01 PM
29	23/09/2008 4:02 PM
11	23/09/2008 4:03 PM
24	23/09/2008 4:04 PM
12	23/09/2008 4:05 PM
29	23/09/2008 4:06 PM
25	23/09/2008 4:07 PM
18	23/09/2008 4:08 PM
16	23/09/2008 4:09 PM
18	23/09/2008 4:10 PM
13	23/09/2008 4:11 PM
7	23/09/2008 4:12 PM
23	23/09/2008 4:13 PM
3	23/09/2008 4:14 PM
21	23/09/2008 4:15 PM
4	23/09/2008 4:16 PM
19	23/09/2008 4:17 PM
8	23/09/2008 4:18 PM
17	23/09/2008 4:19 PM
26	23/09/2008 4:20 PM
12	23/09/2008 4:21 PM
18	23/09/2008 4:22 PM
31	23/09/2008 4:23 PM
11	23/09/2008 4:24 PM
14	23/09/2008 4:25 PM
11	23/09/2008 4:26 PM
31	23/09/2008 4:27 PM
19	23/09/2008 4:28 PM
9	23/09/2008 4:29 PM
31	23/09/2008 4:30 PM
21	23/09/2008 4:31 PM
14	23/09/2008 4:32 PM
11	23/09/2008 4:33 PM
9	23/09/2008 4:34 PM
8	23/09/2008 4:35 PM
14	23/09/2008 4:36 PM
3	23/09/2008 4:37 PM
25	23/09/2008 4:38 PM
4	23/09/2008 4:39 PM
19	23/09/2008 4:40 PM
23	23/09/2008 4:41 PM
13	23/09/2008 4:42 PM
31	23/09/2008 4:43 PM
10	23/09/2008 4:44 PM
12	23/09/2008 4:45 PM
9	23/09/2008 4:46 PM
19	23/09/2008 4:47 PM
21	23/09/2008 4:48 PM
26	23/09/2008 4:49 PM
22	23/09/2008 4:50 PM
20	23/09/2008 4:51 PM
27	23/09/2008 4:52 PM
16	23/09/2008 4:53 PM
11	23/09/2008 4:54 PM
18	23/09/2008 4:55 PM
7	23/09/2008 4:56 PM
9	23/09/2008 4:57 PM
23	23/09/2008 4:58 PM
5	23/09/2008 4:59 PM
10	24/09/2008 9:00 AM
7	24/09/2008 9:01 AM
10	24/09/2008 9:02 AM
11	24/09/2008 9:03 AM
10	24/09/2008 9:04 AM
15	24/09/2008 9:05 AM
7	24/09/2008 9:06 AM
6	24/09/2008 9:07 AM
30	24/09/2008 9:08 AM
10	24/09/2008 9:09 AM
31	24/09/2008 9:10 AM
22	24/09/2008 9:11 AM
13	24/09/2008 9:12 AM
15	24/09/2008 9:13 AM
14	24/09/2008 9:14 AM
10	24/09/2008 9:15 AM
10	24/09/2008 9:16 AM
19	24/09/2008 9:17 AM
19	24/09/2008 9:18 AM
23	24/09/2008 9:19 AM
20	24/09/2008 9:20 AM
13	24/09/2008 9:21 AM
15	24/09/2008 9:22 AM
27	24/09/2008 9:23 AM
33	24/09/2008 9:24 AM
17	24/09/2008 9:25 AM
12	24/09/2008 9:26 AM
20	24/09/2008 9:27 AM
11	24/09/2008 9:28 AM
19	24/09/2008 9:29 AM
17	24/09/2008 9:30 AM
20	24/09/2008 9:31 AM
9	24/09/2008 9:32 AM
14	24/09/2008 9:33 AM
6	24/09/2008 9:34 AM
8	24/09/2008 9:35 AM
18	24/09/2008 9:36 AM
3	24/09/2008 9:37 AM
8	24/09/2008 9:38 AM
7	24/09/2008 9:39 AM
41	24/09/2008 9:40 AM
7	24/09/2008 9:41 AM
19	24/09/2008 9:42 AM
9	24/09/2008 9:43 AM
39	24/09/2008 9:44 AM
19	24/09/2008 9:45 AM
6	24/09/2008 9:46 AM
12	24/09/2008 9:47 AM
9	24/09/2008 9:48 AM
9	24/09/2008 9:49 AM
8	24/09/2008 9:50 AM
26	24/09/2008 9:51 AM
14	24/09/2008 9:52 AM
19	24/09/2008 9:53 AM
19	24/09/2008 9:54 AM
20	24/09/2008 9:55 AM
7	24/09/2008 9:56 AM
6	24/09/2008 9:57 AM
26	24/09/2008 9:58 AM
24	24/09/2008 9:59 AM
17	24/09/2008 10:00 AM
11	24/09/2008 10:01 AM
19	24/09/2008 10:02 AM
25	24/09/2008 10:03 AM
11	24/09/2008 10:04 AM
9	24/09/2008 10:05 AM
23	24/09/2008 10:06 AM
23	24/09/2008 10:07 AM
9	24/09/2008 10:08 AM
12	24/09/2008 10:09 AM
6	24/09/2008 10:10 AM
26	24/09/2008 10:11 AM
30	24/09/2008 10:12 AM
12	24/09/2008 10:13 AM
37	24/09/2008 10:14 AM
32	24/09/2008 10:15 AM
23	24/09/2008 10:16 AM
14	24/09/2008 10:17 AM
5	24/09/2008 10:18 AM
31	24/09/2008 10:19 AM
21	24/09/2008 10:20 AM
27	24/09/2008 10:21 AM
21	24/09/2008 10:22 AM
27	24/09/2008 10:23 AM
23	24/09/2008 10:24 AM
16	24/09/2008 10:25 AM
37	24/09/2008 10:26 AM
18	24/09/2008 10:27 AM
7	24/09/2008 10:28 AM
31	24/09/2008 10:29 AM
25	24/09/2008 10:30 AM
25	24/09/2008 10:31 AM
33	24/09/2008 10:32 AM
10	24/09/2008 10:33 AM
34	24/09/2008 10:34 AM
20	24/09/2008 10:35 AM
15	24/09/2008 10:36 AM
9	24/09/2008 10:37 AM
19	24/09/2008 10:38 AM
15	24/09/2008 10:39 AM
23	24/09/2008 10:40 AM
19	24/09/2008 10:41 AM
13	24/09/2008 10:42 AM
18	24/09/2008 10:43 AM
7	24/09/2008 10:44 AM
16	24/09/2008 10:45 AM
14	24/09/2008 10:46 AM
17	24/09/2008 10:47 AM
14	24/09/2008 10:48 AM
23	24/09/2008 10:49 AM
18	24/09/2008 10:50 AM
20	24/09/2008 10:51 AM
10	24/09/2008 10:52 AM
30	24/09/2008 10:53 AM
12	24/09/2008 10:54 AM
12	24/09/2008 10:55 AM
23	24/09/2008 10:56 AM
13	24/09/2008 10:57 AM
12	24/09/2008 10:58 AM
15	24/09/2008 10:59 AM
11	24/09/2008 11:00 AM
11	24/09/2008 11:01 AM
16	24/09/2008 11:02 AM
8	24/09/2008 11:03 AM
28	24/09/2008 11:04 AM
20	24/09/2008 11:05 AM
5	24/09/2008 11:06 AM
11	24/09/2008 11:07 AM
1	24/09/2008 11:08 AM
13	24/09/2008 11:09 AM
16	24/09/2008 11:10 AM
37	24/09/2008 11:11 AM
13	24/09/2008 11:12 AM
15	24/09/2008 11:13 AM
21	24/09/2008 11:14 AM
13	24/09/2008 11:15 AM
30	24/09/2008 11:16 AM
19	24/09/2008 11:17 AM
28	24/09/2008 11:18 AM
10	24/09/2008 11:19 AM
18	24/09/2008 11:20 AM
31	24/09/2008 11:21 AM
25	24/09/2008 11:22 AM
3	24/09/2008 11:23 AM
23	24/09/2008 11:24 AM
25	24/09/2008 11:25 AM
16	24/09/2008 11:26 AM
13	24/09/2008 11:27 AM
27	24/09/2008 11:28 AM
17	24/09/2008 11:29 AM
18	24/09/2008 11:30 AM
23	24/09/2008 11:31 AM
20	24/09/2008 11:32 AM
6	24/09/2008 11:33 AM
16	24/09/2008 11:34 AM
14	24/09/2008 11:35 AM
15	24/09/2008 11:36 AM
15	24/09/2008 11:37 AM
11	24/09/2008 11:38 AM
11	24/09/2008 11:39 AM
20	24/09/2008 11:40 AM
17	24/09/2008 11:41 AM
12	24/09/2008 11:42 AM
5	24/09/2008 11:43 AM
21	24/09/2008 11:44 AM
2	24/09/2008 11:45 AM
4	24/09/2008 11:46 AM
11	24/09/2008 11:47 AM
32	24/09/2008 11:48 AM
16	24/09/2008 11:49 AM
15	24/09/2008 11:50 AM
16	24/09/2008 11:51 AM
23	24/09/2008 11:52 AM
16	24/09/2008 11:53 AM
20	24/09/2008 11:54 AM
10	24/09/2008 11:55 AM
8	24/09/2008 11:56 AM
17	24/09/2008 11:57 AM
25	24/09/2008 11:58 AM
13	24/09/2008 11:59 AM
13	24/09/2008 12:00 PM
12	24/09/2008 12:01 PM
7	24/09/2008 12:02 PM
24	24/09/2008 12:03 PM
37	24/09/2008 12:04 PM
12	24/09/2008 12:05 PM
27	24/09/2008 12:06 PM
9	24/09/2008 12:07 PM
14	24/09/2008 12:08 PM
35	24/09/2008 12:09 PM
10	24/09/2008 12:10 PM
8	24/09/2008 12:11 PM
8	24/09/2008 12:12 PM
19	24/09/2008 12:13 PM
14	24/09/2008 12:14 PM
14	24/09/2008 12:15 PM
9	24/09/2008 12:16 PM
25	24/09/2008 12:17 PM
8	24/09/2008 12:18 PM
5	24/09/2008 12:19 PM
38	24/09/2008 12:20 PM
8	24/09/2008 12:21 PM
21	24/09/2008 12:22 PM
16	24/09/2008 12:23 PM
28	24/09/2008 12:24 PM
22	24/09/2008 12:25 PM
7	24/09/2008 12:26 PM
15	24/09/2008 12:27 PM
11	24/09/2008 12:28 PM
14	24/09/2008 12:29 PM
7	24/09/2008 12:30 PM
13	24/09/2008 12:31 PM
20	24/09/2008 12:32 PM
10	24/09/2008 12:33 PM
18	24/09/2008 12:34 PM
22	24/09/2008 12:35 PM
12	24/09/2008 12:36 PM
30	24/09/2008 12:37 PM
28	24/09/2008 12:38 PM
15	24/09/2008 12:39 PM
6	24/09/2008 12:40 PM
9	24/09/2008 12:41 PM
28	24/09/2008 12:42 PM
13	24/09/2008 12:43 PM
27	24/09/2008 12:44 PM
16	24/09/2008 12:45 PM
19	24/09/2008 12:46 PM
22	24/09/2008 12:47 PM
7	24/09/2008 12:48 PM
2	24/09/2008 12:49 PM
9	24/09/2008 12:50 PM
27	24/09/2008 12:51 PM
12	24/09/2008 12:52 PM
5	24/09/2008 12:53 PM
11	24/09/2008 12:54 PM
3	24/09/2008 12:55 PM
10	24/09/2008 12:56 PM
12	24/09/2008 12:57 PM
21	24/09/2008 12:58 PM
12	24/09/2008 12:59 PM
13	24/09/2008 1:00 PM
34	24/09/2008 1:01 PM
12	24/09/2008 1:02 PM
24	24/09/2008 1:03 PM
2	24/09/2008 1:04 PM
34	24/09/2008 1:05 PM
29	24/09/2008 1:06 PM
13	24/09/2008 1:07 PM
14	24/09/2008 1:08 PM
15	24/09/2008 1:09 PM
21	24/09/2008 1:10 PM
16	24/09/2008 1:11 PM
12	24/09/2008 1:12 PM
11	24/09/2008 1:13 PM
21	24/09/2008 1:14 PM
14	24/09/2008 1:15 PM
28	24/09/2008 1:16 PM
17	24/09/2008 1:17 PM
21	24/09/2008 1:18 PM
6	24/09/2008 1:19 PM
23	24/09/2008 1:20 PM
9	24/09/2008 1:21 PM
10	24/09/2008 1:22 PM
35	24/09/2008 1:23 PM
14	24/09/2008 1:24 PM
20	24/09/2008 1:25 PM
10	24/09/2008 1:26 PM
17	24/09/2008 1:27 PM
13	24/09/2008 1:28 PM
13	24/09/2008 1:29 PM
26	24/09/2008 1:30 PM
9	24/09/2008 1:31 PM
10	24/09/2008 1:32 PM
8	24/09/2008 1:33 PM
24	24/09/2008 1:34 PM
28	24/09/2008 1:35 PM
3	24/09/2008 1:36 PM
21	24/09/2008 1:37 PM
19	24/09/2008 1:38 PM
6	24/09/2008 1:39 PM
3	24/09/2008 1:40 PM
25	24/09/2008 1:41 PM
16	24/09/2008 1:42 PM
6	24/09/2008 1:43 PM
9	24/09/2008 1:44 PM
15	24/09/2008 1:45 PM
8	24/09/2008 1:46 PM
21	24/09/2008 1:47 PM
8	24/09/2008 1:48 PM
25	24/09/2008 1:49 PM
18	24/09/2008 1:50 PM
6	24/09/2008 1:51 PM
13	24/09/2008 1:52 PM
32	24/09/2008 1:53 PM
4	24/09/2008 1:54 PM
37	24/09/2008 1:55 PM
19	24/09/2008 1:56 PM
18	24/09/2008 1:57 PM
32	24/09/2008 1:58 PM
37	24/09/2008 1:59 PM
13	24/09/2008 2:00 PM
20	24/09/2008 2:01 PM
17	24/09/2008 2:02 PM
12	24/09/2008 2:03 PM
12	24/09/2008 2:04 PM
1	24/09/2008 2:05 PM
25	24/09/2008 2:06 PM
25	24/09/2008 2:07 PM
11	24/09/2008 2:08 PM
11	24/09/2008 2:09 PM
20	24/09/2008 2:10 PM
10	24/09/2008 2:11 PM
17	24/09/2008 2:12 PM
16	24/09/2008 2:13 PM
16	24/09/2008 2:14 PM
9	24/09/2008 2:15 PM
22	24/09/2008 2:16 PM
21	24/09/2008 2:17 PM
21	24/09/2008 2:18 PM
3	24/09/2008 2:19 PM
19	24/09/2008 2:20 PM
22	24/09/2008 2:21 PM
15	24/09/2008 2:22 PM
6	24/09/2008 2:23 PM
20	24/09/2008 2:24 PM
20	24/09/2008 2:25 PM
21	24/09/2008 2:26 PM
14	24/09/2008 2:27 PM
11	24/09/2008 2:28 PM
15	24/09/2008 2:29 PM
23	24/09/2008 2:30 PM
23	24/09/2008 2:31 PM
6	24/09/2008 2:32 PM
6	24/09/2008 2:33 PM
21	24/09/2008 2:34 PM
6	24/09/2008 2:35 PM
25	24/09/2008 2:36 PM
19	24/09/2008 2:37 PM
11	24/09/2008 2:38 PM
34	24/09/2008 2:39 PM
7	24/09/2008 2:40 PM
7	24/09/2008 2:41 PM
29	24/09/2008 2:42 PM
27	24/09/2008 2:43 PM
12	24/09/2008 2:44 PM
21	24/09/2008 2:45 PM
10	24/09/2008 2:46 PM
33	24/09/2008 2:47 PM
17	24/09/2008 2:48 PM
5	24/09/2008 2:49 PM
21	24/09/2008 2:50 PM
29	24/09/2008 2:51 PM
24	24/09/2008 2:52 PM
22	24/09/2008 2:53 PM
10	24/09/2008 2:54 PM
15	24/09/2008 2:55 PM
9	24/09/2008 2:56 PM
15	24/09/2008 2:57 PM
14	24/09/2008 2:58 PM
17	24/09/2008 2:59 PM
18	24/09/2008 3:00 PM
16	24/09/2008 3:01 PM
16	24/09/2008 3:02 PM
18	24/09/2008 3:03 PM
11	24/09/2008 3:04 PM
15	24/09/2008 3:05 PM
2	24/09/2008 3:06 PM
17	24/09/2008 3:07 PM
27	24/09/2008 3:08 PM
8	24/09/2008 3:09 PM
16	24/09/2008 3:10 PM
18	24/09/2008 3:11 PM
15	24/09/2008 3:12 PM
13	24/09/2008 3:13 PM
19	24/09/2008 3:14 PM
7	24/09/2008 3:15 PM
31	24/09/2008 3:16 PM
38	24/09/2008 3:17 PM
12	24/09/2008 3:18 PM
36	24/09/2008 3:19 PM
14	24/09/2008 3:20 PM
27	24/09/2008 3:21 PM
11	24/09/2008 3:22 PM
18	24/09/2008 3:23 PM
40	24/09/2008 3:24 PM
3	24/09/2008 3:25 PM
8	24/09/2008 3:26 PM
16	24/09/2008 3:27 PM
23	24/09/2008 3:28 PM
14	24/09/2008 3:29 PM
7	24/09/2008 3:30 PM
13	24/09/2008 3:31 PM
8	24/09/2008 3:32 PM
28	24/09/2008 3:33 PM
8	24/09/2008 3:34 PM
27	24/09/2008 3:35 PM
21	24/09/2008 3:36 PM
4	24/09/2008 3:37 PM
7	24/09/2008 3:38 PM
38	24/09/2008 3:39 PM
14	24/09/2008 3:40 PM
32	24/09/2008 3:41 PM
17	24/09/2008 3:42 PM
22	24/09/2008 3:43 PM
16	24/09/2008 3:44 PM
21	24/09/2008 3:45 PM
8	24/09/2008 3:46 PM
22	24/09/2008 3:47 PM
8	24/09/2008 3:48 PM
10	24/09/2008 3:49 PM
4	24/09/2008 3:50 PM
11	24/09/2008 3:51 PM
14	24/09/2008 3:52 PM
23	24/09/2008 3:53 PM
17	24/09/2008 3:54 PM
15	24/09/2008 3:55 PM
16	24/09/2008 3:56 PM
12	24/09/2008 3:57 PM
11	24/09/2008 3:58 PM
25	24/09/2008 3:59 PM
20	24/09/2008 4:00 PM
20	24/09/2008 4:01 PM
21	24/09/2008 4:02 PM
25	24/09/2008 4:03 PM
19	24/09/2008 4:04 PM
9	24/09/2008 4:05 PM
14	24/09/2008 4:06 PM
8	24/09/2008 4:07 PM
26	24/09/2008 4:08 PM
8	24/09/2008 4:09 PM
33	24/09/2008 4:10 PM
17	24/09/2008 4:11 PM
22	24/09/2008 4:12 PM
13	24/09/2008 4:13 PM
23	24/09/2008 4:14 PM
14	24/09/2008 4:15 PM
3	24/09/2008 4:16 PM
25	24/09/2008 4:17 PM
12	24/09/2008 4:18 PM
16	24/09/2008 4:19 PM
20	24/09/2008 4:20 PM
4	24/09/2008 4:21 PM
19	24/09/2008 4:22 PM
25	24/09/2008 4:23 PM
8	24/09/2008 4:24 PM
22	24/09/2008 4:25 PM
35	24/09/2008 4:26 PM
16	24/09/2008 4:27 PM
31	24/09/2008 4:28 PM
6	24/09/2008 4:29 PM
33	24/09/2008 4:30 PM
19	24/09/2008 4:31 PM
27	24/09/2008 4:32 PM
25	24/09/2008 4:33 PM
7	24/09/2008 4:34 PM
21	24/09/2008 4:35 PM
21	24/09/2008 4:36 PM
15	24/09/2008 4:37 PM
9	24/09/2008 4:38 PM
23	24/09/2008 4:39 PM
9	24/09/2008 4:40 PM
20	24/09/2008 4:41 PM
29	24/09/2008 4:42 PM
8	24/09/2008 4:43 PM
27	24/09/2008 4:44 PM
39	24/09/2008 4:45 PM
7	24/09/2008 4:46 PM
22	24/09/2008 4:47 PM
9	24/09/2008 4:48 PM
9	24/09/2008 4:49 PM
20	24/09/2008 4:50 PM
18	24/09/2008 4:51 PM
21	24/09/2008 4:52 PM
8	24/09/2008 4:53 PM
20	24/09/2008 4:54 PM
17	24/09/2008 4:55 PM
7	24/09/2008 4:56 PM
12	24/09/2008 4:57 PM
13	24/09/2008 4:58 PM
13	24/09/2008 4:59 PM
29	25/09/2008 9:00 AM
20	25/09/2008 9:01 AM
9	25/09/2008 9:02 AM
15	25/09/2008 9:03 AM
16	25/09/2008 9:04 AM
14	25/09/2008 9:05 AM
19	25/09/2008 9:06 AM
27	25/09/2008 9:07 AM
24	25/09/2008 9:08 AM
16	25/09/2008 9:09 AM
24	25/09/2008 9:10 AM
5	25/09/2008 9:11 AM
17	25/09/2008 9:12 AM
8	25/09/2008 9:13 AM
7	25/09/2008 9:14 AM
12	25/09/2008 9:15 AM
20	25/09/2008 9:16 AM
19	25/09/2008 9:17 AM
12	25/09/2008 9:18 AM
15	25/09/2008 9:19 AM
14	25/09/2008 9:20 AM
3	25/09/2008 9:21 AM
4	25/09/2008 9:22 AM
25	25/09/2008 9:23 AM
17	25/09/2008 9:24 AM
20	25/09/2008 9:25 AM
20	25/09/2008 9:26 AM
12	25/09/2008 9:27 AM
9	25/09/2008 9:28 AM
18	25/09/2008 9:29 AM
34	25/09/2008 9:30 AM
11	25/09/2008 9:31 AM
4	25/09/2008 9:32 AM
13	25/09/2008 9:33 AM
22	25/09/2008 9:34 AM
10	25/09/2008 9:35 AM
23	25/09/2008 9:36 AM
7	25/09/2008 9:37 AM
15	25/09/2008 9:38 AM
12	25/09/2008 9:39 AM
21	25/09/2008 9:40 AM
21	25/09/2008 9:41 AM
19	25/09/2008 9:42 AM
16	25/09/2008 9:43 AM
19	25/09/2008 9:44 AM
21	25/09/2008 9:45 AM
30	25/09/2008 9:46 AM
6	25/09/2008 9:47 AM
17	25/09/2008 9:48 AM
19	25/09/2008 9:49 AM
2	25/09/2008 9:50 AM
24	25/09/2008 9:51 AM
23	25/09/2008 9:52 AM
27	25/09/2008 9:53 AM
13	25/09/2008 9:54 AM
1	25/09/2008 9:55 AM
20	25/09/2008 9:56 AM
11	25/09/2008 9:57 AM
6	25/09/2008 9:58 AM
4	25/09/2008 9:59 AM
11	25/09/2008 10:00 AM
13	25/09/2008 10:01 AM
13	25/09/2008 10:02 AM
14	25/09/2008 10:03 AM
15	25/09/2008 10:04 AM
16	25/09/2008 10:05 AM
6	25/09/2008 10:06 AM
17	25/09/2008 10:07 AM
13	25/09/2008 10:08 AM
37	25/09/2008 10:09 AM
34	25/09/2008 10:10 AM
2	25/09/2008 10:11 AM
19	25/09/2008 10:12 AM
24	25/09/2008 10:13 AM
3	25/09/2008 10:14 AM
19	25/09/2008 10:15 AM
12	25/09/2008 10:16 AM
7	25/09/2008 10:17 AM
26	25/09/2008 10:18 AM
34	25/09/2008 10:19 AM
11	25/09/2008 10:20 AM
11	25/09/2008 10:21 AM
14	25/09/2008 10:22 AM
17	25/09/2008 10:23 AM
16	25/09/2008 10:24 AM
7	25/09/2008 10:25 AM
12	25/09/2008 10:26 AM
25	25/09/2008 10:27 AM
25	25/09/2008 10:28 AM
9	25/09/2008 10:29 AM
15	25/09/2008 10:30 AM
35	25/09/2008 10:31 AM
20	25/09/2008 10:32 AM
18	25/09/2008 10:33 AM
16	25/09/2008 10:34 AM
15	25/09/2008 10:35 AM
7	25/09/2008 10:36 AM
12	25/09/2008 10:37 AM
21	25/09/2008 10:38 AM
26	25/09/2008 10:39 AM
20	25/09/2008 10:40 AM
17	25/09/2008 10:41 AM
18	25/09/2008 10:42 AM
12	25/09/2008 10:43 AM
34	25/09/2008 10:44 AM
14	25/09/2008 10:45 AM
13	25/09/2008 10:46 AM
10	25/09/2008 10:47 AM
17	25/09/2008 10:48 AM
14	25/09/2008 10:49 AM
15	25/09/2008 10:50 AM
24	25/09/2008 10:51 AM
13	25/09/2008 10:52 AM
9	25/09/2008 10:53 AM
8	25/09/2008 10:54 AM
15	25/09/2008 10:55 AM
31	25/09/2008 10:56 AM
27	25/09/2008 10:57 AM
6	25/09/2008 10:58 AM
5	25/09/2008 10:59 AM
10	25/09/2008 11:00 AM
7	25/09/2008 11:01 AM
13	25/09/2008 11:02 AM
12	25/09/2008 11:03 AM
35	25/09/2008 11:04 AM
4	25/09/2008 11:05 AM
18	25/09/2008 11:06 AM
14	25/09/2008 11:07 AM
4	25/09/2008 11:08 AM
9	25/09/2008 11:09 AM
4	25/09/2008 11:10 AM
28	25/09/2008 11:11 AM
16	25/09/2008 11:12 AM
21	25/09/2008 11:13 AM
17	25/09/2008 11:14 AM
19	25/09/2008 11:15 AM
21	25/09/2008 11:16 AM
28	25/09/2008 11:17 AM
16	25/09/2008 11:18 AM
15	25/09/2008 11:19 AM
22	25/09/2008 11:20 AM
9	25/09/2008 11:21 AM
5	25/09/2008 11:22 AM
15	25/09/2008 11:23 AM
13	25/09/2008 11:24 AM
3	25/09/2008 11:25 AM
25	25/09/2008 11:26 AM
16	25/09/2008 11:27 AM
12	25/09/2008 11:28 AM
29	25/09/2008 11:29 AM
18	25/09/2008 11:30 AM
21	25/09/2008 11:31 AM
5	25/09/2008 11:32 AM
17	25/09/2008 11:33 AM
10	25/09/2008 11:34 AM
4	25/09/2008 11:35 AM
6	25/09/2008 11:36 AM
18	25/09/2008 11:37 AM
19	25/09/2008 11:38 AM
25	25/09/2008 11:39 AM
9	25/09/2008 11:40 AM
13	25/09/2008 11:41 AM
24	25/09/2008 11:42 AM
21	25/09/2008 11:43 AM
27	25/09/2008 11:44 AM
16	25/09/2008 11:45 AM
12	25/09/2008 11:46 AM
8	25/09/2008 11:47 AM
5	25/09/2008 11:48 AM
3	25/09/2008 11:49 AM
5	25/09/2008 11:50 AM
19	25/09/2008 11:51 AM
31	25/09/2008 11:52 AM
28	25/09/2008 11:53 AM
24	25/09/2008 11:54 AM
26	25/09/2008 11:55 AM
15	25/09/2008 11:56 AM
1	25/09/2008 11:57 AM
8	25/09/2008 11:58 AM
21	25/09/2008 11:59 AM
20	25/09/2008 12:00 PM
19	25/09/2008 12:01 PM
9	25/09/2008 12:02 PM
21	25/09/2008 12:03 PM
25	25/09/2008 12:04 PM
19	25/09/2008 12:05 PM
13	25/09/2008 12:06 PM
23	25/09/2008 12:07 PM
30	25/09/2008 12:08 PM
22	25/09/2008 12:09 PM
26	25/09/2008 12:10 PM
21	25/09/2008 12:11 PM
22	25/09/2008 12:12 PM
11	25/09/2008 12:13 PM
19	25/09/2008 12:14 PM
6	25/09/2008 12:15 PM
16	25/09/2008 12:16 PM
8	25/09/2008 12:17 PM
12	25/09/2008 12:18 PM
29	25/09/2008 12:19 PM
32	25/09/2008 12:20 PM
14	25/09/2008 12:21 PM
18	25/09/2008 12:22 PM
18	25/09/2008 12:23 PM
12	25/09/2008 12:24 PM
25	25/09/2008 12:25 PM
18	25/09/2008 12:26 PM
8	25/09/2008 12:27 PM
8	25/09/2008 12:28 PM
9	25/09/2008 12:29 PM
31	25/09/2008 12:30 PM
14	25/09/2008 12:31 PM
13	25/09/2008 12:32 PM
11	25/09/2008 12:33 PM
33	25/09/2008 12:34 PM
26	25/09/2008 12:35 PM
7	25/09/2008 12:36 PM
16	25/09/2008 12:37 PM
25	25/09/2008 12:38 PM
5	25/09/2008 12:39 PM
9	25/09/2008 12:40 PM
28	25/09/2008 12:41 PM
8	25/09/2008 12:42 PM
15	25/09/2008 12:43 PM
23	25/09/2008 12:44 PM
8	25/09/2008 12:45 PM
24	25/09/2008 12:46 PM
11	25/09/2008 12:47 PM
21	25/09/2008 12:48 PM
4	25/09/2008 12:49 PM
10	25/09/2008 12:50 PM
12	25/09/2008 12:51 PM
28	25/09/2008 12:52 PM
15	25/09/2008 12:53 PM
30	25/09/2008 12:54 PM
29	25/09/2008 12:55 PM
13	25/09/2008 12:56 PM
14	25/09/2008 12:57 PM
26	25/09/2008 12:58 PM
11	25/09/2008 12:59 PM
16	25/09/2008 1:00 PM
12	25/09/2008 1:01 PM
14	25/09/2008 1:02 PM
11	25/09/2008 1:03 PM
27	25/09/2008 1:04 PM
19	25/09/2008 1:05 PM
23	25/09/2008 1:06 PM
10	25/09/2008 1:07 PM
15	25/09/2008 1:08 PM
9	25/09/2008 1:09 PM
23	25/09/2008 1:10 PM
12	25/09/2008 1:11 PM
27	25/09/2008 1:12 PM
23	25/09/2008 1:13 PM
15	25/09/2008 1:14 PM
17	25/09/2008 1:15 PM
27	25/09/2008 1:16 PM
31	25/09/2008 1:17 PM
15	25/09/2008 1:18 PM
22	25/09/2008 1:19 PM
6	25/09/2008 1:20 PM
8	25/09/2008 1:21 PM
13	25/09/2008 1:22 PM
34	25/09/2008 1:23 PM
17	25/09/2008 1:24 PM
1	25/09/2008 1:25 PM
17	25/09/2008 1:26 PM
16	25/09/2008 1:27 PM
18	25/09/2008 1:28 PM
2	25/09/2008 1:29 PM
9	25/09/2008 1:30 PM
20	25/09/2008 1:31 PM
15	25/09/2008 1:32 PM
24	25/09/2008 1:33 PM
23	25/09/2008 1:34 PM
29	25/09/2008 1:35 PM
4	25/09/2008 1:36 PM
25	25/09/2008 1:37 PM
11	25/09/2008 1:38 PM
22	25/09/2008 1:39 PM
27	25/09/2008 1:40 PM
13	25/09/2008 1:41 PM
19	25/09/2008 1:42 PM
33	25/09/2008 1:43 PM
13	25/09/2008 1:44 PM
9	25/09/2008 1:45 PM
32	25/09/2008 1:46 PM
2	25/09/2008 1:47 PM
10	25/09/2008 1:48 PM
12	25/09/2008 1:49 PM
9	25/09/2008 1:50 PM
29	25/09/2008 1:51 PM
4	25/09/2008 1:52 PM
39	25/09/2008 1:53 PM
14	25/09/2008 1:54 PM
13	25/09/2008 1:55 PM
37	25/09/2008 1:56 PM
10	25/09/2008 1:57 PM
33	25/09/2008 1:58 PM
17	25/09/2008 1:59 PM
9	25/09/2008 2:00 PM
7	25/09/2008 2:01 PM
12	25/09/2008 2:02 PM
10	25/09/2008 2:03 PM
15	25/09/2008 2:04 PM
25	25/09/2008 2:05 PM
33	25/09/2008 2:06 PM
