Lease Cost ($)	Square Feet	Cost per Sq Foot	1/Sq Feet	Parking/SqFt	Age	Parking	Location	Location Dummy	Dummy * 1/SqFt	Renovation	Leaselength	Distance to City (miles)	Drive Time to Airport (minutes)	Distance to Airport (miles)	Occupancy	Num Floors in Bldg	Num Floors in Lease	Sq Ft in Bldg	New Wiring	Lease is Renewable
31843	1987	16.0256668	0.00050327	0.00050327	17	1	Suburbs	0	0	17	3	6.27	46.98	19.76	0.64	9	3	45721.21	NO	NO
100274	6756	14.8422143	0.00014802	0	1	0	Suburbs	0	0	1	7	3.61	14.18	11.43	0.44	16	13	37841.79	YES	NO
300529	16552	18.1566578	6.04E-05	0.00018125	43	3	City	1	6.04E-05	43	3	1.13	23.34	13.44	0.84	14	13	10739.55	NO	NO
88158	4444	19.8375338	0.00022502	0.00067507	65	3	City	1	0.00022502	39	9	1.02	22.72	13.43	0.97	19	11	37882.7	NO	NO
324621	21398	15.1706234	4.67E-05	0	13	0	Suburbs	0	0	13	3	2.84	17.05	12.31	0.75	19	1	46312.89	NO	NO
21187	1064	19.912594	0.00093985	0.00093985	23	1	Suburbs	0	0	23	6	2.22	18.7	12.78	0.93	13	3	35813.89	NO	NO
41342	2281	18.1245068	0.0004384	0	65	0	City	1	0.0004384	19	5	0.57	25.06	14	0.87	17	16	25769.26	NO	NO
129067	8082	15.9696857	0.00012373	0.00061866	34	5	Suburbs	0	0	34	3	4.35	42.24	18.65	0.54	10	10	33073.4	NO	NO
138138	7793	17.7259079	0.00012832	0.00012832	64	1	City	1	0.00012832	6	8	1.12	22.16	13.59	0.91	30	15	18933.9	YES	NO
30749	1834	16.7660851	0.00054526	0	26	0	Suburbs	0	0	26	3	2.08	20.09	13.13	1	18	15	36015.61	NO	NO
416691	21970	18.9663632	4.55E-05	0.00036413	59	8	City	1	4.55E-05	28	3	0.68	28.58	14.92	0.99	8	2	29532.8	NO	YES
40011	2343	17.0768246	0.0004268	0	23	0	Suburbs	0	0	23	9	4.83	16.17	10.56	0.62	16	4	52600.96	NO	NO
899369	54308	16.5605252	1.84E-05	0	9	0	Suburbs	0	0	9	3	5.15	18.9	10.85	0.84	17	2	20568.81	NO	NO
1163682	68122	17.0823229	0.00001468	0.00017615	47	12	City	1	0.00001468	47	5	0.83	23.61	13.65	0.96	16	14	27986.82	NO	NO
1579939	90514	17.4551893	1.10E-05	6.63E-05	51	6	City	1	1.10E-05	38	5	0.17	25.5	14.26	0.84	18	4	20054.36	NO	NO
134261	7347	18.2742616	0.00013611	0.00054444	48	4	City	1	0.00013611	16	8	0.71	24.34	13.82	0.94	12	3	25534.52	NO	NO
531646	32238	16.4912836	0.00003102	0	47	0	City	1	0.00003102	31	3	0.4	27.74	14.81	0.88	19	3	6412.95	NO	YES
277070	16249	17.0515109	6.15E-05	0.00018463	15	3	City	1	6.15E-05	15	7	0.58	23.83	13.86	0.97	61	35	31833.33	NO	NO
65740	4098	16.0419717	0.00024402	0	22	0	Suburbs	0	0	22	8	1.77	29.04	15.37	0.86	15	6	46350.64	NO	NO
742419	39191	18.9436095	2.55E-05	0.00010206	48	4	City	1	2.55E-05	32	3	0.28	25	14.15	0.91	17	5	24165.24	NO	NO
175921	9210	19.1010858	0.00010858	0.00054289	30	5	City	1	0.00010858	3	4	1.48	20.21	13.02	0.88	42	28	17937.72	NO	NO
97702	5910	16.5316413	0.0001692	0	42	0	City	1	0.0001692	2	8	0.3	25.05	14.2	0.89	22	21	21910.08	YES	NO
53791	3795	14.1741765	0.0002635	0.0002635	16	1	Suburbs	0	0	0	7	3.26	37.92	17.56	0.76	9	1	36587.6	YES	NO
288171	17302	16.6553578	5.78E-05	0.00011559	28	2	Suburbs	0	0	6	5	3.71	37.81	17.56	0.84	3	1	15636.06	NO	NO
524666	27402	19.1469966	3.65E-05	0.00018247	41	5	City	1	3.65E-05	41	8	0.45	24.99	14.24	0.92	29	16	35809.74	NO	NO
1282164	79624	16.1027328	0.00001256	0	13	0	Suburbs	0	0	2	8	5.75	44.45	19.11	0.93	12	3	26195.21	NO	NO
328806	18741	17.5447415	5.34E-05	0	26	0	Suburbs	0	0	26	3	2.71	15.3	11.84	0.86	19	5	16861.23	NO	NO
123623	7210	17.1460472	0.0001387	0.0001387	21	1	Suburbs	0	0	21	7	3.94	17.76	11.86	0.88	22	1	58000.65	NO	NO
768670	45761	16.7974913	2.19E-05	0.00013112	40	6	City	1	2.19E-05	40	3	0.87	23.1	13.8	0.84	23	4	31122.84	NO	NO
58808	3328	17.6706731	0.00030048	0.00060096	28	2	Suburbs	0	0	12	5	2.8	15.67	11.63	0.87	19	12	45671.7	NO	NO
979391	66342	14.7627596	1.51E-05	0	26	0	Suburbs	0	0	26	7	5.3	26.37	13.06	0.83	20	8	43321	NO	NO
1217664	67664	17.9957437	1.48E-05	0.00014779	41	10	City	1	1.48E-05	41	6	1.13	22.37	13.66	0.84	21	12	36258.67	NO	NO
383177	21710	17.6497927	4.61E-05	0.00027637	43	6	City	1	4.61E-05	3	9	0.59	23.9	13.83	0.88	35	28	39577.29	YES	NO
860709	51737	16.6362371	1.93E-05	0.00023194	26	12	Suburbs	0	0	15	4	4.08	13.09	10.88	0.98	14	6	37183.87	NO	NO
931757	53523	17.4085346	1.87E-05	0.00013078	52	7	City	1	1.87E-05	52	3	0.94	22.54	13.48	0.76	24	22	27811.51	NO	YES
