Company Name	Total Revenue	Total Assets	Cost of Goods Sold	Net Income	Revenue/Employee	Expense: R&D	Expense: Admin, Selling	# Employees	Book Value per Share	NAICS
PRICELINE.COM INC	$3,084.91 	$2,905.95 	$1,171.23 	$527.54 	907325		$1,075.50 	3400	36.8977	519130
INFORMATICA CORP	$650.08 	$1,189.64 	$98.99 	$86.32 	305774.2239	$106.04 	$397.81 	2126	6.828	511210
RADIO ONE INC	$279.91 	$999.21 	$75.04 	($28.63)	223567.0927		$136.25 	1252	3.5731	515112
THESTREET INC	$57.19 	$129.54 	$25.56 	($5.33)	196515.4639		$33.89 	291	1.3576	519130
TW TELECOM INC	$1,273.17 	$2,669.16 	$528.97 	$271.43 	427956.6387		$308.47 	2975	6.5988	517110
BANKRATE INC	$220.60 	$1,123.82 	$85.33 	($21.53)	583592.5926	$8.72 	$64.00 	378	151.1492	511140
EDGAR ONLINE INC	$19.47 	$30.25 	$7.83 	($7.23)	136139.8601	$1.85 	$14.62 	143	-0.0538	517919
ONLINE RESOURCES CORP	$149.51 	$310.59 	$59.90 	$5.38 	247948.5904	$9.90 	$61.58 	603	4.4469	518210
OPENWAVE SYSTEMS INC	$183.30 	$188.61 	$65.19 	($5.86)	313876.7123	$41.05 	$113.25 	584	0.864	511210
SBA COMMUNICATIONS CORP	$626.62 	$3,400.18 	$199.44 	($194.67)	870304.1667		$58.21 	720	2.7615	517210
SALON MEDIA GROUP INC	$4.57 	$1.64 	$2.98 	($2.58)	111536.5854		$3.72 	41	-2.7496	519130
ARIBA INC	$361.15 	$721.71 	$125.77 	$16.39 	200191.796	$46.04 	$202.84 	1804	5.3153	511210
QUEPASA CORP	$6.05 	$16.45 	$11.79 	($6.65)	79657.89474	$4.78 		76	0.601	517919
SALEM COMMUNICATIONS CORP	$204.32 	$574.49 	$138.84 	$1.93 	139468.942		$16.61 	1465	8.1038	515112
TIBCO SOFTWARE INC	$754.01 	$1,205.00 	$168.30 	$78.09 	296853.1496	$124.65 	$414.27 	2540	4.9146	511210
NIC INC	$161.53 	$111.38 	$99.53 	$18.36 	271030.2013		$27.43 	596	0.8362	519130
J2 GLOBAL COMMUNICATIONS INC	$255.39 	$532.62 	$29.58 	$83.05 	425656.6667	$12.83 	$106.09 	600	9.5901	517210
VIRNETX HOLDING CORP	$0.07 	$81.69 	$0.00 	$41.42 	6181.818182	$2.41 	$36.12 	11	1.2049	511210
INSWEB CORP	$42.36 	$22.49 	$39.85 	$1.30 	492546.5116			86	2.3242	519
ICG GROUP INC	$115.71 	$280.99 	$68.48 	$46.59 	149689.5214	$10.64 	$52.85 	773	6.049	517919
MOVE INC	$197.50 	$239.02 	$33.04 	($15.47)	204454.4514	$34.32 	$150.71 	966	0.6267	519130
RED HAT INC	$909.28 	$2,199.32 	$102.29 	$107.28 	245750.5405	$171.25 	$613.31 	3700	6.6859	511210
MAJESCO ENTERTAINMENT CO	$75.65 	$30.03 	$57.26 	($0.97)	1065464.789	$3.35 	$19.91 	71	0.3053	511210
LOOKSMART LTD	$47.48 	$35.73 	$26.03 	$0.98 	913057.6923	$9.04 	$18.01 	52	1.6057	519130
QUEST SOFTWARE INC	$767.10 	$1,635.58 	$61.85 	$98.57 	221704.3353	$151.90 	$537.65 	3460	11.1124	511210
LIONBRIDGE TECHNOLOGIES INC	$405.24 	$156.98 	$275.47 	($1.29)	90052.88889	$3.88 	$109.19 	4500	0.7518	511210
LICT CORP	$92.10 	$205.14 	$38.78 	$10.90 	273293.7686		$18.13 	337	2691.75	517110
CSC HOLDINGS INC	$7,231.25 	$9,146.20 	$3,007.88 	$574.28 	379294.4663		$1,703.17 	19065	-287.5525	515210
SWK HOLDINGS CORP	$0.00 	$39.33 	$0.00 	($0.71)	0	$0.00 	$1.76 	3	0.9366	511210
EGAIN COMMUNICATIONS	$29.88 	$15.32 	$9.08 	($0.13)	109841.9118	$5.51 	$18.95 	272	-0.1881	511210
INTERACTIVE INTELLIGENCE GRP	$166.32 	$176.23 	$46.11 	$14.90 	195895.1708	$28.35 	$92.13 	849	5.4667	511210
KEYNOTE SYSTEMS INC	$79.85 	$186.52 	$36.50 	$1.69 	247216.7183	$11.98 	$37.48 	323	10.1294	519130
UNITED ONLINE INC	$920.55 	$992.16 	$403.12 	$53.69 	573196.1395	$55.38 	$339.93 	1606	5.2393	519130
INTERNAP NETWORK SVCS CORP	$244.16 	$293.14 	$147.28 	($3.62)	586932.6923	$1.90 	$62.28 	416	3.6259	519130
TIVO INC	$219.61 	$285.82 	$119.31 	($84.51)	359423.8953	$81.60 	$176.85 	611	1.4489	517110
MARTHA STEWART LIVING OMNIMD	$230.81 	$222.31 	$123.41 	($9.60)	375305.6911		$110.61 	615	2.5273	511120
WORLD WRESTLING ENTMT INC	$477.66 	$415.73 	$274.30 	$53.45 	816504.2735		$109.39 	585	4.2804	512110
BSQUARE CORP	$96.77 	$42.10 	$75.39 	$6.16 	450111.6279	$3.38 	$16.23 	215	2.408	511210
AKAMAI TECHNOLOGIES INC	$1,023.59 	$2,352.68 	$176.82 	$171.22 	465266.3636	$54.77 	$449.66 	2200	11.6697	519130
KRATOS DEFENSE & SECURITY	$408.50 	$536.10 	$305.60 	$14.50 	140862.069	$2.20 	$65.20 	2900	8.858	517210
CHARTER COMMUNICATIONS INC	$7,059.00 	$15,707.00 	$3,064.00 	($237.00)	425240.9639		$1,422.00 	16600	12.9016	515210
ALASKA COMMUNICATIONS SYS GP	$341.52 	$620.62 	$130.86 	($30.69)	399443.2749		$88.56 	855	-0.4583	517110
SCIQUEST INC	$42.48 	$76.69 	$8.81 	$1.74 	221234.375	$8.40 	$25.29 	192	1.6674	511210
DELTATHREE INC	$14.20 	$2.20 	$11.22 	($2.50)	295833.3333	$1.48 	$4.76 	48	-0.0493	517919
XO GROUP INC	$111.88 	$235.24 	$23.18 	$3.65 	184927.2727	$22.81 	$77.82 	605	6.1391	517110
WIZZARD SOFTWARE CORP	$5.54 	$21.36 	$3.25 	($4.11)	50363.63636	$0.32 	$4.82 	110	0.2749	511210
EON COMMUNICATIONS CORP	$17.09 	$15.61 	$10.68 	$0.47 	164365.3846	$0.50 	$5.29 	104	2.2822	517911
BEASLEY BROADCAST GROUP INC	$97.97 	$253.01 	$64.58 	$7.99 	153559.5611		$7.86 	638	2.7429	515112
SAVVIS INC	$932.98 	$1,183.65 	$500.75 	($53.96)	382370.4918		$221.74 	2440	3.2883	519130
ONVIA INC	$26.99 	$21.65 	$1.22 	($0.81)	194187.0504	$3.77 	$22.97 	139	1.026	519130
SELECTICA INC	$14.52 	$20.59 	$4.58 	($1.49)	284764.7059	$3.00 	$10.92 	51	3.7591	511210
WEBSENSE INC	$332.76 	$661.94 	$16.29 	$18.65 	230764.2164	$54.33 	$248.86 	1442	3.2112	511210
VALUECLICK INC	$430.80 	$613.57 	$110.18 	$90.51 	405647.8343	$35.05 	$200.76 	1062	5.8369	519130
HEALTHSTREAM INC	$65.75 	$82.01 	$26.39 	$4.15 	152208.3333	$6.99 	$29.62 	432	2.6044	519130
SUPPORT.COM INC	$44.18 	$93.74 	$27.69 	($18.07)	58051.24836	$5.21 	$34.27 	761	1.7876	511210
LIVEPERSON INC	$109.86 	$131.14 	$22.62 	$9.26 	228403.3264	$15.71 	$65.62 	481	2.0219	511210
CROWN MEDIA HOLDINGS INC	$287.27 	$678.53 	$136.33 	$24.08 	1689835.294		$60.48 	170	-0.381	515210
FRONTIER COMMUNICATIONS CORP	$3,797.68 	$17,890.23 	$1,984.45 	$152.67 	256634.3425			14798	5.2289	517110
ICO GLBAL COMM HLDGS LTD/DE	$0.00 	$45.58 	$0.00 	($2.68)	0	$0.00 	$16.08 	2	-0.0892	517410
ENTRAVISION COMMUNICATIONS	$200.48 	$490.81 	$84.80 	($18.09)	228853.8813		$56.46 	876	0.1225	515120
OPNET TECHNOLOGIES INC	$147.99 	$191.82 	$26.99 	$12.40 	256031.1419	$34.72 	$96.40 	578	5.6156	511210
EQUINIX INC	$1,220.33 	$4,448.01 	$414.49 	$36.88 	635259.7605		$331.89 	1921	40.7329	517110
NII HOLDINGS INC	$5,409.12 	$8,190.69 	$2,229.13 	$341.05 	400675.2593		$1,749.59 	13500	19.5659	517210
BANKS.COM INC	$9.55 	$13.12 	$4.32 	($0.94)	636600		$4.93 	15	0.4167	519130
MAGMA DESIGN AUTOMATION INC	$139.29 	$106.47 	$16.33 	($3.26)		$49.90 	$113.16 			511210
VISUALMED CLINICAL SOLUTIONS	$0.39 	$0.16 	$0.09 	($0.02)	129666.6667	$0.03 	$0.24 	3	-0.0364	511210
ECHOSTAR DBS CORP	$12,635.74 	$7,835.63 	$8,489.88 	$948.68 		$0.00 	$993.49 		-2942560	517410
VOIS INC	$0.00 	$0.07 	$16.07 	($16.11)	0			2	-0.0003	519130
COGENT COMMUNICATIONS GRP	$263.42 	$376.10 	$119.02 	$0.67 	463760.5634		$72.06 	568	3.3116	517110
GLOBALSCAPE INC	$18.57 	$20.55 	$0.60 	$0.88 	221011.9048	$3.02 	$15.83 	84	0.6776	511210
COM GUARD.COM INC	$0.05 	$0.10 	$0.80 	($1.25)					-0.0852	511210
REGAL ENTERTAINMENT GROUP	$2,807.90 	$2,492.60 	$2,294.10 	$77.60 	127278.9085		$66.70 	22061	-3.1775	512131
XFONE INC	$58.94 	$73.64 	$29.03 	($4.61)	200489.7959		$23.28 	294	1.0657	517110
FAIRPOINT COMMUNICATIONS INC	$1,082.69 	$2,973.79 	$525.73 	($281.58)	268523.3135		$365.37 	4032	-6.5677	517110
KNOLOGY INC	$459.55 	$787.68 	$148.11 	($0.28)	248941.4951		$158.77 	1846	-0.4268	517919
LIN TV CORP	$420.05 	$790.47 	$147.13 	$36.50 	230162.7397		$130.94 	1825	-2.3836	515120
NILE THERAPEUTICS INC	$0.00 	$3.67 	$6.17 	($6.03)	0	$4.08 		3	0.075	519130
QWEST CORP	$9,271.00 	$13,686.00 	$4,915.00 	$1,082.00 	355892.5144			26050		517110
CITADEL BROADCASTING CORP	$739.57 	$2,408.11 	$281.53 	$1,067.92 	180381.9512		$227.54 	4100	56.2241	515112
NEXSTAR BROADCASTING GROUP	$313.35 	$602.54 	$99.80 	($1.82)	148436.7598		$100.89 	2111	-6.1567	515120
SINGLE TOUCH SYSTEMS INC	$0.79 	$6.54 	$3.66 	($12.21)	61000	$0.08 	$1.01 	13	0.0443	511210
TRAVELZOO INC	$112.78 	$66.00 	$4.90 	$13.16 	442290.1961		$82.02 	255	2.7906	519130
CHINA DIGITAL ANIMATION DEV	$6.09 	$15.53 	$1.02 	$2.46 	23870.58824		$1.34 	255	0.7364	512110
LOCATEPLUS HOLDINGS CORP	$7.89 	$2.21 	$2.67 	($1.61)	232117.6471	$0.00 	$5.71 	34	-0.199	517919
VIRGIN MEDIA INC	$5,965.63 	$13,596.06 	$2,424.24 	($217.64)	481099.2742		$1,216.89 	12400	6.0449	515210
CALLIDUS SOFTWARE INC	$70.88 	$79.81 	$36.72 	($12.74)	272615.3846	$10.45 	$40.43 	260	0.8608	511210
MARCHEX INC	$97.57 	$159.69 	$52.96 	($3.04)	268038.4615	$16.80 	$47.84 	364	3.9355	519130
SALESFORCE.COM INC	$1,657.14 	$3,091.17 	$252.41 	$64.47 	312314.1726	$187.89 	$1,235.83 	5306	9.6034	511210
ATLANTIC BROADBAND FINANCE LLC	$316.98 	$783.50 	$141.29 	$46.26 	478818.7311		$42.69 	662		515210
METROPCS COMMUNICATIONS INC	$4,069.35 	$7,918.58 	$2,314.81 	$193.42 	1130375.833		$621.66 	3600	7.1577	517212
ACTIVE NETWORK INC	$279.60 	$390.55 	$97.24 	($27.27)	106069.8027	$61.11 	$162.62 	2636		511210
GOOGLE INC	$29,321.00 	$57,851.00 	$9,070.00 	$8,505.00 	1201680.328	$3,762.00 	$8,523.00 	24400	143.918	519130
MORNINGSTAR INC	$555.35 	$1,086.30 	$157.07 	$86.37 	172201.8605	$49.24 	$237.56 	3225	15.6457	519130
RIGHTNOW TECHNOLOGIES INC	$185.52 	$378.88 	$47.29 	$28.39 	201654.3478	$20.15 	$118.26 	920	2.4582	511210
LIBERTY GLOBAL INC	$9,016.90 	$33,328.80 	$3,347.00 	$388.20 	450845		$1,684.10 	20000	12.5494	515210
LOCAL.COM CORP	$84.14 	$60.94 	$45.10 	$4.22 	725318.9655	$5.13 	$28.17 	116	2.3754	519130
DREAMWORKS ANIMATION INC	$784.79 	$1,755.87 	$471.57 	$170.64 	373710	$3.18 	$111.53 	2100	14.9081	512110
ST BERNARD SOFTWARE INC	$18.07 	$17.66 	$4.37 	($3.57)	142291.3386	$4.33 	$16.49 	127	-0.7014	511210
MARKET LEADER INC	$24.43 	$53.73 	$35.19 	($14.28)	131344.086	$5.36 		186	1.8968	519130
CONSOLIDATED COMM HLDGS INC	$383.37 	$1,209.55 	$142.30 	$32.60 	386847.6287		$88.03 	991	2.2495	517110
FUSION TELECOMMUNICATIONS	$41.76 	$4.98 	$37.83 	($5.80)	745767.8571		$8.89 	56	-0.0655	517919
EXLSERVICE HOLDINGS INC	$252.75 	$305.68 	$151.29 	$26.59 	19901.81102		$59.11 	12700	8.4424	518210
OTELCO INC	$104.40 	$322.14 	$41.29 	$0.69 	331428.5714		$13.08 	315	-0.3966	517110
IHS INC	$1,075.46 	$2,155.70 	$462.66 	$141.32 	244422.7273	$0.60 	$358.01 	4400	18.305	519130
WARNER MUSIC GROUP CORP	$2,984.00 	$3,779.00 	$1,572.00 	($143.00)	806486.4865		$1,064.00 	3700	-1.7102	512220
NEUSTAR INC	$526.81 	$733.87 	$121.71 	$106.21 	515471.6243	$13.99 	$171.40 	1022	8.0957	517919
GLOBAL TELECOM & TECHNOLOGY	$81.08 	$53.96 	$57.02 	$1.37 	1000925.926	$0.00 	$18.02 	81	0.9554	517919
KENEXA CORP	$196.35 	$309.18 	$68.43 	($3.56)	100026.9995	$11.90 	$103.97 	1963	5.8021	511210
WEB.COM GROUP INC	$120.29 	$299.49 	$53.23 	($6.53)	104781.3589	$10.91 	$60.81 	1148	3.7896	519130
TRX INC	$56.73 	$18.81 	$34.13 	$2.48 	73964.79791	$3.65 	$15.43 	767	-0.0341	518210
CBEYOND INC	$451.97 	$257.97 	$146.51 	($1.65)	232492.284		$248.33 	1944	5.8532	517110
AMC ENTERTAINMENT INC	$2,422.97 	$3,740.25 	$2,160.60 	($122.85)	135361.3408		$77.22 	17900		512131
DISCOVERY COMMUNICATIONS INC	$3,773.00 	$11,019.00 	$359.00 	$653.00 	898333.3333		$1,185.00 	4200	15.1092	515210
VOCUS INC	$96.76 	$174.50 	$16.82 	($3.68)	140844.2504	$5.89 	$78.05 	687	5.8077	511210
DEALERTRACK HOLDINGS INC	$243.83 	$458.96 	$87.32 	($27.83)	203188.3333	$13.39 	$117.20 	1200	10.0538	511210
TALEO CORP	$237.28 	$523.84 	$49.72 	$0.42 	203844.5017	$46.23 	$158.16 	1164	9.0607	511210
DEBT RESOLVE INC	$0.13 	$0.19 	$4.52 	($0.56)	15875			8	-0.0396	519130
VIACOM INC	$9,337.00 	$22,096.00 	$4,883.00 	$854.00 	856605.5046		$2,025.00 	10900	15.2555	515210
NTELOS HOLDINGS CORP	$545.68 	$1,144.11 	$331.37 	$44.81 	341052.5			1600	4.2784	517210
FIDELITY NATIONAL INFO SVCS	$5,186.20 	$14,161.80 	$3,090.40 	$404.50 	157157.5758		$562.70 	33000	21.2097	518210
HUGHES COMMUNICATIONS INC	$1,043.33 	$1,363.18 	$606.13 	$22.79 	462877.9947	$20.28 	$224.89 	2254	15.0698	517910
GLOBAL TRAFFIC NETWORK INC	$93.34 	$65.09 	$63.27 	$0.63 	455292.6829		$21.04 	205	2.6163	519110
VONAGE HOLDINGS CORP	$887.29 	$260.39 	$299.76 	($83.67)	778326.3158		$434.66 	1140	-0.5851	517919
SYNCHRONOSS TECHNOLOGIES	$165.97 	$340.40 	$83.22 	$3.87 	218956.4644	$26.01 	$56.21 	758	7.8133	519130
COMMVAULT SYSTEMS INC	$314.78 	$342.50 	$40.88 	$21.00 	248246.0568	$36.95 	$234.22 	1268	4.2791	511210
WINDSTREAM CORP	$3,712.00 	$11,353.70 	$1,404.70 	$310.70 	368034.8999		$498.40 	10086	1.647	517110
ORBCOMM INC	$36.68 	$171.47 	$9.88 	($5.17)	370464.6465	$0.66 	$17.39 	99	3.7241	517410
FIBERTOWER CORP	$74.78 	$558.47 	$61.21 	($49.38)	467400		$22.20 	160	5.7486	517210
TOWERSTREAM CORP	$19.65 	$44.59 	$7.44 	($5.60)	149969.4657		$12.49 	131	0.9502	517110
GLOBALSTAR INC	$67.94 	$1,386.81 	$58.20 	($97.47)	210996.8944	$3.68 	$41.83 	322	1.7274	517410
SUPERMEDIA INC	$1,176.00 	$2,926.00 	$418.00 	($196.00)	267272.7273		$699.00 	4400	-1.9367	511140
GATEHOUSE MEDIA INC	$558.59 	$546.33 	$314.87 	($26.04)	106621.1109		$149.97 	5239	-13.62	511110
EMDEON INC	$1,002.15 	$2,488.56 	$612.59 	$19.55 	334050.6667	$35.52 	$146.13 	3000	6.838	518210
NEXTWAVE WIRELESS INC	$0.00 	$497.15 	$0.00 	($116.60)	0		$20.42 	11	-16.7797	511210
INFORMATION SERVICES GROUP	$132.01 	$184.56 	$71.53 	($53.17)	301399.5434		$49.89 	438	2.5096	518210
GUIDANCE SOFTWARE INC	$91.90 	$67.44 	$24.81 	($4.60)	247708.8949	$17.01 	$66.72 	371	0.9805	511210
TIME WARNER CABLE INC	$18,868.00 	$45,822.00 	$8,941.00 	$1,308.00 	397221.0526		$3,057.00 	47500	26.4427	515210
BRIDGELINE DIGITAL INC	$23.56 	$31.72 	$11.12 	($0.38)	141915.6627	$0.93 	$10.81 	166	1.8463	511210
GLU MOBILE INC	$64.35 	$44.82 	$15.33 	($13.42)	167565.1042	$25.18 	$50.43 	384	0.3114	511210
PAETEC HOLDING CORP	$1,623.82 	$2,007.94 	$809.24 	($57.74)	350035.7836		$559.67 	4639	0.9504	517110
CAMBIUM LEARNING GROUP INC	$181.26 	$383.06 	$60.43 	($15.95)	321382.9787	$10.56 	$79.06 	564	2.8269	511199
ZOO ENTERTAINMENT INC	$63.45 	$31.95 	$55.06 	($14.03)	1982687.5	$0.00 	$10.99 	32	1.5577	511210
MONOTYPE IMAGING HOLDINGS	$106.66 	$278.81 	$6.44 	$18.36 	424936.255	$15.40 	$57.61 	251	4.6612	511210
CINEMARK HOLDINGS INC	$2,141.14 	$3,421.48 	$1,567.21 	$146.12 	146653.6986		$125.19 	14600	8.9806	512131
TECHTARGET INC	$95.01 	$193.76 	$23.10 	($1.18)	164660.312	$8.10 	$62.00 	577	4.6933	517110
ADVANCED VOICE RECOGNITION	$0.00 	$0.33 	$0.00 	($1.91)	0	$0.00 	$0.82 	1	-0.0019	511210
LIMELIGHT NETWORKS INC	$183.33 	$298.64 	$80.35 	($20.35)	266076.9231	$15.76 	$96.74 	689	2.5593	517110
BROADVIEW NETWORKS HLDG INC	$407.70 	$294.83 	$193.91 	($18.75)	429162.1053	$1.33 	$145.25 	950	-10.1648	517919
SOLERA HOLDINGS INC	$631.35 	$1,356.65 	$198.78 	$84.43 	286715.713		$170.56 	2202	7.2413	511210
PROS HOLDINGS INC	$74.18 	$98.13 	$19.21 	($1.93)	209545.1977	$20.66 	$51.73 	354	2.2574	511210
SOUNDBITE COMMUNICATIONS INC	$39.49 	$45.98 	$14.06 	($3.29)	308546.875	$5.89 	$26.86 	128	2.5145	517919
ATHENAHEALTH INC	$245.54 	$261.17 	$94.74 	$12.70 	197695.6522	$18.45 	$112.14 	1242	4.9451	519130
CYBERDEFENDER CORP	$45.57 	$11.98 	$19.98 	($39.61)	120234.8285	$3.95 	$62.99 	379	-0.8631	511210
POINT.360	$39.74 	$31.14 	$24.86 	($6.96)	138449.4774	$1.12 	$15.98 	287	1.1253	512199
DEMANDTEC INC	$82.42 	$115.10 	$23.98 	($13.66)	242405.8824	$32.30 	$65.38 	340	1.8502	511210
CYTTA CORP	$0.00 	$0.07 	$0.00 	($0.26)		$0.00 	$0.26 	0	0	519130
TERADATA CORP	$1,936.00 	$1,883.00 	$786.00 	$301.00 	261621.6216	$147.00 	$673.00 	7400	7.0732	519130
HSW INTERNATIONAL INC	$6.66 	$9.89 	$5.41 	($5.91)	100833.3333		$4.98 	66	1.6327	519130
NEUTRAL TANDEM INC	$199.83 	$315.53 	$97.46 	$32.61 	868808.6957		$25.26 	230	8.1796	517919
SUCCESSFACTORS INC	$205.93 	$577.41 	$49.59 	($12.45)	196681.9484	$39.89 	$174.67 	1047	3.5175	511210
MEDASSETS INC	$404.74 	$1,845.35 	$97.20 	($32.12)	130560.3226	$20.01 	$191.13 	3100	7.4573	511210
A. H. BELO CORP	$487.31 	$420.05 	$449.38 	($124.24)	196495.1613			2480	9.3886	511110
ATRINSIC INC	$40.03 	$19.34 	$42.71 	($19.73)	976243.9024		$13.12 	41	1.3007	519130
MORRIS PUBLISHING GRP LLC	$243.19 	$131.07 	$121.40 	$204.98 	122145.1532		$96.45 	1991		511110
MEDIAMIND TECHNOLOGIES INC	$80.85 	$139.63 	$2.05 	$9.95 	213313.9842	$9.15 	$63.84 	379	6.8194	519130
LOGMEIN INC	$98.56 	$186.68 	$5.74 	$21.10 	237486.747	$15.21 	$73.40 	415	5.4645	511210
SOLARWINDS INC	$152.39 	$247.48 	$2.43 	$44.75 	332735.8079	$15.73 	$80.39 	458	2.4506	511210
RACKSPACE HOSTING INC	$780.56 	$761.58 	$249.84 	$46.36 	239287.2471	$18.80 	$295.22 	3262	3.457	518210
DIGITALGLOBE INC	$322.20 	$1,266.30 	$41.70 	$4.10 	512241.6534	$1.70 	$112.50 	629	10.869	517919
EPOCRATES INC	$103.99 	$127.22 	$27.33 	$3.80 	333294.8718	$19.72 	$65.87 	312	-3.9564	519130
SCRIPPS NETWORKS INTERACTIVE	$2,067.16 	$3,388.43 	$701.47 	$410.97 	1033581		$491.86 	2000	10.5947	515120
ACTIVISION BLIZZARD INC	$4,447.00 	$13,406.00 	$1,606.00 	$418.00 	585131.579	$642.00 	$1,523.00 	7600	8.6224	511210
ASCENT CAPITAL GROUP INC	$139.46 	$1,652.03 	$82.40 	($34.26)	97525.87413		$47.46 	1430	38.6347	512191
ROSETTA STONE INC	$258.87 	$276.47 	$32.44 	$13.28 	135532.9843	$23.44 	$202.51 	1910	8.5014	511210
CLEARWIRE CORP	$556.83 	$11,040.49 	$990.86 	($487.44)	154673.8889	$7.00 	$907.79 	3600	1.3406	517919
FRIENDFINDER NETWORKS INC	$346.00 	$532.82 	$110.49 	($43.15)	850115.4791	$12.83 	$129.95 	407	-21.0313	519130
ISSUER DIRECT CORP	$3.86 	$1.08 	$2.51 	$0.43 	175500		$1.08 	22	0.0513	518210
ANCESTRY.COM INC	$300.93 	$522.19 	$40.33 	$36.85 	378529.5598	$42.30 	$169.86 	795	8.0539	519130
IRIDIUM COMMUNICATIONS INC	$348.17 	$1,047.45 	$134.24 	$22.69 	2000994.253	$19.18 	$85.91 	174	9.3307	517410
LIBERTY MEDIA STARZ GROUP	$1,342.00 	$2,539.00 	$773.00 	$206.00 			$220.00 		43.1525	515210
AOL INC	$2,416.70 	$2,962.30 	$1,184.30 	($782.50)	412406.1433	$41.90 	$491.20 	5860	21.4242	519130
SPS COMMERCE INC	$44.60 	$57.88 	$11.09 	$2.88 	126337.1105	$4.35 	$28.94 	353	3.6716	511210
TELENAV INC	$171.16 	$173.72 	$25.38 	$41.41 		$41.56 	$73.27 		3.5367	517919
CONVIO INC	$69.74 	$80.41 	$23.18 	$3.46 	190038.1471	$10.55 	$39.47 	367	3.3165	511210
VRINGO INC	$0.21 	$5.89 	$0.09 	($9.94)	6593.75	$2.36 	$6.53 	32	-0.0442	511210
QUINSTREET INC	$334.84 	$434.63 	$223.21 	$20.58 	525643.6421	$21.00 	$54.57 	637	6.4349	519130
SPOT MOBILE INTL LTD	$16.08 	$2.32 	$16.02 	($3.56)			$1.76 		-0.1119	517110
BROADSOFT INC	$95.62 	$127.36 	$17.43 	$7.99 	257051.0753	$19.62 	$63.94 	372	2.0645	511210
SAJAN INC	$15.99 	$8.40 	$9.48 	($3.03)	142776.7857	$1.72 	$7.97 	112	0.1708	519130
QLIK TECHNOLOGIES INC	$226.52 	$265.06 	$22.01 	$13.52 	290411.5385	$13.54 	$174.48 	780	2.0214	511210
REALPAGE INC	$188.27 	$342.79 	$66.68 	$0.07 	107034.6788	$36.92 	$94.35 	1759	2.5198	511210
MOTRICITY INC	$133.38 	$231.81 	$47.79 	($7.02)	393448.3776	$8.67 	$80.76 	339	3.4701	517919
KEYW HOLDING CORP	$107.99 	$205.26 	$75.68 	$10.91 	149567.867	$0.99 	$27.26 	722	6.8526	518
CORNERSTONE ONDEMAND INC	$43.73 	$42.89 	$11.64 	($48.37)	133733.945	$5.60 	$42.29 	327	-8.5553	511210
DEMAND MEDIA INC	$252.94 	$488.47 	$116.55 	($5.33)	421560	$26.54 	$84.85 	600	-8.6511	519130
RIGNET INC	$92.92 	$129.79 	$42.48 	($15.59)	455495.098		$21.03 	204	4.5863	517919
HAWAIIAN TELCOM HOLDCO INC	$401.45 	$646.04 	$162.23 	$188.92 	280534.5912		$127.75 	1431	17.641	517110
MASERGY COMMUNCTNS INC -REDH	$97.54 	$68.47 	$51.39 	$22.30 	625243.5897		$31.47 	156		517919
BOINGO WIRELESS INC	$80.42 	$133.04 	$39.33 	$15.73 	595703.7037	$8.48 	$23.73 	135	-8.541	517919
LINKEDIN CORP	$243.10 	$238.19 	$44.83 	$15.39 	245554.5455	$65.10 	$159.15 	990	0.4677	519130
RESPONSYS INC	$94.07 	$71.90 	$35.14 	$8.60 	192768.4426	$10.60 	$39.67 	488	3.2788	511210
PANDORA MEDIA INC	$137.76 	$99.21 	$79.34 	($1.76)		$6.74 	$57.17 		-5.2983	519130
HOMEAWAY INC	$167.88 	$489.74 	$23.57 	$16.93 	199387.1734	$18.70 	$114.17 	842		519130
APACHE DESIGN SOLUTIONS-REDH	$44.05 	$52.71 	$6.21 	$3.30 	171389.1051	$11.52 	$29.37 	257		511210
ZILLOW INC  -REDH	$30.47 	$24.01 	$3.27 	($6.77)	120900.7937	$7.80 	$32.33 	252		519130
INTELEPEER INC  -REDH	$111.55 	$47.19 	$91.03 	($11.62)	969991.3044	$4.07 	$17.31 	115		519130
GROUPON INC -REDH	$713.37 	$381.57 	$422.36 	($389.64)	100374.9824		$495.22 	7107		519130
AMC NETWORKS INC	$1,078.30 	$1,853.90 	$364.97 	$80.10 			$328.13 			515120
IMPERVA INC  -REDH	$55.38 	$40.98 	$11.16 	($12.01)		$13.21 	$55.36 			511210
ZYNGA INC -REDH	$597.46 	$1,112.57 	$136.57 	$90.60 	402871.8813	$149.52 	$335.28 	1483		511210
SPARK NETWORKS INC	$40.85 	$36.57 	$13.75 	$3.70 	283687.5	$3.09 	$19.20 	144	1.2323	519130
MEDIACOM LLC	$651.33 	$1,584.11 	$291.95 	$33.15 	356305.2516		$121.88 	1828		515210
BLACKBAUD INC	$327.09 	$328.09 	$116.55 	$29.81 	158399.0315	$45.53 	$147.18 	2065	2.767	511210
BLACKBOARD INC	$447.32 	$847.15 	$112.77 	$16.64 	251302.2472	$55.01 	$237.16 	1780	11.7719	511210
MMRGLOBAL INC	$0.97 	$2.23 	$0.55 	($17.90)	121500	$0.32 	$7.29 	8	-0.0185	519130
