datadate	Fiscal Year	tic	Company Name	Nation	Total Assets	Return on Assets	Net Income	Cost of Goods Sold	Total Revenue	Expense: R&D	Expense: Admin, Selling	# Employees	Book Value per Share	Description	NAICS	cusip
20101231	2010	TISA	TOP IMAGE SYSTEMS LTD	ISR	$15.02 	-0.030617678	($0.46)	$8.09 	$21.76 	$1.65 	$11.65 	127	0.4565	Top Image Systems Ltd. provides enterprise solutions for managing and validating content entering organizations from various sources. The company develops and markets automated data capture solutions for managing and validating content gathered from customers, trading partners, and employees.	511210	M87896102
20101231	2010	BPHX	BLUEPHOENIX SOLUTIONS LTD	ISR	$79.00 	-0.483601058	($38.20)	$26.77 	$57.12 	$6.69 	$28.59 	549	1.8965	BluePhoenix Solutions Ltd., through its subsidiaries, develops and markets enterprise information technology (IT) modernization solutions worldwide. The company's IT modernization solutions enable to automate the process of modernizing and upgrading mainframe and distributed IT infrastructure.	511210	M20157109
20101231	2010	ERT	ERESEARCHTECHNOLOGY INC	USA	$214.84 	0.04594689	$9.87 	$55.92 	$140.99 	$5.09 	$45.82 	647	3.0827	eResearchTechnology, Inc., together with its subsidiaries, provides technological services and medical devices in North America and the United Kingdom.	511210	29481V108
20101231	2010	PROJ	DELTEK INC	USA	$392.12 	-0.01255244	($4.92)	$96.74 	$279.65 	$52.59 	$146.60 	1640	0.7469	Deltek, Inc. provides enterprise applications software and related services for the project-focused organizations primarily in the United States.	511210	24784L105
20110331	2010	TTWO	TAKE-TWO INTERACTIVE SFTWR	USA	$971.66 	0.049871406	$48.46 	$685.45 	$1,136.88 	$69.58 	$356.14 	2118	7.1445	Take-Two Interactive Software, Inc. publishes, develops, and distributes interactive entertainment software, hardware, and accessories worldwide.	511210	874054109
20100831	2010	SLP	SIMULATIONS PLUS INC	USA	$14.66 	0.147066849	$2.16 	$1.86 	$10.71 	$0.97 	$5.30 	40	0.824	Simulations Plus, Inc. develops and produces software for use in pharmaceutical research and education, as well as provides contract research services to the pharmaceutical industry.	511210	829214105
20110331	2010	EGHT	8X8 INC	USA	$26.58 	0.244282275	$6.49 	$21.29 	$70.16 	$4.82 	$40.67 	254	0.2543	8x8, Inc. develops and markets telecommunications services for Internet protocol (IP), telephony, and video applications, as well as provides Web-based conferencing and unified communications services.	517110	282914100
20110131	2010	QADB	QAD INC	USA	$213.09 	0.012722085	$2.71 	$87.04 	$220.01 	$34.58 	$119.42 	1350	3.5143	QAD Inc. provides enterprise software applications, and related services and support for manufacturing companies. The company offers QAD Enterprise Applications, an integrated suite of software applications, which support the business processes.	511210	74727D207
20100630	2010	GCOM	GLOBECOMM SYSTEMS INC	USA	$240.71 	0.032827884	$7.90 	$169.40 	$227.82 	$3.34 	$41.34 	416	7.7416	Globecomm Systems Inc., together with its subsidiaries, provides satellite-based communications infrastructure solutions and services. The company provides pre-engineered systems; systems design and integration services; and access, hosted, and lifecycle support services.	517919	37956X103
20101231	2010	RLRN	RENAISSANCE LEARNING INC	USA	$53.79 	0.444105672	$23.89 	$24.92 	$130.09 	$16.37 	$68.51 	893	-1.197	Renaissance Learning, Inc. provides computer-based assessment and periodic progress monitoring technology for pre-kindergarten through senior high schools and districts in the United States and internationally.	511210	75968L105
20100630	2010	PVSW	PERVASIVE SOFTWARE INC	USA	$94.57 	0.043060329	$4.07 	$4.67 	$47.21 	$11.78 	$35.61 	229	4.8363	Pervasive Software, Inc. provides embeddable software and SaaS services for data management, data integration, B2B exchange, and analytics.	511210	715710109
20101231	2010	RNWK	REALNETWORKS INC	USA	$565.44 	0.008909844	$5.04 	$121.32 	$401.73 	$100.96 	$271.78 	1528	3.033	RealNetworks, Inc. provides network-delivered digital media products and services worldwide. It develops and markets software products and services that enable the creation, distribution, and consumption of digital media, including audio and video.	511210	75605L104
20101231	2010	SAAS	INCONTACT INC	USA	$40.59 	-0.026019465	($1.06)	$41.15 	$82.16 	$5.27 	$36.51 	330	0.5237	inContact, Inc. provides cloud computing contact center services and network connectivity in the United States.	517919	4.53E+113
20110131	2010	DSGX	DESCARTES SYSTEMS GROUP INC	CAN	$241.27 	0.047826285	$11.54 	$31.46 	$99.18 	$16.97 	$42.10 		3.3286	The Descartes Systems Group Inc. provides federated network and logistics technology solutions.	511210	249906108
20101231	2010	VRSN	VERISIGN INC	USA	$2,444.01 	0.34000203	$830.97 	$89.02 	$680.58 	$53.66 	$274.76 	1048	3.916	VeriSign, Inc. provides Internet infrastructure services to various networks worldwide. The company provides domain name registry services and network intelligence and availability (NIA) services.	519130	9.23E+106
20101231	2010	SAP	SAP AG	DEU	$27,653.92 	0.086896026	$2,403.02 	$4,463.69 	$16,546.44 	$2,294.21 	$6,651.75 	53513	10.9568	SAP AG provides business software primarily in Europe, the Middle East, Africa, the Americas, and the Asia Pacific Japan region.	511210	803054204
20100630	2010	NZT	TELECOM CORP OF NEW ZEALAND	NZL	$4,737.54 	0.055353235	$262.24 	$2,420.18 	$3,618.88 	$5.52 		8629	4.5613	Telecom Corporation of New Zealand Limited, together with its subsidiaries, provides telecommunications services, as well as information, communication, and technology services in New Zealand and Australia.	517110	879278208
20101231	2010	3ABTG	AMBIENT CORP	USA	$10.57 	-0.301333586	($3.19)	$11.64 	$20.36 	$6.07 	$11.55 	59	0.0037	Ambient Corporation, a smart grid communications platforms integrator, develops high-speed Internet protocols-based data communications networks for the medium and low-voltage distribution grids in North America.	517919	02318N102
20100930	2010	SOFO	SONIC FOUNDRY INC	USA	$18.27 	-0.00667871	($0.12)	$4.52 	$20.48 	$3.09 	$15.14 	90	1.9618	Sonic Foundry, Inc. provides enterprise solutions and services for the Web communications market worldwide. It offers Web casting, lecture capture, and knowledge management solutions for higher education institutions, businesses, and government agencies.	511210	83545R207
20101231	2010	ULTI	ULTIMATE SOFTWARE GROUP INC	USA	$249.56 	0.008643316	$2.16 	$87.36 	$227.81 	$42.22 	$120.32 	1134	2.8698	The Ultimate Software Group, Inc. designs, markets, implements, and supports unified human capital management (HCM) software-as-service (SaaS) solutions to businesses, providing a single source for comprehensive human resources, payroll, and talent management technology.	511210	90385D107
20101231	2010	IPLY	INTERPLAY ENTERTAINMENT CORP	USA	$0.29 	-3.553264605	($1.03)	$0.18 	$1.38 	$0.51 	$2.13 	11	-0.0232	Interplay Entertainment Corp. and its subsidiaries engage in developing, publishing, licensing, and distributing interactive entertainment software for use in various platforms, including personal computers, video game consoles, and mobile platforms.	511210	460615107
20101231	2010	MSTR	MICROSTRATEGY INC	USA	$381.57 	0.114769136	$43.79 	$93.29 	$454.58 	$50.57 	$297.90 	2597	14.0186	MicroStrategy Incorporated provides business intelligence (BI) software worldwide. It offers MicroStrategy 9, an integrated BI platform that enables businesses to make business decisions.	511210	594972408
20100930	2010	DOX	AMDOCS LTD	GBR	$4,820.60 	0.071340853	$343.91 	$1,796.43 	$2,984.22 	$207.84 	$581.42 	19455	16.7283	Amdocs Limited, through its subsidiaries, provides software and services to the communications, media, and entertainment industry service providers worldwide. The company's software systems support revenue management, customer management, service and resource management, and service delivery.	511210	G02602103
20101231	2010	CSGP	COSTAR GROUP INC	USA	$439.65 	0.030226454	$13.29 	$72.26 	$226.26 	$17.35 	$113.37 	1389	18.3653	CoStar Group, Inc. provides information/marketing services to the commercial real estate industry in the United States, the United Kingdom, and France.	517110	22160N109
20101231	2010	RTLX	RETALIX LTD	ISR	$304.69 	0.035402964	$10.79 	$117.51 	$207.37 	$29.66 	$71.63 	1329	9.5644	Retalix Ltd. provides integrated software solutions to food and fuel retailers, grocery, convenience stores, and foodservice distributors primarily in Israel, the United States, and Europe.	511210	M8215W109
20101231	2010	BIRT	ACTUATE CORP	USA	$195.63 	0.05442389	$10.65 	$18.77 	$123.67 	$24.85 	$88.00 	569	2.0154	Actuate Corporation provides software and services for business intelligence and reporting, and performance management applications primarily in North America, Europe, the Middle East, and the Asia/Pacific region.	511210	00508B102
20101231	2010	SCIL	SCIENTIFIC LEARNING CORP	USA	$31.80 	-0.304688237	($9.69)	$10.24 	$43.38 	$7.93 	$37.56 	212	0.2317	Scientific Learning Corporation develops and sells educational software that accelerates learning by improving the processing efficiency of the brain.	511210	808760102
20101231	2010	EBAY	EBAY INC	USA	$22,003.76 	0.081847868	$1,800.96 	$1,991.93 	$9,156.27 	$908.43 	$4,326.87 	17700	11.7917	eBay Inc. provides online marketplaces for the sale of goods and services, as well as other online commerce, platforms, and online payment solutions to individuals and businesses in the United States and internationally.	517919	278642103
20101231	2010	GEOY	GEOEYE INC	USA	$1,269.09 	0.019413199	$24.64 	$104.01 	$330.35 	$1.65 	$56.28 	723	20.0881	GeoEye, Inc., together with its subsidiaries, provides earth imagery and imagery information products, as well as image processing services to the United States and foreign government defense and intelligence organizations, domestic federal and foreign civil agencies, and commercial customers.	517410	37250W108
20101231	2010	SCMWY	SWISSCOM AG	CHE	$22,485.86 	0.085963809	$1,932.97 	$8,096.92 	$12,806.06 	$29.89 		19547	12.8911	Swisscom Ltd provides telecommunication services in Switzerland. Its Residential Customers segment offers broadband, fixed-network, and mobile phone services, as well as national and international telephone and data traffic.	517110	871013108
20101231	2010	INSP	INFOSPACE INC	USA	$361.74 	0.037880484	$13.70 	$154.92 	$246.84 	$6.80 	$78.69 	174	8.6119	InfoSpace, Inc. develops search tools and technologies that assist consumers with finding content and information on the Internet. It offers search services that enable Internet users to locate and view content, information, merchants, individuals, and products online.	519130	45678T300
20100930	2010	CNQR	CONCUR TECHNOLOGIES INC	USA	$1,043.75 	0.019718248	$20.58 	$65.12 	$292.94 	$28.00 	$162.80 	1200	12.1954	Concur Technologies, Inc. provides on-demand employee spend management solutions worldwide.	511210	206708109
20101231	2010	VMII	VOICE MOBILITY INTL INC	CAN	$0.03 	-28.76470588	($0.98)	$0.86 	$0.10 	$0.01 		0	-0.1362	Voice Mobility International, Inc. engages in the development, marketing, and sale of messaging software systems.	511210	928622109
20110331	2010	3UDWK	US DATAWORKS INC	USA	$5.78 	-0.105135743	($0.61)	$2.50 	$7.28 	$0.97 	$4.74 	34	0.0002	US Dataworks, Inc. engages in the development, marketing, and support of payment processing software for the financial services industry in the United States.	511210	91729G301
20100630	2010	EPAY	BOTTOMLINE TECHNOLOGIES INC	USA	$269.38 	0.014678041	$3.95 	$64.32 	$157.99 	$18.86 	$68.76 	747	6.9379	Bottomline Technologies (de), Inc. markets and provides electronic payment, invoice, and document automation solutions to corporations, financial institutions, and banks worldwide.	511210	101388106
20101231	2010	INFA	INFORMATICA CORP	USA	$1,189.64 	0.072563067	$86.32 	$98.99 	$650.08 	$106.04 	$397.81 	2126	6.828	Informatica Corporation provides enterprise data integration and data quality software and services worldwide. Its software solutions include a set of technologies that enable various enterprise-wide data integration initiatives.	511210	45666Q102
20101231	2010	RATE	BANKRATE INC	USA	$1,123.82 	-0.01915522	($21.53)	$85.33 	$220.60 	$8.72 	$64.00 	378	151.1492	Bankrate, Inc. offers online financial data feed management services. The company's suite provides information on financial products, including mortgages, credit cards, new and used auto loans, money market accounts and CDs, checking and ATM fees, home equity loans, and online banking fees.	511140	06647F102
20101231	2010	EDGR	EDGAR ONLINE INC	USA	$30.25 	-0.238983107	($7.23)	$7.83 	$19.47 	$1.85 	$14.62 	143	-0.0538	EDGAR Online, Inc. creates and distributes financial data and public filings for equities, mutual funds, and other publicly traded assets primarily in the United States.	517919	279765101
20101231	2010	ORCC	ONLINE RESOURCES CORP	USA	$310.59 	0.017309271	$5.38 	$59.90 	$149.51 	$9.90 	$61.58 	603	4.4469	Online Resources Corporation provides outsource and Web-and phone-based financial technology services to financial institution, biller, card issuer, and creditor clients in the United States.	518210	68273G101
20100630	2010	OPWV	OPENWAVE SYSTEMS INC	USA	$188.61 	-0.031053661	($5.86)	$65.19 	$183.30 	$41.05 	$113.25 	584	0.864	Openwave Systems Inc. provides software solutions for the communications and media industries in North America, Latin America, Europe, Africa, the Middle East, and the Asia-Pacific.	511210	683718308
20100930	2010	ARBA	ARIBA INC	USA	$721.71 	0.022704442	$16.39 	$125.77 	$361.15 	$46.04 	$202.84 	1804	5.3153	Ariba, Inc., together with its subsidiaries, provides collaborative business commerce solutions for buying and selling goods and services.	511210	04033V203
20101231	2010	QPSA	QUEPASA CORP	USA	$16.45 	-0.404242387	($6.65)	$11.79 	$6.05 	$4.78 		76	0.601	Quepasa Corp., through its Web site, Quepasa.com, operates as an online social community for young Hispanics.	517919	74833W206
20101231	2010	CTCH	COMMTOUCH SOFTWARE LTD	ISR	$31.98 	0.13767119	$4.40 	$2.21 	$18.16 	$3.40 	$11.61 	93	0.9254	Commtouch Software Ltd., together with its subsidiaries, develops and provides messaging, antivirus, and Web security solutions primarily to original equipment manufacturer partners and enterprises.	511210	M25596202
20101130	2010	TIBX	TIBCO SOFTWARE INC	USA	$1,205.00 	0.064803373	$78.09 	$168.30 	$754.01 	$124.65 	$414.27 	2540	4.9146	TIBCO Software Inc. provides middleware and infrastructure software worldwide. It offers its products in the areas of service-oriented architecture (SOA), business optimization, and business process management (BPM).	511210	88632Q103
20101231	2010	CHINA	CDC CORP	HKG	$514.46 	-0.07891816	($40.60)	$150.27 	$317.84 	$27.88 	$146.58 			CDC Corporation operates as an enterprise software and media company. Its Software segment offers enterprise software applications and related services.	511210	G2022L114
20101231	2010	JCOM	J2 GLOBAL COMMUNICATIONS INC	USA	$532.62 	0.155920792	$83.05 	$29.58 	$255.39 	$12.83 	$106.09 	600	9.5901	j2 Global Communications, Inc. provides outsourced, value-added communication, messaging, and data backup services to businesses of all sizes, from individuals to enterprises worldwide.	517210	4.66E+209
20101231	2010	VHC	VIRNETX HOLDING CORP	USA	$81.69 	0.506977257	$41.42 	$0.00 	$0.07 	$2.41 	$36.12 	11	1.2049	VirnetX Holding Corporation engages in developing and commercializing software and technology solutions for securing real-time communications over the Internet.	511210	92823T108
20100831	2010	3DSNY	DESTINY MEDIA TECHNOLOGIES	CAN	$2.58 	0.65374176	$1.69 	$3.03 	$3.77 	$1.19 		23	0.0403	Destiny Media Technologies Inc., through its subsidiaries, engages in the development and marketing of digital media software and solutions principally in the United States, Europe, and Australia.	511210	25063G204
20101231	2010	ICGE	ICG GROUP INC	USA	$280.99 	0.165803644	$46.59 	$68.48 	$115.71 	$10.64 	$52.85 	773	6.049	Internet Capital Group Inc. is a private equity and venture capital firm specializing in patient capital, growth capital, acquisitions, and mid and late venture investments in public and private companies.	517919	44928D108
20110331	2010	IIJI	INTERNET INITIATIVE JAPAN INC	JPN	$863.62 	0.044819585	$38.71 	$722.08 	$995.87 	$4.27 	$150.42 			Internet Initiative Japan Inc. together with its subsidiaries, provides Internet connectivity, outsourcing, and systems integration services to customers primarily in Japan.	517110	46059T109
20101231	2010	MOVE	MOVE INC	USA	$239.02 	-0.064731526	($15.47)	$33.04 	$197.50 	$34.32 	$150.71 	966	0.6267	Move, Inc., together with its subsidiaries, operates an online network of Web sites for real estate search, finance, and moving and home enthusiasts in North America.	519130	62458M108
20110228	2010	RHT	RED HAT INC	USA	$2,199.32 	0.04877776	$107.28 	$102.29 	$909.28 	$171.25 	$613.31 	3700	6.6859	Red Hat, Inc. provides open source software solutions to enterprises worldwide. It also offers enterprise-ready open source operating system platforms.	511210	756577102
20101031	2010	COOL	MAJESCO ENTERTAINMENT CO	USA	$30.03 	-0.03236871	($0.97)	$57.26 	$75.65 	$3.35 	$19.91 	71	0.3053	Majesco Entertainment Company provides interactive entertainment products primarily in the United States and Europe. It offers video game software and other digital entertainment products.	511210	560690208
20101231	2010	LOOK	LOOKSMART LTD	USA	$35.73 	0.027291813	$0.98 	$26.03 	$47.48 	$9.04 	$18.01 	52	1.6057	LookSmart, Ltd. operates as an online search advertising network solutions company that provides solutions for search advertisers and publishers.	519130	543442503
20101231	2010	QSFT	QUEST SOFTWARE INC	USA	$1,635.58 	0.060264101	$98.57 	$61.85 	$767.10 	$151.90 	$537.65 	3460	11.1124	Quest Software, Inc. designs, develops, markets, distributes, and supports enterprise systems management software products worldwide. Its products are designed to support or to interact, or interoperate with other vendors' software or hardware platforms.	511210	74834T103
20101231	2010	LIOX	LIONBRIDGE TECHNOLOGIES INC	USA	$156.98 	-0.008217817	($1.29)	$275.47 	$405.24 	$3.88 	$109.19 	4500	0.7518	Lionbridge Technologies, Inc. provides language, development, and testing services.	511210	536252109
20100630	2010	3EGAN	EGAIN COMMUNICATIONS	USA	$15.32 	-0.008291982	($0.13)	$9.08 	$29.88 	$5.51 	$18.95 	272	-0.1881	eGain Communications Corporation provides customer service and contact center software that enables companies to build customer interaction hubs worldwide.	511210	28225C806
20101231	2010	ININ	INTERACTIVE INTELLIGENCE GRP	USA	$176.23 	0.084553316	$14.90 	$46.11 	$166.32 	$28.35 	$92.13 	849	5.4667	Interactive Intelligence, Inc. provides software application suites for voice over Internet protocol (VoIP) business communications to enterprises in the United States and internationally.	511210	45841V109
20100930	2010	KEYN	KEYNOTE SYSTEMS INC	USA	$186.52 	0.009039148	$1.69 	$36.50 	$79.85 	$11.98 	$37.48 	323	10.1294	Keynote Systems, Inc. provides Internet and mobile cloud monitoring solutions worldwide.	519130	493308100
20101231	2010	UNTD	UNITED ONLINE INC	USA	$992.16 	0.054111341	$53.69 	$403.12 	$920.55 	$55.38 	$339.93 	1606	5.2393	United Online, Inc. provides consumer products and services over the Internet, primarily in the United States and internationally. The company operates in three segments: FTD, Classmates Media, and Communications.	519130	911268100
20101231	2010	INAP	INTERNAP NETWORK SVCS CORP	USA	$293.14 	-0.012355787	($3.62)	$147.28 	$244.16 	$1.90 	$62.28 	416	3.6259	Internap Network Services Corporation provides information technology (IT) infrastructure services. The company operates through two segments, Data Center Services and IP Services.	519130	45885A300
20110131	2010	TIVO	TIVO INC	USA	$285.82 	-0.295684666	($84.51)	$119.31 	$219.61 	$81.60 	$176.85 	611	1.4489	TiVo Inc., together with its subsidiaries, provides television technology and services that include digital video recorders (DVRs) in the United States and internationally.	517110	888706108
20101231	2010	JCDA	JACADA LTD	ISR	$24.69 	-0.429705537	($10.61)	$10.75 	$17.16 	$3.48 	$13.26 	96	4.8471	Jacada Ltd., together with its subsidiaries, develops, markets, and supports unified service desktop and process solutions that automate customer service processes worldwide.	511210	M6184R119
20101231	2010	BSQR	BSQUARE CORP	USA	$42.10 	0.146403459	$6.16 	$75.39 	$96.77 	$3.38 	$16.23 	215	2.408	Bsquare Corporation provides software and engineering services to the smart device marketplace primarily in North America and Taiwan.	511210	11776U300
20101231	2010	AKAM	AKAMAI TECHNOLOGIES INC	USA	$2,352.68 	0.072776702	$171.22 	$176.82 	$1,023.59 	$54.77 	$449.66 	2200	11.6697	Akamai Technologies, Inc. provides services for accelerating and improving the delivery of content and applications over the Internet in the United States and internationally.	519130	00971T101
20101231	2010	KTOS	KRATOS DEFENSE & SECURITY	USA	$536.10 	0.027047193	$14.50 	$305.60 	$408.50 	$2.20 	$65.20 	2900	8.858	Kratos Defense & Security Solutions, Inc. provides engineering, war fighter, security, and information technology services, solutions, and products in the United States.	517210	50077B207
20101231	2010	SQI	SCIQUEST INC	USA	$76.69 	0.022728755	$1.74 	$8.81 	$42.48 	$8.40 	$25.29 	192	1.6674	SciQuest, Inc. provides an on-demand strategic procurement and supplier enablement solution worldwide. The company's solution integrates its customers with their suppliers for automating the source-to-settle process.	511210	80908T101
20101231	2010	DDDC	DELTATHREE INC	USA	$2.20 	-1.136156648	($2.50)	$11.22 	$14.20 	$1.48 	$4.76 	48	-0.0493	deltathree, Inc., together with its subsidiaries, provides integrated voice over Internet protocol (VoIP), telephony services, products, hosted solutions, and infrastructure worldwide.	517919	24783N102
20101231	2010	XOXO	XO GROUP INC	USA	$235.24 	0.015533139	$3.65 	$23.18 	$111.88 	$22.81 	$77.82 	605	6.1391	XO Group Inc. provides multiplatform media services to the wedding, newlywed, and pregnancy markets in the United States.	517110	983772104
20101231	2010	WZE	WIZZARD SOFTWARE CORP	USA	$21.36 	-0.192460782	($4.11)	$3.25 	$5.54 	$0.32 	$4.82 	110	0.2749	Wizzard Software Corporation provides software products and services for the speech recognition and text-to-speech technology. It operates in three segments Software, Healthcare, and Media Services.	511210	97750V109
20100731	2010	EONC	EON COMMUNICATIONS CORP	USA	$15.61 	0.029926306	$0.47 	$10.68 	$17.09 	$0.50 	$5.29 	104	2.2822	eOn Communications Corporation, together with its subsidiaries, provides communications solutions in the United States and internationally.	517911	268763208
20101231	2010	GIGM	GIGAMEDIA LTD	TWN	$267.59 	0.009903247	$2.65 	$16.32 	$64.68 	$7.30 	$62.31 	489	3.8661	Gigamedia Limited, through its subsidiaries, primarily engages in the operation of online games for online game players in Asia.	519130	Y2711Y104
20101231	2010	ONVI	ONVIA INC	USA	$21.65 	-0.03722176	($0.81)	$1.22 	$26.99 	$3.77 	$22.97 	139	1.026	Onvia, Inc. provides information products and research tools that help companies plan, market, and sell to targeted markets in the United States.	519130	68338T403
20101231	2010	ASIA	ASIAINFO-LINKAGE INC	CHN	$1,253.21 	0.044853759	$56.21 	$148.68 	$343.38 	$36.17 	$105.32 	8221	12.5161	AsiaInfo-Linkage, Inc. provides telecommunications software solutions and information technology (IT) products and services to telecommunications carriers and other enterprises in the People's Republic of China.	511210	04518A104
20110331	2010	SLTC	SELECTICA INC	USA	$20.59 	-0.072174462	($1.49)	$4.58 	$14.52 	$3.00 	$10.92 	51	3.7591	Selectica, Inc. provides contract management and sales configuration software solutions that allow enterprises to manage sell-side business processes.	511210	816288203
20101231	2010	RVSN	RADVISION LTD	ISR	$165.61 	-0.020674955	($3.42)	$21.53 	$95.24 	$30.94 	$68.73 	429	6.805	RADVISION Ltd. engages in the design, development, and supply of products and technology that enable real-time voice, video and data communications over packet and mobile third generation (3G) networks, including the Internet and other networks based on the Internet Protocol (IP).	511210	M81869105
20101231	2010	KT	KT CORP	KOR	$24,512.17 	0.04214576	$1,033.08 	$8,963.43 	$18,867.25 	$237.75 	$5,082.24 	31155	20.063	KT Corporation provides integrated telecommunications services in Korea. It offers personal communications services, mobile telecommunications services, and third-generation HSDPA-based IMT-2000 wireless Internet and video multimedia communications services.	517110	48268K101
20101231	2010	WBSN	WEBSENSE INC	USA	$661.94 	0.028177653	$18.65 	$16.29 	$332.76 	$54.33 	$248.86 	1442	3.2112	Websense, Inc. provides unified Web, data, and email content security solutions to protect data and users from cyber-threats, information leaks, legal liability, and productivity loss.	511210	947684106
20101231	2010	VCLK	VALUECLICK INC	USA	$613.57 	0.147514452	$90.51 	$110.18 	$430.80 	$35.05 	$200.76 	1062	5.8369	ValueClick, Inc. provides performance-based online advertising campaigns and programs primarily in the United States and the United Kingdom. It operates in four segments: Affiliate Marketing, Media, Owned & Operated Websites, and Technology.	519130	92046N102
20101231	2010	HSTM	HEALTHSTREAM INC	USA	$82.01 	0.050651742	$4.15 	$26.39 	$65.75 	$6.99 	$29.62 	432	2.6044	HealthStream, Inc. provides Internet-based learning and research solutions for the training, information, and education needs of the healthcare industry in the United States. The company operates in two segments, HealthStream Learning and HealthStream Research.	519130	42222N103
20101231	2010	SPRT	SUPPORT.COM INC	USA	$93.74 	-0.192737281	($18.07)	$27.69 	$44.18 	$5.21 	$34.27 	761	1.7876	Support.com, Inc. provides Instant Technology Relief to consumers and small businesses via channel partners and its support.com site. It operates as a pure-play technology enabled services firm that addresses technology issues.	511210	86858W101
20101231	2010	LPSN	LIVEPERSON INC	USA	$131.14 	0.07060232	$9.26 	$22.62 	$109.86 	$15.71 	$65.62 	481	2.0219	LivePerson, Inc. provides online engagement solutions that facilitate real-time assistance and advice. It connects businesses and independent service providers with consumers seeking help on its hosted software platform.	511210	538146101
20101231	2010	SINA	SINA CORP	CHN	$1,636.09 	-0.011670507	($19.09)	$154.80 	$402.62 	$34.05 	$134.63 	3600	20.0616	SINA Corporation provides online media and mobile value-added services (MVAS) in the People's Republic of China. It provides advertising, non-advertising, and free services through SINA.com, Weibo.com, and SINA Mobile.	519130	G81477104
20101231	2010	CKSW	CLICKSOFTWARE TECHNOLOGIES	ISR	$79.83 	0.113307528	$9.05 	$24.86 	$71.02 	$7.92 	$33.88 	318	1.7656	ClickSoftware Technologies Ltd. provides workforce and service management software products and solutions.	511210	M25082104
20101231	2010	NTES	NETEASE.COM INC	CHN	$1,755.56 	0.192960631	$338.75 	$199.75 	$834.50 	$48.17 	$176.44 	5627	11.3446	NetEase.com, Inc., an Internet technology company, engages in the development of applications, services, and other technologies for the Internet in China.	519130	64110W102
20101231	2010	SOHU	SOHU.COM INC	CHN	$1,187.59 	0.125151778	$148.63 	$139.61 	$612.78 	$75.60 	$218.43 	5167	20.9367	Sohu.com Inc., through its subsidiaries, engages in the brand advertising, online gaming, sponsored search, and wireless businesses in China.	519130	83408W103
20110331	2010	OPNT	OPNET TECHNOLOGIES INC	USA	$191.82 	0.064648139	$12.40 	$26.99 	$147.99 	$34.72 	$96.40 	578	5.6156	OPNET Technologies, Inc. provides software products and related services for managing applications and networks in the United States and internationally.	511210	683757108
20101231	2010	MNDO	MIND CTI LTD	ISR	$30.46 	0.159416959	$4.86 	$5.59 	$19.89 	$4.06 	$7.73 	311	1.2967	Mind C.T.I. Ltd. develops, manufactures, and markets real-time and off-line billing and customer care software for various types of communication providers.	511210	M70240102
20101231	2010	3RDVWF	RADVIEW SOFTWARE LTD	ISR	$1.00 	0.129482072	$0.13 	$0.17 	$2.42 	$0.90 	$2.28 	15	-0.0762	RadView Software Ltd. engages in the development and marketing of software for testing the performance, scalability, and integrity of Internet applications.	511210	M81867109
20101231	2010	VRYAF	VIRYANET LTD	ISR	$9.76 	0.068545082	$0.67 	$4.48 	$11.12 	$1.07 	$5.73 			ViryaNet Ltd., together with its subsidiaries, develops, markets, and supports integrated mobile and Web-based software applications for the workforce management and automation of field service delivery primarily in the United States, Europe, and the Asia Pacific.	511210	M97540138
20101031	2010	3SPCK	SUPERCLICK INC	CAN	$5.00 	0.158073541	$0.79 	$5.02 	$9.09 	$0.28 	$2.87 		0.0565	Superclick, Inc. provides IP-based data management solutions to the hospitality, conference center and event, multi-tenant unit, and university markets.	519130	86804U100
20101231	2010	TKAGY	TELEKOM AUSTRIA AG	AUT	$10,025.82 	0.02585425	$259.21 	$4,114.36 	$6,289.51 	$50.95 		16501	8.841	Telekom Austria AG, together with its subsidiaries, provides multimedia solutions for residential and business customers in Austria and internationally.	517919	87943Q109
20110430	2010	LAVA	MAGMA DESIGN AUTOMATION INC	USA	$106.47 	-0.030637163	($3.26)	$16.33 	$139.29 	$49.90 	$113.16 			Magma Design Automation, Inc. provides electronic design automation software products and related services.	511210	559181102
20100630	2010	VMCS	VISUALMED CLINICAL SOLUTIONS	USA	$0.16 	-0.13125	($0.02)	$0.09 	$0.39 	$0.03 	$0.24 	3	-0.0364	VisualMED Clinical Solutions Corp. markets and distributes clinical management solutions. It provides VisualMED smart EHRs and Clinical Information Systems; and the VisualMED system, a suite of software modules that constitute a functional Clinical Information System.	511210	92844G101
20101231	2010	GSB	GLOBALSCAPE INC	USA	$20.55 	0.042877306	$0.88 	$0.60 	$18.57 	$3.02 	$15.83 	84	0.6776	GlobalSCAPE, Inc. develops, distributes, and maintains secure managed file transfer software that enables individuals and business users to exchange information over the Internet, as well as wide-area file system (WAFS) collaboration and continuous data protection (CDP) software.	511210	37940G109
20100930	2010	SBAY	SUBAYE INC	CHN	$48.10 	-0.378222185	($18.19)	$2.34 	$39.14 	$0.24 	$32.52 	1539	6.2336	Subaye, Inc. provides online business services in the People's Republic of China. The company offers bundled cloud product that uses Internet-based computing, storage, and connectivity technology to deliver various services to small-to-medium sized enterprises.	519130	86428D104
20101231	2010	NLTX	NILE THERAPEUTICS INC	USA	$3.67 	-1.645117294	($6.03)	$6.17 	$0.00 	$4.08 		3	0.075	Nile Therapeutics, Inc., a development stage biopharmaceutical company, develops pharmaceutical products for the treatment of cardiovascular diseases.	519130	654145101
