Name	Weight (1000 lbs)	Combined MPG	Gallons per 100 miles	Residual MPG	Scrambled Residual 1	Scrambled Residual 2	Residual Gal /100 miles	Horsepower
Porsche Cayenne	5.05	17	5.882352941	-0.111813337	1.361877272	3.857248741	-0.086724823	300
Porsche Cayenne	4.94	19	5.263157895	1.317754262	0.969459495	2.71093333	-0.573460164	300
Porsche Cayman S	3.43	23	4.347826087	-2.512726886	-3.838579502	-1.193847459	0.329518527	320
Porsche Cayman S	3.61	22	4.545454546	-2.579292047	1.139739638	3.968698204	0.310394741	320
Porsche Cayman	3.49	24	4.166666667	-1.20158194	2.227985659	0.443150104	0.076108358	265
Porsche Cayman	3.38	22	4.545454546	-3.772014341	2.442388813	1.650580068	0.587355942	265
Porsche Panamera 4S	4.53	19	5.263157895	-0.808402871	0.695464369	0.844063653	-0.079746717	400
Porsche Panamera Turbo	4.65	18	5.555555556	-1.186112979	-2.512726886	-3.660564878	0.068149447	500
Porsche Panamera	4.59	21	4.761904762	1.502742075	-1.357154413	3.242693329	-0.653250599	300
Rolls-Royce Motor Cars Limited Phantom	5.97	14	7.142857143	1.659075839	-4.423719574	5.464830964	0.065934571	453
Saab 9-3 SEDAN AWD	3.93	24	4.166666667	1.080147666	3.79068358	2.094855337	-0.453730462	220
Saab 9-3 SEDAN AWD	4.02	22	4.545454546	-0.453134914	-1.942294484	4.205543508	-0.183318706	220
Saab 9-3 SPORT SEDAN	3.59	25	4	0.316992971	-1.957002155	2.087120856	-0.210976222	220
Saab 9-3 SPORT SEDAN	3.85	23	4.347826087	-0.334712262	-2.808402871	-0.808402871	-0.176236711	220
Saab 9-5 SEDAN AWD	4.39	20	5	-0.534407746	-2.23797047	0.695464369	-0.174319533	300
Saab 9-5 SEDAN	4.08	25	4	2.858010032	0.443150104	2.657553258	-0.801024	220
Saab 9-5 SEDAN	4.37	22	4.545454546	1.361877272	-0.268147101	-7.023567316	-0.604781405	220
Suzuki GRAND VITARA 4WD	3.94	20	5	-2.867994843	-5.001125165	-1.919091043	0.36756108	166
Suzuki GRAND VITARA	3.73	21	4.761904762	-2.957002155	2.288338921	-1.141228677	0.38234346	166
Suzuki GRAND VITARA	3.73	22	4.545454546	-1.957002155	-0.77822624	1.686968598	0.165893244	166
Suzuki KIZASHI AWD	3.77	25	4	1.25042781	1.406761574	0.464830964	-0.427728467	185
MAZDA MAZDA2	2.68	30	3.333333333	0.597961286	2.227985659	-0.912117853	0.218160127	100
MAZDA MAZDA2	2.65	32	3.125	2.442388813	2.511237847	-0.111813337	0.045952168	100
MAZDA MAZDA3	3.1	28	3.571428571	0.77597591	-0.608707387	-0.460108104	-0.049499873	148
MAZDA MAZDA3	3.37	23	4.347826087	-2.823871832	-1.112574628	0.057705516	0.401769275	165
MAZDA MAZDA3	3.14	27	3.703703704	-0.016594126	-0.853287172	-0.334712262	0.034608094	148
MAZDA MAZDA6	3.67	24	4.166666667	-0.268147101	0.525184226	-4.104840147	-0.140643886	170
MAZDA MAZDA6	3.72	25	4	0.991140355	-1.320004592	2.198570319	-0.36751951	168
MAZDA MAZDASPEED3	3.72	21	4.761904762	-3.008859646	0.310019781	-3.987178786	0.394385252	263
MAZDA MX-5	2.76	25	4	-3.987178786	-7.430692764	-1.519700075	0.788492463	167
TOYOTA FJ CRUISER 2WD	4.59	19	5.263157895	-0.497257925	-3.127282298	4.909106232	-0.151997466	260
TOYOTA FJ CRUISER 4WD	4.79	18	5.555555556	-0.460108104	-7.364127602	4.539891896	-0.100435633	260
TOYOTA FJ CRUISER 4WD	4.69	16	6.25	-2.978683014	4.842541071	3.79068358	0.714426726	260
LEXUS GX 460	5.45	17	5.882352941	1.962486305	3.391292613	-0.77125305	-0.568396478	301
SCION iQ	2.27	37	2.702702703	5.471804153	-3.008859646	-1.683007029	0.081242943	94
LEXUS IS 250/IS 250C	4.35	22	4.545454546	1.25816229	0.590988096	-1.127282298	-0.580697822	204
TOYOTA TACOMA 2WD	3.99	21	4.761904762	-1.608707387	-0.579292047	1.864983222	0.069256884	159
TOYOTA TACOMA 2WD	4.51	19	5.263157895	-0.912117853	0.806152541	-2.808402871	-0.055663135	236
TOYOTA TACOMA 2WD	3.88	22	4.545454546	-1.179139789	3.435415623	-0.971709825	-0.014733627	159
TOYOTA TACOMA 2WD	4.13	18	5.555555556	-3.882702513	-4.104840147	2.227985659	0.694322599	236
TOYOTA TACOMA 4WD	4.37	19	5.263157895	-1.638122728	4.459380356	-0.312270111	0.112921945	159
TOYOTA TACOMA 4WD	4.39	18	5.555555556	-2.534407746	-0.334712262	-6.986417495	0.381236023	236
TOYOTA TACOMA 4WD	4.14	19	5.263157895	-2.830845022	-0.378835273	-1.23797047	0.389883147	159
TOYOTA TACOMA 4WD	4.56	17	5.882352941	-2.652830398	0.947017344	6.909867523	0.503322955	236
SCION tC	3.44	26	3.846153846	0.539130605	1.058466807	-0.082397996	-0.184195505	180
TOYOTA YARIS	2.67	32	3.125	2.546103795	-0.304535631	3.472565444	0.021868585	106
TOYOTA YARIS	2.73	33	3.03030303	3.857248741	-1.593999717	0.969459495	-0.145079133	106
Audi A8L	4.96	16	6.25	-1.578530756	-2.038274986	0.590988096	0.389298358	500
Volkswagen BEETLE	3.31	25	4	-1.135016778	-0.957002155	-7.460869395	0.126193937	170
Volkswagen EOS	3.54	25	4	0.057705516	-0.519700075	4.168393687	-0.150767265	200
Volkswagen Jetta	3.71	28	3.571428571	3.939282863	-0.77125305	-3.772014341	-0.784049147	140
Volkswagen Jetta	3.45	26	3.846153846	0.590988096	-4.719395559	-1.704687889	-0.196237297	170
Volkswagen Jetta	3.25	27	3.703703704	0.553838275	2.620403437	-1.942294484	-0.097851611	115
Volkswagen Passat	3.75	23	4.347826087	-0.853287172	-3.127282298	0.399027093	-0.055818797	280
