Name	Genre	Time	D(Rock)	D(Latin)	D(Jazz)	D(Folk)	D(Country)	D(Blues)
On The Old Kentucky Shore: Joan Osborne & Ricky Skaggs	Country	223	0	0	0	0	1	0
Blue Night: Mary Chapin Carpenter	Country	238	0	0	0	0	1	0
True Companion	Jazz	266	0	0	1	0	0	0
Sahara	Jazz	301	0	0	1	0	0	0
Porscha	Jazz	290	0	0	1	0	0	0
These Foolish Things	Rock	228	1	0	0	0	0	0
Daddy Roll Em Intro	Rock	38	1	0	0	0	0	0
May The Road Rise	Rock	229	1	0	0	0	0	0
Casino Boogie	Rock	214	1	0	0	0	0	0
Torn & Frayed	Rock	258	1	0	0	0	0	0
Ventilator Blues	Rock	204	1	0	0	0	0	0
Short And Curlies	Rock	163	1	0	0	0	0	0
Love In Vain	Rock	262	1	0	0	0	0	0
Some Girls	Rock	277	1	0	0	0	0	0
Respectable	Rock	187	1	0	0	0	0	0
Dead Flowers	Rock	245	1	0	0	0	0	0
Mislead Mother	Blues	195	0	0	0	0	0	1
Pocketful Of Money	Blues	152	0	0	0	0	0	1
Beautiful Pain	Country	170	0	0	0	0	1	0
Ill Change For You	Country	230	0	0	0	0	1	0
Rules Of Travel	Country	234	0	0	0	0	1	0
September When It Comes	Country	220	0	0	0	0	1	0
Hope Against Hope	Country	236	0	0	0	0	1	0
Tumbao	Jazz	311	0	0	1	0	0	0
Rally Round The Flag	Rock	219	1	0	0	0	0	0
Stand By Me	Rock	224	1	0	0	0	0	0
13 Question Method	Blues	219	0	0	0	0	0	1
On A Monday	Rock	177	1	0	0	0	0	0
Taxes On The Farmer Feeds Us All	Rock	236	1	0	0	0	0	0
Secret Love	Latin	349	0	1	0	0	0	0
Maria La O	Latin	259	0	1	0	0	0	0
Gonna Be Alright	Jazz	275	0	0	1	0	0	0
The Broome O The Cowdenknowes	Folk	255	0	0	0	1	0	0
Original Rags	Jazz	184	0	0	1	0	0	0
Positive Images (Mother Father)	Jazz	351	0	0	1	0	0	0
The Pit  The Pendulum	Jazz	325	0	0	1	0	0	0
Its So Easy	Rock	204	1	0	0	0	0	0
The Only Living Boy In New York	Rock	242	1	0	0	0	0	0
I Am a Rock	Rock	170	1	0	0	0	0	0
The Big Bright Green Pleasure Machine	Rock	164	1	0	0	0	0	0
Voices Of Old People	Rock	127	1	0	0	0	0	0
Punkys Dilemma	Rock	137	1	0	0	0	0	0
To Make Me Blue	Rock	213	1	0	0	0	0	0
Where Angels Fear To Tread	Rock	242	1	0	0	0	0	0
Deep in it	Jazz	436	0	0	1	0	0	0
So Flute	Jazz	509	0	0	1	0	0	0
La Goutte dOr	Jazz	377	0	0	1	0	0	0
I Wont Dance	Jazz	277	0	0	1	0	0	0
Isnt This A Lovely Day	Jazz	239	0	0	1	0	0	0
I Guess Ill Have To Change My Plan	Jazz	157	0	0	1	0	0	0
I Want To Be Happy	Jazz	457	0	0	1	0	0	0
Eleanor Rigby	Jazz	421	0	0	1	0	0	0
Gaslighting Abbie	Rock	353	1	0	0	0	0	0
What A Shame	Rock	317	1	0	0	0	0	0
Piece of Me	Rock	247	1	0	0	0	0	0
Wounded World	Rock	192	1	0	0	0	0	0
Acadienne	Rock	245	1	0	0	0	0	0
Feed the People	Rock	262	1	0	0	0	0	0
Baby Dont Scold Me (Demo-Version)	Rock	127	1	0	0	0	0	0
Shooting Creek	Folk	145	0	0	0	1	0	0
Buckdancers Choice/Needlecase	Folk	165	0	0	0	1	0	0
Old Joe	Folk	107	0	0	0	1	0	0
Pateroller	Folk	141	0	0	0	1	0	0
Close To You	Blues	193	0	0	0	0	0	1
(When Its) Darkness On The Delta	Jazz	308	0	0	1	0	0	0
Bemsha Swing	Jazz	266	0	0	1	0	0	0
Jackie-Ing	Jazz	302	0	0	1	0	0	0
Four In One (Alternative Take)	Jazz	210	0	0	1	0	0	0
Hornin In (Alternative Take)	Jazz	189	0	0	1	0	0	0
Well You Neednt	Jazz	177	0	0	1	0	0	0
Monks Mood	Jazz	188	0	0	1	0	0	0
Honeysuckle Rose	Jazz	329	0	0	1	0	0	0
Blue Monk	Jazz	391	0	0	1	0	0	0
Run	Rock	200	1	0	0	0	0	0
River	Folk	230	0	0	0	1	0	0
No Me Hables Más	Latin	166	0	1	0	0	0	0
On Broadway	Latin	486	0	1	0	0	0	0
Dónde Estabas Tú	Latin	301	0	1	0	0	0	0
Donna Lee	Latin	274	0	1	0	0	0	0
Picadillo A Lo Puente	Latin	228	0	1	0	0	0	0
Alluya	Latin	145	0	1	0	0	0	0
John Browns Dream	Folk	209	0	0	0	1	0	0
When Sorrows Encompass Me Round	Folk	252	0	0	0	1	0	0
Cluck Old Hen	Folk	125	0	0	0	1	0	0
John Hardy	Folk	237	0	0	0	1	0	0
Yellow Rose Of Texas	Folk	159	0	0	0	1	0	0
Soldiers Joy	Folk	85	0	0	0	1	0	0
Wayfaring Stranger	Country	323	0	0	0	0	1	0
Rattled	Rock	179	1	0	0	0	0	0
End Of The Line	Rock	206	1	0	0	0	0	0
New Kid In Town	Rock	308	1	0	0	0	0	0
Come On In	Jazz	738	0	0	1	0	0	0
Elevation	Rock	227	1	0	0	0	0	0
Long Way From Home	Blues	195	0	0	0	0	0	1
Telephone Song	Blues	208	0	0	0	0	0	1
John Lovers Gone	Folk	72	0	0	0	1	0	0
Mississippi Sawyer	Folk	54	0	0	0	1	0	0
Old Folks	Jazz	398	0	0	1	0	0	0
Falling In Love With Love	Jazz	376	0	0	1	0	0	0
Sound Carrier	Jazz	417	0	0	1	0	0	0
Mean To Me	Jazz	301	0	0	1	0	0	0
Compulsion	Jazz	409	0	0	1	0	0	0
Au Privave (tk 2)	Jazz	236	0	0	1	0	0	0
Doujie	Jazz	277	0	0	1	0	0	0
Groove Yard	Jazz	181	0	0	1	0	0	0
Cotton Tail	Jazz	220	0	0	1	0	0	0
Jingles (tk 9)	Jazz	413	0	0	1	0	0	0
Sam Sack (tk 3)	Jazz	365	0	0	1	0	0	0
Born To Be Blue (tk 1 - prev uniss)	Jazz	448	0	0	1	0	0	0
Ive Grown Accustomed To Her Face	Jazz	209	0	0	1	0	0	0
Canadian Sunset	Jazz	306	0	0	1	0	0	0
Dreamsville	Jazz	228	0	0	1	0	0	0
Doctor Jimmy	Rock	516	1	0	0	0	0	0
Substitute [Rare US Single Version]	Rock	180	1	0	0	0	0	0
I Can See For Miles	Rock	247	1	0	0	0	0	0
Baba ORiley	Rock	300	1	0	0	0	0	0
Bargain	Rock	335	1	0	0	0	0	0
Eminence Front	Rock	337	1	0	0	0	0	0
Dont Give Up	Country	419	0	0	0	0	1	0
Undo The Right	Country	179	0	0	0	0	1	0
Crazy	Country	239	0	0	0	0	1	0
Black Night	Country	322	0	0	0	0	1	0
Aint Nobodys Business	Country	308	0	0	0	0	1	0
Texas Flood	Country	528	0	0	0	0	1	0
Will the Circle Be Unbroken	Country	203	0	0	0	0	1	0
The Harder They Come	Country	265	0	0	0	0	1	0
And The Band Played On	Jazz	322	0	0	1	0	0	0
Django	Jazz	293	0	0	1	0	0	0
Presence That Lament Brings	Jazz	353	0	0	1	0	0	0
Four In One	Jazz	353	0	0	1	0	0	0
A Sleepin Bee	Jazz	195	0	0	1	0	0	0
How Are Things In Glocca Morra	Jazz	177	0	0	1	0	0	0
I Gotta Right To Sing The Blues	Jazz	300	0	0	1	0	0	0
Scripture	Jazz	241	0	0	1	0	0	0
Recessional	Jazz	633	0	0	1	0	0	0
A Certain Girl	Rock	137	1	0	0	0	0	0
I Aint Got You	Rock	120	1	0	0	0	0	0
Think for Yourself	Rock	135	1	0	0	0	0	0
Eleanor Rigby	Jazz	313	0	0	1	0	0	0
Sleeping Bag	Rock	243	1	0	0	0	0	0
