Engine Displacement (liters)	Transmission	Name	Combined Fuel Efficiency	City FE	Hwy FE	Num Cyl	Guzzler
2.4	CVT	Suzuki KIZASHI	26	23	30	4	
2.4	CVT	Suzuki KIZASHI AWD	25	22	29	4	
2.4	CVT	Suzuki KIZASHI S	26	23	31	4	
2.4	CVT	Suzuki KIZASHI S AWD	25	23	30	4	
2	CVT	Suzuki SX4	26	23	30	4	
2	CVT	Suzuki SX4 AWD	25	23	29	4	
2	CVT	Suzuki SX4 SEDAN	28	25	32	4	
2	CVT	Suzuki SX4 Sport	26	23	30	4	
3.7	SA	MAZDA CX-9 2WD	19	17	24	6	
3.7	SA	MAZDA CX-9 4WD	19	16	22	6	
2.5	SA	MAZDA MAZDA 5	24	21	28	4	
1.5	A	MAZDA MAZDA2	30	28	34	4	
2	SA	MAZDA MAZDA3	27	24	33	4	
2.5	SA	MAZDA MAZDA3	25	22	29	4	
2.5	SA	MAZDA MAZDA6	25	22	31	4	
3.7	SA	MAZDA MAZDA6	21	18	27	6	
2	SA	MAZDA MX-5	23	21	28	4	
2.5	SA	TOYOTA CAMRY	28	25	35	4	
3.5	SA	TOYOTA CAMRY	25	21	30	6	
4	A	TOYOTA FJ CRUISER 2WD	19	17	20	6	
4	A	TOYOTA FJ CRUISER 4WD	18	17	20	6	
4.6	SA	LEXUS GX 460	17	15	20	8	
2.7	SA	TOYOTA HIGHLANDER 2WD	22	20	25	4	
3.5	SA	TOYOTA HIGHLANDER 2WD	20	18	24	6	
3.5	SA	TOYOTA HIGHLANDER 4WD	19	17	22	6	
1.3	CVT	SCION iQ	37	36	37	4	
2.5	SA	LEXUS IS 250 AWD	22	20	27	6	
2.5	SA	LEXUS IS 250/IS 250C	25	21	30	6	
3.5	SA	LEXUS IS 350 AWD	21	18	26	6	
3.5	SA	LEXUS IS 350/IS 350C	22	19	27	6	
4.8	SA	LEXUS LFA	12	11	16	10	G
3.5	SA	LEXUS RX 350	21	18	25	6	
3.5	SA	LEXUS RX 350 AWD	20	18	24	6	
4.6	SA	TOYOTA SEQUOIA 2WD	16	14	20	8	
5.7	SA	TOYOTA SEQUOIA 2WD	15	13	18	8	
4.6	SA	TOYOTA SEQUOIA 4WD	15	13	18	8	
5.7	SA	TOYOTA SEQUOIA 4WD	14	13	17	8	
5.7	SA	TOYOTA SEQUOIA 4WD FFV	15	13	17	8	
2.7	SA	TOYOTA SIENNA	21	19	24	4	
3.5	SA	TOYOTA SIENNA	21	18	25	6	
3.5	SA	TOYOTA SIENNA AWD	19	17	23	6	
2.7	A	TOYOTA TACOMA 2WD	21	19	24	4	
4	A	TOYOTA TACOMA 2WD	19	17	21	6	
2.7	A	TOYOTA TACOMA 4WD	19	18	21	4	
4	A	TOYOTA TACOMA 4WD	18	16	21	6	
2.5	SA	SCION tC	26	23	31	4	
4	SA	TOYOTA TUNDRA 2WD	18	16	20	6	
4.6	SA	TOYOTA TUNDRA 2WD	17	15	20	8	
5.7	SA	TOYOTA TUNDRA 2WD	15	14	18	8	
4.6	SA	TOYOTA TUNDRA 4WD	16	14	19	8	
5.7	SA	TOYOTA TUNDRA 4WD	14	13	17	8	
5.7	SA	TOYOTA TUNDRA 4WD FFV	15	13	18	8	
2.4	SA	SCION xB	24	22	28	4	
1.5	A	TOYOTA YARIS	32	30	35	4	
3.2	SA	Volvo Cars of North America, LLC S80 FWD	23	20	29	6	
3.2	SA	Volvo Cars of North America, LLC XC60 AWD	20	18	24	6	
3.2	SA	Volvo Cars of North America, LLC XC60 FWD	21	19	25	6	
3.2	SA	Volvo Cars of North America, LLC XC70 AWD	20	18	24	6	
3.2	SA	Volvo Cars of North America, LLC XC70 FWD	21	19	25	6	
3.2	SA	Volvo Cars of North America, LLC XC90 AWD	18	16	23	6	
3.2	SA	Volvo Cars of North America, LLC XC90 FWD	19	16	23	6	
6.3	SA	Audi A8L	16	14	21	12	G
2.5	SA	Volkswagen BEETLE	25	22	29	5	
3.6	SA	Volkswagen CC 4MOTION	20	17	25	6	
2.5	SA	Volkswagen GOLF	26	24	31	5	
2.5	SA	Volkswagen Jetta	26	24	31	5	
2.5	SA	Volkswagen JETTA SPORTWAGEN	26	24	31	5	
2.5	SA	Volkswagen Passat	25	22	31	5	
3.6	SA	Volkswagen Passat	23	20	28	6	
3.6	SA	Volkswagen TOUAREG	19	16	23	6	
