Name	Company	TICKER	Total Compensation ($ Million)	Total Revenue ($ Billion)	Log Total Compensation	Log Total Revenue
John P. Calamos, Sr.	CALAMOS ASSET MANAGEMENT INC	CLMS	$5.22 	$0.36 	6.718	-0.45
Lecil E. Cole	CALAVO GROWERS INC	CVGW	$1.05 	$0.40 	6.019	-0.4
John S. Stanik	CALGON CARBON CORP	CCC	$1.43 	$0.48 	6.155	-0.317
Richard L. Rosenfield	CALIFORNIA PIZZA KITCHEN INC	CPKI	$3.01 	$0.64 	6.478	-0.192
George Fellows	CALLAWAY GOLF CO	ELY	$3.29 	$0.97 	6.517	-0.014
Jack A. Fusco	CALPINE CORP	CPN	$3.80 	$6.55 	6.58	0.816
Steve Klosk	CAMBREX CORP	CBM	$1.51 	$0.23 	6.179	-0.644
Richard J. Campo	CAMDEN PROPERTY TRUST	CPT	$3.11 	$0.63 	6.492	-0.203
Jack B. Moore	CAMERON INTERNATIONAL CORP	CAM	$10.01 	$6.14 	7	0.788
Douglas R. Conant	CAMPBELL SOUP CO	CPB	$12.17 	$7.68 	7.085	0.885
Andrew A. Krakauer	CANTEL MEDICAL CORP	CMN	$1.16 	$0.27 	6.063	-0.562
J. Kevin Gilligan, BA	CAPELLA EDUCATION CO	CPLA	$3.85 	$0.43 	6.585	-0.37
Richard D. Fairbank	CAPITAL ONE FINANCIAL CORP	COF	$14.86 	$18.94 	7.172	1.277
Gary Kolstad	CARBO CERAMICS INC	CRR	$2.45 	$0.47 	6.389	-0.325
George S. Barrett	CARDINAL HEALTH INC	CAH	$14.70 	$98.50 	7.167	1.993
George S. Barrett	CARDINAL HEALTH INC	CAH	$10.21 	$98.50 	7.009	1.993
Steven A. Rathgaber	CARDTRONICS INC	CATM	$4.88 	$0.53 	6.688	-0.274
Gary E. McCullough	CAREER EDUCATION CORP	CECO	$4.58 	$2.12 	6.661	0.327
David A. Roberts	CARLISLE COS INC	CSL	$6.01 	$2.53 	6.779	0.403
Thomas J. Folliard	CARMAX INC	KMX	$5.91 	$9.40 	6.772	0.973
S. David Passman, III	CARMIKE CINEMAS INC	CKEC	$2.13 	$0.49 	6.329	-0.309
Micky M. Arison	CARNIVAL CORP/PLC (USA)	CCL	$7.10 	$14.45 	6.851	1.16
Gregory A. Pratt	CARPENTER TECHNOLOGY CORP	CRS	$2.11 	$1.20 	6.325	0.079
William A. Wulfsohn	CARPENTER TECHNOLOGY CORP	CRS	$9.48 	$1.20 	6.977	0.079
Michael D. Casey	CARTER'S INC	CRI	$5.11 	$1.79 	6.709	0.252
Patricia L. Moss	CASCADE BANCORP	CACB	$0.77 	$0.10 	5.886	-1.007
Robert C. Warren, Jr.	CASCADE CORP	CASC	$1.65 	$0.41 	6.218	-0.387
Robert J. Myers	CASEYS GENERAL STORES INC	CASY	$1.22 	$5.14 	6.086	0.711
Daniel R. Feehan	CASH AMERICA INTL INC	CSH	$3.34 	$1.29 	6.524	0.112
Michael H. Goldberg	CASTLE (A M) & CO	CAS	$1.83 	$0.94 	6.262	-0.025
David A. Levin	CASUAL MALE RETAIL GRP INC	CMRG	$2.92 	$0.39 	6.466	-0.405
David T. Blair	CATALYST HEALTH SOLUTIONS	CHSI	$4.35 	$3.76 	6.639	0.576
Douglas R. Oberhelman	CATERPILLAR INC	CAT	$10.55 	$42.59 	7.023	1.629
Dunson K. Cheng, Ph.D.	CATHAY GENERAL BANCORP	CATY	$1.02 	$0.52 	6.008	-0.282
John P. Derham Cato	CATO CORP  -CL A	CATO	$3.62 	$0.93 	6.559	-0.034
W. Brett White	CB RICHARD ELLIS GROUP INC	CBG	$11.54 	$5.12 	7.062	0.709
James Geiger	CBEYOND INC	CBEY	$1.94 	$0.45 	6.288	-0.345
Leslie Moonves	CBS CORP	CBS	$57.73 	$14.06 	7.761	1.148
Mark P. Mays	CC MEDIA HOLDINGS INC	CCMO	$11.05 	$5.87 	7.043	0.768
Roger H. Ballou	CDI CORP	CDI	$1.28 	$0.93 	6.106	-0.033
Michael H. Magusiak	CEC ENTERTAINMENT INC	CEC	$2.89 	$0.82 	6.46	-0.088
Leo S. Ullman, J.D.	CEDAR SHOPPING CENTERS INC	CDR	$1.81 	$0.16 	6.259	-0.802
Robert J. Hugin, MBA	CELGENE CORP	CELG	$7.41 	$3.63 	6.87	0.559
Michael F. Neidorff	CENTENE CORP	CNC	$7.95 	$4.45 	6.9	0.648
David M. McClanahan	CENTERPOINT ENERGY INC	CNP	$5.39 	$8.79 	6.732	0.944
William E. Brown	CENTRAL GARDEN & PET CO	CENTA	$1.95 	$1.52 	6.289	0.183
John C. Dean, Jr.	CENTRAL PACIFIC FINANCIAL CP	CPF	$0.41 	$0.22 	5.61	-0.662
Robert H. Young	CENTRAL VERMONT PUB SERV	CV	$1.15 	$0.34 	6.061	-0.466
Logan W. Kruger	CENTURY ALUMINUM CO	CENX	$4.86 	$1.17 	6.686	0.068
Glen F. Post, III	CENTURYLINK INC	CTL	$14.58 	$7.04 	7.164	0.848
Frank Baldino, Jr., Ph.D.	CEPHALON INC	CEPH	$3.45 	$2.81 	6.538	0.449
Joel P. Moskowitz	CERADYNE INC	CRDN	$1.60 	$0.40 	6.205	-0.395
Neal Patterson	CERNER CORP	CERN	$5.08 	$1.85 	6.706	0.267
Gideon Wertheizer	CEVA INC	CEVA	$1.03 	$0.05 	6.014	-1.348
Stephen R. Wilson	CF INDUSTRIES HOLDINGS INC	CF	$5.89 	$3.97 	6.77	0.598
Steven V. Lant	CH ENERGY GROUP INC	CHG	$2.23 	$0.97 	6.349	-0.012
James C. Foster, J.D.	CHARLES RIVER LABS INTL INC	CRL	$4.76 	$1.13 	6.678	0.054
James P. Fogarty	CHARMING SHOPPES INC	CHRS	$3.02 	$2.06 	6.48	0.314
Rob Van Der Merwe	CHECKPOINT SYSTEMS INC	CKP	$2.23 	$0.83 	6.349	-0.079
David Overton	CHEESECAKE FACTORY INC	CAKE	$3.70 	$1.66 	6.568	0.22
Kevin McNamara	CHEMED CORP	CHE	$5.84 	$1.28 	6.766	0.107
Craig A. Rogerson	CHEMTURA CORP	CHMT	$5.71 	$2.76 	6.757	0.441
Aubrey K. McClendon	CHESAPEAKE ENERGY CORP	CHK	$21.05 	$9.37 	7.323	0.972
John Watson	CHEVRON CORP	CVX	$16.26 	$189.61 	7.211	2.278
David F. Dyer	CHICOS FAS INC	CHS	$3.77 	$1.91 	6.576	0.28
Jane T. Elfers	CHILDRENS PLACE RETAIL STRS	PLCE	$2.16 	$1.67 	6.335	0.224
Montgomery F. Moran	CHIPOTLE MEXICAN GRILL INC	CMG	$13.45 	$1.84 	7.129	0.264
Fernando Aguirre	CHIQUITA BRANDS INTL INC	CQB	$5.60 	$3.23 	6.748	0.509
Lorna Nagler	CHRISTOPHER & BANKS CORP	CBK	$2.23 	$0.45 	6.348	-0.349
John D. Finnegan	CHUBB CORP	CB	$20.26 	$13.28 	7.307	1.123
James R. Craigie	CHURCH & DWIGHT INC	CHD	$4.20 	$2.59 	6.623	0.413
David C. Peterschmidt	CIBER INC	CBR	$2.57 	$1.07 	6.41	0.03
Gary B. Smith	CIENA CORP	CIEN	$2.17 	$1.24 	6.335	0.092
David M. Cordani	CIGNA CORP	CI	$15.23 	$21.24 	7.183	1.327
F. H. Merelli	CIMAREX ENERGY CO	XEC	$6.87 	$1.71 	6.837	0.234
John F. Cassidy	CINCINNATI BELL INC	CBB	$8.56 	$1.38 	6.933	0.139
Kenneth William Stecher	CINCINNATI FINANCIAL CORP	CINF	$2.32 	$3.77 	6.364	0.577
Scott D. Farmer	CINTAS CORP	CTAS	$4.61 		6.664	
Bill Higgins	CIRCOR INTL INC	CIR	$1.88 	$0.69 	6.273	-0.164
Jason P. Rhode, Ph.D.	CIRRUS LOGIC INC	CRUS	$3.11 	$0.37 	6.493	-0.432
John T. Chambers	CISCO SYSTEMS INC	CSCO	$18.87 	$40.04 	7.276	1.602
John A. Thain	CIT GROUP INC	CIT	$6.69 	$6.27 	6.825	0.797
Vikram S. Pandit	CITIGROUP INC	C	$0.00 	$111.47 	0	2.047
Mark B. Templeton	CITRIX SYSTEMS INC	CTXS	$8.24 	$1.88 	6.916	0.273
Charles R. Hageboeck	CITY HOLDING CO	CHCO	$0.69 	$0.17 	5.838	-0.767
Russell Goldsmith	CITY NATIONAL CORP	CYN	$9.25 	$1.18 	6.966	0.071
Andy Puzder	CKE RESTAURANTS INC	CKR	$10.12 		7.005	
Norman E. Johnson	CLARCOR INC	CLC	$5.83 	$1.01 	6.765	0.005
Alan S. McKim	CLEAN HARBORS INC	CLH	$1.51 	$1.73 	6.179	0.238
Gordon L. Jones	CLEARWATER PAPER CORP	CLW	$3.86 	$1.37 	6.586	0.138
Michael H. Madison	CLECO CORP	CNL	$2.89 	$1.15 	6.461	0.06
Joseph A. Carrabba	CLIFFS NATURAL RESOURCES INC	CLF	$5.60 	$4.69 	6.748	0.672
Donald R. Knauss	CLOROX CO/DE	CLX	$10.11 	$5.53 	7.005	0.743
Craig Steven Donohue	CME GROUP INC	CME	$6.91 	$3.05 	6.839	0.484
John G. Russell	CMS ENERGY CORP	CMS	$4.89 	$6.43 	6.69	0.808
Thomas F. Motamed	CNA FINANCIAL CORP	CNA	$9.49 	$8.96 	6.977	0.952
Claude James Prieur, CFA	CNO FINANCIAL GROUP INC	CNO	$6.73 	$4.08 	6.828	0.611
Lew Frankfort	COACH INC	COH	$13.75 	$3.61 	7.138	0.557
Lew Frankfort	COACH INC	COH	$12.39 	$3.61 	7.093	0.557
J. Frank Harrison, III	COCA-COLA BTLNG CONS	COKE	$6.25 	$1.52 	6.796	0.18
Muhtar Kent	COCA-COLA CO	KO	$24.78 	$35.12 	7.394	1.546
John F. Brock, III	COCA-COLA ENTERPRISES INC	CCE	$22.85 	$6.71 	7.359	0.827
Dennis E. Wheeler	COEUR D'ALENE MINES CORP	CDE	$3.17 	$0.52 	6.501	-0.288
Robert J. Shillman	COGNEX CORP	CGNX	$0.71 	$0.29 	5.852	-0.537
Francisco D'Souza	COGNIZANT TECH SOLUTIONS	CTSH	$11.18 	$4.60 	7.049	0.663
John Ambroseo, Ph.D.	COHERENT INC	COHR	$3.31 	$0.61 	6.52	-0.218
James A. Donahue	COHU INC	COHU	$1.98 	$0.32 	6.296	-0.491
Paul D. Davis	COINSTAR INC	CSTR	$2.82 	$1.44 	6.45	0.157
Dennis Pence	COLDWATER CREEK INC	CWTR	$0.00 	$0.98 	3.627	-0.008
Ian M. Cook	COLGATE-PALMOLIVE CO	CL	$15.38 	$15.56 	7.187	1.192
Matthew E. Rubel	COLLECTIVE BRANDS INC	PSS	$7.79 	$3.38 	6.891	0.528
Thomas H. Lowder	COLONIAL PROPERTIES TRUST	CLP	$2.53 	$0.37 	6.403	-0.429
Melanie J. Dressel	COLUMBIA BANKING SYSTEM INC	COLB	$1.00 	$0.23 	6.001	-0.64
Brian L. Roberts	COMCAST CORP	CMCSA	$31.06 	$37.94 	7.492	1.579
Ralph W. Babb, Jr.	COMERICA INC	CMA	$8.85 	$2.64 	6.947	0.422
William F. Murdy	COMFORT SYSTEMS USA INC	FIX	$2.17 	$1.11 	6.335	0.045
David W. Kemper	COMMERCE BANCSHARES INC	CBSH	$2.81 	$1.14 	6.449	0.055
Murray R. McClean	COMMERCIAL METALS	CMC	$2.22 	$6.31 	6.346	0.8
Mark E. Tryniski	COMMUNITY BANK SYSTEM INC	CBU	$1.34 	$0.34 	6.126	-0.472
Wayne T. Smith	COMMUNITY HEALTH SYSTEMS INC	CYH	$20.96 	$12.99 	7.321	1.113
N. Robert Hammer	COMMVAULT SYSTEMS INC	CVLT	$3.36 	$0.32 	6.527	-0.502
Angelo C. Brisimitzakis	COMPASS MINERALS INTL INC	CMP	$2.96 	$1.07 	6.471	0.029
J. Boyd Douglas	COMPUTER PROGRAMS & SYSTEMS	CPSI	$0.56 	$0.15 	5.747	-0.815
Michael W. Laphen	COMPUTER SCIENCES CORP	CSC	$12.55 	$16.04 	7.099	1.205
James R. Boldt	COMPUTER TASK GROUP INC	CTGX	$1.71 	$0.33 	6.232	-0.48
Peter Karmanos, Jr.	COMPUWARE CORP	CPWR	$4.81 	$0.93 	6.682	-0.032
Magid M. Abraham, Ph.D.	COMSCORE INC	SCOR	$6.56 	$0.18 	6.817	-0.747
Miles Jay Allison	COMSTOCK RESOURCES INC	CRK	$8.21 	$0.35 	6.915	-0.457
Fred Kornberg	COMTECH TELECOMMUN	CMTL	$5.84 	$0.78 	6.767	-0.109
Andre Dahan	COMVERSE TECHNOLOGY INC	CMVT	$4.27 	$1.62 	6.63	0.21
Douglas W. Stotlar	CON-WAY INC	CNW	$3.74 	$4.95 	6.573	0.695
Gary M. Rodkin	CONAGRA FOODS INC	CAG	$8.51 	$12.30 	6.93	1.09
S. Steven Singh	CONCUR TECHNOLOGIES INC	CNQR	$4.24 	$0.29 	6.627	-0.533
D. Scott Mercer	CONEXANT SYSTEMS INC	CNXT	$3.25 		6.512	
Joseph J. Corasanti	CONMED CORP	CNMD	$2.22 	$0.71 	6.346	-0.146
James J. Mulva	CONOCOPHILLIPS	COP	$17.93 	$175.75 	7.254	2.245
J. Brett Harvey	CONSOL ENERGY INC	CNX	$20.16 	$5.16 	7.304	0.713
Kevin Burke	CONSOLIDATED EDISON INC	ED	$10.28 	$13.33 	7.012	1.125
Joe R. Davis	CONSOLIDATED GRAPHICS INC	CGX	$2.58 	$1.05 	6.412	0.023
Robert Sands	CONSTELLATION BRANDS  -CL A	STZ	$8.43 	$3.33 	6.926	0.523
Mayo A. Shattuck, III	CONSTELLATION ENERGY GRP INC	CEG	$15.72 	$14.34 	7.196	1.157
Kenneth R. Peak	CONTANGO OIL & GAS CO	MCF	$0.77 	$0.16 	5.885	-0.794
Jeffrey H. Fox	CONVERGYS CORP	CVG	$3.78 	$2.20 	6.578	0.343
Robert S. Weiss	COOPER COMPANIES INC	COO	$2.13 	$1.16 	6.328	0.064
Kirk S. Hachigian	COOPER INDUSTRIES PLC	CBE	$25.08 	$5.07 	7.399	0.705
Roy V. Armes	COOPER TIRE & RUBBER CO	CTB	$4.72 	$3.36 	6.674	0.526
Willis J. Johnson	COPART INC	CPRT	$0.23 	$0.77 	5.365	-0.112
Anand K. Nallathambi	CORELOGIC INC	CLGX	$5.49 	$1.62 	6.74	0.21
Jack D. Massimino	CORINTHIAN COLLEGES INC	COCO	$3.03 	$1.76 	6.482	0.246
Ilene S. Gordon	CORN PRODUCTS INTL INC	CPO	$5.84 	$4.63 	6.767	0.666
Wendell P. Weeks	CORNING INC	GLW	$11.37 	$6.63 	7.056	0.822
Randall M. Griffin	CORP OFFICE PPTYS TR INC	OFC	$6.05 	$0.58 	6.782	-0.24
Thomas L. Monahan, III	CORPORATE EXECUTIVE BRD CO	EXBD	$2.00 	$0.44 	6.301	-0.358
Damon T. Hininger	CORRECTIONS CORP AMER	CXW	$3.27 	$1.68 	6.514	0.224
Daniel J. Starck	CORVEL CORP	CRVL	$1.20 	$0.38 	6.08	-0.419
Barry J. Feld	COST PLUS INC	CPWM	$1.94 	$0.92 	6.288	-0.038
James D. Sinegal	COSTCO WHOLESALE CORP	COST	$3.53 	$77.95 	6.548	1.892
Larry L. Gellerstedt, III	COUSINS PROPERTIES INC	CUZ	$1.81 	$0.24 	6.257	-0.623
Joseph L. Herring	COVANCE INC	CVD	$5.93 	$2.04 	6.773	0.309
Allen F. Wise	COVENTRY HEALTH CARE INC	CVH	$13.65 	$11.59 	7.135	1.064
Richard J. Meelia	COVIDIEN PLC	COV	$12.85 	$10.43 	7.109	1.018
Renato Cataldo, Jr., Pharm.D.	CPI CORP	CPY	$0.92 	$0.41 	5.964	-0.39
Michael A. Woodhouse	CRACKER BARREL OLD CTRY STOR	CBRL	$6.18 	$2.41 	6.791	0.381
Eric C. Fast	CRANE CO	CR	$9.44 	$2.22 	6.975	0.346
Charles M. Swoboda	CREE INC	CREE	$4.27 	$0.87 	6.63	-0.062
Charles M. Swoboda	CREE INC	CREE	$5.35 	$0.87 	6.728	-0.062
John McCarvel	CROCS INC	CROX	$2.63 	$0.79 	6.42	-0.103
David G. Whalen	CROSS (A.T.) & CO  -CL A	ATX	$2.61 	$0.16 	6.417	-0.8
Joseph A. Boshart	CROSS COUNTRY HEALTHCARE INC	CCRN	$0.83 	$0.47 	5.921	-0.329
John W. Conway	CROWN HOLDINGS INC	CCK	$13.70 	$7.94 	7.137	0.9
Steven G. Anderson	CRYOLIFE INC	CRY	$1.49 	$0.12 	6.174	-0.933
Peter Kalan	CSG SYSTEMS INTL INC	CSGS	$2.88 	$0.55 	6.459	-0.26
Michael J. Ward	CSX CORP	CSX	$9.27 	$10.64 	6.967	1.027
Vinod M. Khilnani	CTS CORP	CTS	$3.62 	$0.55 	6.559	-0.258
Walter J. Zable	CUBIC CORP	CUB	$1.38 	$1.19 	6.139	0.077
Michael Bonney, B.A.	CUBIST PHARMACEUTICALS INC	CBST	$2.87 	$0.64 	6.458	-0.196
Richard W. Evans, Jr.	CULLEN/FROST BANKERS INC	CFR	$3.92 	$0.90 	6.593	-0.046
TIm M. Solso	CUMMINS INC	CMI	$9.11 	$13.24 	6.96	1.122
Martin R. Benante	CURTISS-WRIGHT CORP	CW	$7.95 	$1.89 	6.9	0.277
Thomas M. Ryan	CVS CAREMARK CORP	CVS	$29.22 	$96.41 	7.466	1.984
Daniel J. Moore	CYBERONICS INC	CYBX	$4.55 	$0.19 	6.658	-0.72
Robert Davis	CYCLE CTRY ACCESSORIES CORP	ATC	$0.06 	$0.01 	4.775	-1.917
Robert P. Akins	CYMER INC	CYMI	$4.42 	$0.53 	6.645	-0.272
T. J. Rodgers, Ph.D.	CYPRESS SEMICONDUCTOR CORP	CY	$9.19 	$0.88 	6.963	-0.057
Shane D. Fleming	CYTEC INDUSTRIES INC	CYT	$4.11 	$2.75 	6.613	0.439
Steven A. Kriegsman	CYTRX CORP	CYTR	$1.68 	$0.00 	6.224	-4
Donald J. Tomnitz	D R HORTON INC	DHI	$4.19 	$4.40 	6.622	0.643
James B. Morgan	DAKTRONICS INC	DAKT	$0.39 	$0.44 	5.587	-0.355
John M. Devine	DANA HOLDING CORP	DAN	$3.89 	$6.11 	6.589	0.786
H. Lawrence Culp, Jr.	DANAHER CORP	DHR	$17.03 	$13.20 	7.231	1.121
Clarence Otis, Jr.	DARDEN RESTAURANTS INC	DRI	$8.48 	$7.50 	6.928	0.875
Randall C. Stuewe	DARLING INTERNATIONAL INC	DAR	$3.81 	$0.73 	6.581	-0.14
Kent J. Thiry	DAVITA INC	DVA	$14.12 	$6.45 	7.15	0.809
Daniel B. Hurwitz	DDR CORP	DDR	$4.02 	$0.82 	6.605	-0.088
Mark O'Neil	DEALERTRACK HOLDINGS INC	TRAK	$3.36 	$0.24 	6.526	-0.613
Gregg L. Engles	DEAN FOODS CO	DF	$4.07 	$12.12 	6.61	1.084
Angel R. Martinez	DECKERS OUTDOOR CORP	DECK	$5.07 	$1.00 	6.705	0
Samuel R. Allen	DEERE & CO	DE	$13.32 	$25.55 	7.125	1.407
Michael S. Dell	DELL INC	DELL	$4.35 	$61.49 	6.638	1.789
Robert Rosenkranz	DELPHI FINANCIAL GROUP INC	DFG	$8.08 	$1.75 	6.907	0.242
Richard H. Anderson	DELTA AIR LINES INC	DAL	$8.04 	$31.76 	6.905	1.502
Ray C. Dillon	DELTIC TIMBER CORP	DEL	$2.26 	$0.14 	6.353	-0.849
Lee Schram	DELUXE CORP	DLX	$2.59 	$1.38 	6.413	0.139
Phil Rykhoek, Sr.	DENBURY RESOURCES INC	DNR	$3.85 	$1.81 	6.585	0.258
Debra Smithart-Oglesby	DENNYS CORP	DENN	$0.72 	$0.55 	5.86	-0.261
Bret W. Wise	DENTSPLY INTERNATL INC	XRAY	$2.56 	$2.22 	6.408	0.347
J. Larry Nichols	DEVON ENERGY CORP	DVN	$18.88 	$9.94 	7.276	0.997
Daniel Hamburger	DEVRY INC	DV	$6.06 	$1.92 	6.782	0.282
Scott K. Ginsburg	DG FASTCHANNEL INC	DGIT	$2.37 	$0.25 	6.375	-0.606
Michael J. Mendes	DIAMOND FOODS INC	DMND	$4.34 	$0.68 	6.638	-0.167
Lawrence R. Dickerson	DIAMOND OFFSHRE DRILLING INC	DO	$2.37 	$3.32 	6.375	0.522
Mark W. Brugger, J.D.	DIAMONDROCK HOSPITALITY CO	DRH	$3.01 	$0.63 	6.478	-0.204
Edward W. Stack	DICKS SPORTING GOODS INC	DKS	$7.53 	$4.87 	6.877	0.688
Thomas W. Swidarski	DIEBOLD INC	DBD	$5.53 	$2.82 	6.743	0.451
Joseph T. Dunsmore	DIGI INTERNATIONAL INC	DGII	$1.15 	$0.18 	6.059	-0.739
Joel Ronning	DIGITAL RIVER INC	DRIV	$5.57 	$0.36 	6.746	-0.44
William T. Dillard, II	DILLARDS INC  -CL A	DDS	$4.06 	$6.22 	6.608	0.793
Vincent F. Palagiano	DIME COMMUNITY BANCSHARES	DCOM	$2.70 	$0.22 	6.431	-0.652
Julia A. Stewart	DINEEQUITY INC	DIN	$4.67 	$1.33 	6.669	0.125
Keh-Shew Lu, Ph.D.	DIODES INC	DIOD	$3.96 	$0.61 	6.598	-0.213
Frank Witney, Ph.D.	DIONEX CORP	DNEX	$0.94 		5.974	
Larry D. Hunter	DIRECTV	DTV	$5.63 	$24.10 	6.75	1.382
David W. Nelms	DISCOVER FINANCIAL SVCS INC	DFS	$8.55 	$8.24 	6.932	0.916
David Zaslav	DISCOVERY COMMUNICATIONS INC	DISCA	$42.59 	$3.77 	7.629	0.577
Charles W. Ergen	DISH NETWORK CORP	DISH	$0.80 	$12.64 	5.902	1.102
Robert A. Iger	DISNEY (WALT) CO	DIS	$29.62 	$38.06 	7.472	1.581
Todd G. Simpson, Ph.D.	DITECH NETWORKS INC	DITC	$0.32 		5.504	
Daniel K. Frierson	DIXIE GROUP INC	DXYN	$0.67 	$0.23 	5.829	-0.636
James P. Dolan	DOLAN CO	DM	$1.23 	$0.31 	6.09	-0.507
David A. DeLorenzo	DOLE FOOD CO INC	DOLE	$5.56 	$6.89 	6.745	0.838
Richard W. Dreiling	DOLLAR GENERAL CORP	DG	$5.16 	$13.04 	6.713	1.115
Bob Sasser	DOLLAR TREE INC	DLTR	$5.96 	$5.88 	6.776	0.77
Thomas F. Farrell, II	DOMINION RESOURCES INC	D	$16.92 	$15.20 	7.229	1.182
John D. Williams, BA	DOMTAR CORP	UFS	$5.28 	$5.85 	6.723	0.767
William M. Cook	DONALDSON CO INC	DCI	$3.29 	$1.88 	6.517	0.275
Thomas J. Quinlan, III	DONNELLEY (R R) & SONS CO	RRD	$6.85 	$10.02 	6.836	1.001
Robert A. Livingston	DOVER CORP	DOV	$7.92 	$7.13 	6.899	0.853
Andrew N. Liveris	DOW CHEMICAL	DOW	$21.34 	$53.67 	7.329	1.73
Paul M. Barbas	DPL INC	DPL	$2.58 	$1.88 	6.412	0.275
Larry D. Young	DR PEPPER SNAPPLE GROUP INC	DPS	$7.63 	$5.64 	6.883	0.751
Jeffery Katzenberg	DREAMWORKS ANIMATION INC	DWA	$6.73 	$0.79 	6.828	-0.105
Vincent R. Volpe, Jr.	DRESSER-RAND GROUP INC	DRC	$6.11 	$1.95 	6.786	0.291
Fred Zinn	DREW INDUSTRIES INC	DW	$1.74 	$0.57 	6.242	-0.242
Larry E. Reimert	DRIL-QUIP INC	DRQ	$7.08 	$0.57 	6.85	-0.247
Ofer Elyakim	DSP GROUP INC	DSPG	$1.01 	$0.23 	6.005	-0.647
Thomas A. McDonnell	DST SYSTEMS INC	DST	$6.97 	$2.26 	6.843	0.353
Anthony F. Earley, Jr.	DTE ENERGY CO	DTE	$8.48 	$8.56 	6.928	0.932
Jon E. Kirchner	DTS INC	DTSI	$2.36 	$0.09 	6.374	-1.06
Ellen Kullman	DU PONT (E I) DE NEMOURS	DD	$14.80 	$32.13 	7.17	1.507
James E. Rogers, Jr.	DUKE ENERGY CORP	DUK	$8.82 	$14.27 	6.945	1.154
Dennis D. Oklak	DUKE REALTY CORP	DRE	$2.31 	$1.40 	6.363	0.147
Sara Mathew	DUN & BRADSTREET CORP	DNB	$4.59 	$1.68 	6.661	0.224
Steven E. Nielsen	DYCOM INDUSTRIES INC	DY	$1.91 	$0.99 	6.281	-0.005
Bruce A. Williamson	DYNEGY INC	DYN	$6.04 	$2.32 	6.781	0.366
Steven Freiberg	E TRADE FINANCIAL CORP	ETFC	$3.03 	$2.40 	6.481	0.38
Steven R. Rowley	EAGLE MATERIALS INC	EXP	$2.75 	$0.46 	6.44	-0.335
Rolla P. Huff	EARTHLINK INC	ELNK	$4.61 	$0.62 	6.664	-0.206
Dominic Ng	EAST WEST BANCORP INC	EWBC	$5.07 	$1.11 	6.705	0.046
David H. Hoster, II	EASTGROUP PROPERTIES	EGP	$1.82 	$0.17 	6.26	-0.76
James P. Rogers	EASTMAN CHEMICAL CO	EMN	$8.98 	$5.84 	6.953	0.767
Antonio M. Perez	EASTMAN KODAK CO	EK	$5.72 	$7.19 	6.757	0.857
Alexander M. Cutler	EATON CORP	ETN	$12.80 	$13.72 	7.107	1.137
Thomas E. Faust, Jr.	EATON VANCE CORP	EV	$8.88 	$1.12 	6.948	0.05
John J. Donahoe	EBAY INC	EBAY	$12.38 	$9.16 	7.093	0.962
Robin Raina	EBIX INC	EBIX	$2.97 	$0.13 	6.472	-0.879
Douglas M. Baker, Jr.	ECOLAB INC	ECL	$9.46 	$6.09 	6.976	0.785
Shirley Singleton	EDGEWATER TECHNOLOGY INC	EDGW	$0.53 	$0.09 	5.72	-1.053
Theodore F. Craver, Jr.	EDISON INTERNATIONAL	EIX	$9.54 	$12.41 	6.979	1.094
Todd S. Nelson	EDUCATION MANAGEMENT CORP	EDMC	$3.80 	$2.51 	6.58	0.399
Michael A. Mussallem	EDWARDS LIFESCIENCES CORP	EW	$5.83 	$1.45 	6.766	0.16
Gary Lauer	EHEALTH INC	EHTH	$2.47 	$0.16 	6.392	-0.795
Douglas L. Foshee	EL PASO CORP	EP	$8.45 	$4.62 	6.927	0.664
David W. Stevens	EL PASO ELECTRIC CO	EE	$2.14 	$0.88 	6.331	-0.057
Nicholas Konidaris	ELECTRO SCIENTIFIC INDS INC	ESIO	$2.98 	$0.26 	6.474	-0.59
John S. Riccitiello	ELECTRONIC ARTS INC	ERTS	$5.91 	$3.59 	6.772	0.555
George Feldenkreis	ELLIS PERRY INTL INC	PERY	$3.80 	$0.79 	6.58	-0.102
Joseph M. Tucci	EMC CORP/MA	EMC	$12.44 	$17.02 	7.095	1.231
Frank MacInnis	EMCOR GROUP INC	EME	$4.49 	$5.12 	6.652	0.709
Fuad El-Hibri	EMERGENT BIOSOLUTIONS INC	EBS	$2.62 	$0.29 	6.418	-0.543
David N. Farr	EMERSON ELECTRIC CO	EMR	$24.81 	$21.04 	7.395	1.323
Jeffrey H. Smulyan	EMMIS COMMUNICATIONS CP-CL A	EMMS	$2.13 	$0.25 	6.328	-0.6
Douglas D. Dirks	EMPLOYERS HOLDINGS INC	EIG	$1.80 	$0.42 	6.254	-0.381
Neilson A. Mackay	EMS TECHNOLOGIES INC	ELMG	$1.15 	$0.36 	6.062	-0.449
James M. McCluney	EMULEX CORP	ELX	$2.67 	$0.40 	6.426	-0.399
J. Brandon Black	ENCORE CAPITAL GROUP INC	ECPG	$2.14 	$0.38 	6.33	-0.419
Daniel L. Jones	ENCORE WIRE CORP	WIRE	$1.07 	$0.91 	6.03	-0.041
David P. Holveck	ENDO PHARMACEUTICALS HLDGS	ENDP	$6.60 	$1.72 	6.82	0.235
David Somers Cash	ENDURANCE SPECIALTY HOLDINGS	ENH	$3.15 	$1.92 	6.498	0.283
James T. McManus, II	ENERGEN CORP	EGN	$4.14 	$1.58 	6.617	0.198
